region,total_visitors,total_wiki_views
European Union - 27 countries (from 2020),0,118549
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",0,118549
Euro area – 20 countries (2023-2025),0,118549
Euro area - 19 countries  (2015-2022),0,118549
Belgium,20177486,18423624
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1782873,18691907
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1782873,18691907
Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,0,14393648
Vlaams Gewest,13276415,16176800
Prov. Antwerpen,2056957,14450787
Arr. Antwerpen,0,14393648
