month,wiki_views_Unknown,region,country,total_wiki_views,wiki_views_Belgium,wiki_views_Brussels,wiki_views_Atomium,wiki_views_City of Brussels,wiki_views_Royal Palace of Brussels,wiki_views_Manneken Pis,wiki_views_Vlaams Gewest,wiki_views_Antwerp Zoo
2020-01,4150.0,European Union - 27 countries (from 2020),Unknown,4150,,,,,,,,
2020-02,3242.0,European Union - 27 countries (from 2020),Unknown,3242,,,,,,,,
2020-03,3566.0,European Union - 27 countries (from 2020),Unknown,3566,,,,,,,,
2020-04,3587.0,European Union - 27 countries (from 2020),Unknown,3587,,,,,,,,
2020-05,1633.0,European Union - 27 countries (from 2020),Unknown,1633,,,,,,,,
2020-06,1742.0,European Union - 27 countries (from 2020),Unknown,1742,,,,,,,,
2020-07,1229.0,European Union - 27 countries (from 2020),Unknown,1229,,,,,,,,
2020-08,1403.0,European Union - 27 countries (from 2020),Unknown,1403,,,,,,,,
2020-09,1372.0,European Union - 27 countries (from 2020),Unknown,1372,,,,,,,,
2020-10,1379.0,European Union - 27 countries (from 2020),Unknown,1379,,,,,,,,
2020-11,1302.0,European Union - 27 countries (from 2020),Unknown,1302,,,,,,,,
2020-12,1303.0,European Union - 27 countries (from 2020),Unknown,1303,,,,,,,,
2021-01,3649.0,European Union - 27 countries (from 2020),Unknown,3649,,,,,,,,
2021-02,1637.0,European Union - 27 countries (from 2020),Unknown,1637,,,,,,,,
2021-03,1309.0,European Union - 27 countries (from 2020),Unknown,1309,,,,,,,,
2021-04,1576.0,European Union - 27 countries (from 2020),Unknown,1576,,,,,,,,
2021-05,1543.0,European Union - 27 countries (from 2020),Unknown,1543,,,,,,,,
2021-06,1854.0,European Union - 27 countries (from 2020),Unknown,1854,,,,,,,,
2021-07,1495.0,European Union - 27 countries (from 2020),Unknown,1495,,,,,,,,
2021-08,1212.0,European Union - 27 countries (from 2020),Unknown,1212,,,,,,,,
2021-09,1202.0,European Union - 27 countries (from 2020),Unknown,1202,,,,,,,,
2021-10,1110.0,European Union - 27 countries (from 2020),Unknown,1110,,,,,,,,
2021-11,1149.0,European Union - 27 countries (from 2020),Unknown,1149,,,,,,,,
2021-12,1243.0,European Union - 27 countries (from 2020),Unknown,1243,,,,,,,,
2022-01,1207.0,European Union - 27 countries (from 2020),Unknown,1207,,,,,,,,
2022-02,1193.0,European Union - 27 countries (from 2020),Unknown,1193,,,,,,,,
2022-03,1331.0,European Union - 27 countries (from 2020),Unknown,1331,,,,,,,,
2022-04,1219.0,European Union - 27 countries (from 2020),Unknown,1219,,,,,,,,
2022-05,1168.0,European Union - 27 countries (from 2020),Unknown,1168,,,,,,,,
2022-06,1299.0,European Union - 27 countries (from 2020),Unknown,1299,,,,,,,,
2022-07,1097.0,European Union - 27 countries (from 2020),Unknown,1097,,,,,,,,
2022-08,978.0,European Union - 27 countries (from 2020),Unknown,978,,,,,,,,
2022-09,1541.0,European Union - 27 countries (from 2020),Unknown,1541,,,,,,,,
2022-10,1565.0,European Union - 27 countries (from 2020),Unknown,1565,,,,,,,,
2022-11,1323.0,European Union - 27 countries (from 2020),Unknown,1323,,,,,,,,
2022-12,1446.0,European Union - 27 countries (from 2020),Unknown,1446,,,,,,,,
2023-01,1535.0,European Union - 27 countries (from 2020),Unknown,1535,,,,,,,,
2023-02,1223.0,European Union - 27 countries (from 2020),Unknown,1223,,,,,,,,
2023-03,1373.0,European Union - 27 countries (from 2020),Unknown,1373,,,,,,,,
2023-04,1438.0,European Union - 27 countries (from 2020),Unknown,1438,,,,,,,,
2023-05,1556.0,European Union - 27 countries (from 2020),Unknown,1556,,,,,,,,
2023-06,1273.0,European Union - 27 countries (from 2020),Unknown,1273,,,,,,,,
2023-07,1286.0,European Union - 27 countries (from 2020),Unknown,1286,,,,,,,,
2023-08,1341.0,European Union - 27 countries (from 2020),Unknown,1341,,,,,,,,
2023-09,1288.0,European Union - 27 countries (from 2020),Unknown,1288,,,,,,,,
2023-10,1223.0,European Union - 27 countries (from 2020),Unknown,1223,,,,,,,,
2023-11,1692.0,European Union - 27 countries (from 2020),Unknown,1692,,,,,,,,
2023-12,2772.0,European Union - 27 countries (from 2020),Unknown,2772,,,,,,,,
2024-01,1712.0,European Union - 27 countries (from 2020),Unknown,1712,,,,,,,,
2024-02,1368.0,European Union - 27 countries (from 2020),Unknown,1368,,,,,,,,
2024-03,5240.0,European Union - 27 countries (from 2020),Unknown,5240,,,,,,,,
2024-04,6967.0,European Union - 27 countries (from 2020),Unknown,6967,,,,,,,,
2024-05,12598.0,European Union - 27 countries (from 2020),Unknown,12598,,,,,,,,
2024-06,1462.0,European Union - 27 countries (from 2020),Unknown,1462,,,,,,,,
2024-07,1570.0,European Union - 27 countries (from 2020),Unknown,1570,,,,,,,,
2024-08,1868.0,European Union - 27 countries (from 2020),Unknown,1868,,,,,,,,
2024-09,2525.0,European Union - 27 countries (from 2020),Unknown,2525,,,,,,,,
2024-10,1875.0,European Union - 27 countries (from 2020),Unknown,1875,,,,,,,,
2024-11,1546.0,European Union - 27 countries (from 2020),Unknown,1546,,,,,,,,
2024-12,1564.0,European Union - 27 countries (from 2020),Unknown,1564,,,,,,,,
2020-01,4150.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",Unknown,4150,,,,,,,,
2020-02,3242.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",Unknown,3242,,,,,,,,
2020-03,3566.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",Unknown,3566,,,,,,,,
2020-04,3587.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",Unknown,3587,,,,,,,,
2020-05,1633.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",Unknown,1633,,,,,,,,
2020-06,1742.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",Unknown,1742,,,,,,,,
2020-07,1229.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",Unknown,1229,,,,,,,,
2020-08,1403.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",Unknown,1403,,,,,,,,
2020-09,1372.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",Unknown,1372,,,,,,,,
2020-10,1379.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",Unknown,1379,,,,,,,,
2020-11,1302.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",Unknown,1302,,,,,,,,
2020-12,1303.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",Unknown,1303,,,,,,,,
2021-01,3649.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",Unknown,3649,,,,,,,,
2021-02,1637.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",Unknown,1637,,,,,,,,
2021-03,1309.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",Unknown,1309,,,,,,,,
