geo,date,inbound_visitors,wiki_japan,wiki_tourism_japan,trend_japan_travel,trend_visit_japan
JP,2015-01,1218393.0,,,30.0,8.0
JP,2015-02,1386982.0,,,31.0,8.0
JP,2015-03,1525879.0,,,32.0,9.0
JP,2015-04,1764691.0,,,29.0,9.0
JP,2015-05,1641734.0,,,28.0,9.0
JP,2015-06,1602198.0,,,28.0,8.0
JP,2015-07,1918356.0,516866.0,9840.0,27.0,8.0
JP,2015-08,1817023.0,507928.0,9201.0,27.0,9.0
JP,2015-09,1612208.0,517055.0,7651.0,27.0,8.0
JP,2015-10,1829265.0,501838.0,7890.0,29.0,8.0
JP,2015-11,1647550.0,507451.0,7437.0,29.0,8.0
JP,2015-12,1773130.0,513374.0,6391.0,28.0,8.0
JP,2016-01,1851895.0,522209.0,7778.0,34.0,10.0
JP,2016-02,1891375.0,497248.0,7232.0,32.0,9.0
JP,2016-03,2009550.0,530549.0,7961.0,36.0,10.0
JP,2016-04,2081697.0,884144.0,7647.0,35.0,10.0
JP,2016-05,1893574.0,547378.0,7176.0,31.0,10.0
JP,2016-06,1985722.0,481934.0,6736.0,28.0,9.0
JP,2016-07,2296451.0,493830.0,5952.0,29.0,9.0
JP,2016-08,2049234.0,528115.0,6078.0,26.0,8.0
JP,2016-09,1918246.0,488948.0,6441.0,30.0,9.0
JP,2016-10,2135904.0,519060.0,6712.0,29.0,9.0
JP,2016-11,1875404.0,528342.0,7439.0,30.0,11.0
JP,2016-12,2050648.0,513539.0,6775.0,27.0,10.0
JP,2017-01,2295668.0,559495.0,7770.0,37.0,11.0
JP,2017-02,2035771.0,519206.0,7222.0,37.0,11.0
JP,2017-03,2205664.0,562663.0,8232.0,39.0,11.0
JP,2017-04,2578970.0,513810.0,7932.0,36.0,11.0
JP,2017-05,2294717.0,524021.0,8230.0,29.0,11.0
JP,2017-06,2346442.0,466421.0,7331.0,28.0,9.0
JP,2017-07,2681518.0,473061.0,7391.0,33.0,9.0
JP,2017-08,2477428.0,496973.0,8370.0,33.0,9.0
JP,2017-09,2280406.0,563166.0,7083.0,36.0,11.0
JP,2017-10,2595148.0,528692.0,7996.0,33.0,10.0
JP,2017-11,2378079.0,488547.0,8400.0,33.0,11.0
JP,2017-12,2521262.0,421532.0,7155.0,29.0,9.0
JP,2018-01,2501409.0,493394.0,8303.0,41.0,12.0
JP,2018-02,2509297.0,451762.0,7094.0,36.0,10.0
JP,2018-03,2607956.0,501465.0,8359.0,37.0,11.0
JP,2018-04,2900718.0,470098.0,8324.0,36.0,11.0
JP,2018-05,2675052.0,486290.0,8869.0,34.0,10.0
JP,2018-06,2704631.0,508123.0,6901.0,33.0,10.0
JP,2018-07,2832040.0,534228.0,7401.0,36.0,11.0
JP,2018-08,2578021.0,508805.0,6884.0,34.0,10.0
JP,2018-09,2159595.0,509315.0,7083.0,36.0,11.0
JP,2018-10,2640610.0,534443.0,7845.0,34.0,11.0
JP,2018-11,2450751.0,511142.0,7285.0,31.0,10.0
JP,2018-12,2631776.0,495426.0,6910.0,32.0,10.0
JP,2019-01,2689339.0,539940.0,8257.0,39.0,13.0
JP,2019-02,2604322.0,466620.0,6896.0,36.0,11.0
JP,2019-03,2760136.0,486420.0,7945.0,38.0,11.0
JP,2019-04,2926685.0,497984.0,8270.0,36.0,11.0
JP,2019-05,2773091.0,504084.0,9014.0,35.0,11.0
JP,2019-06,2880041.0,452700.0,7843.0,36.0,13.0
