geo,date,keyword,score
JP,2015-01,Japan travel,30
JP,2015-02,Japan travel,31
JP,2015-03,Japan travel,32
JP,2015-04,Japan travel,29
JP,2015-05,Japan travel,28
JP,2015-06,Japan travel,28
JP,2015-07,Japan travel,27
JP,2015-08,Japan travel,27
JP,2015-09,Japan travel,27
JP,2015-10,Japan travel,29
JP,2015-11,Japan travel,29
JP,2015-12,Japan travel,28
JP,2016-01,Japan travel,34
JP,2016-02,Japan travel,32
JP,2016-03,Japan travel,36
JP,2016-04,Japan travel,35
JP,2016-05,Japan travel,31
JP,2016-06,Japan travel,28
JP,2016-07,Japan travel,29
JP,2016-08,Japan travel,26
JP,2016-09,Japan travel,30
JP,2016-10,Japan travel,29
JP,2016-11,Japan travel,30
JP,2016-12,Japan travel,27
JP,2017-01,Japan travel,37
JP,2017-02,Japan travel,37
JP,2017-03,Japan travel,39
JP,2017-04,Japan travel,36
JP,2017-05,Japan travel,29
JP,2017-06,Japan travel,28
JP,2017-07,Japan travel,33
JP,2017-08,Japan travel,33
JP,2017-09,Japan travel,36
JP,2017-10,Japan travel,33
JP,2017-11,Japan travel,33
JP,2017-12,Japan travel,29
JP,2018-01,Japan travel,41
JP,2018-02,Japan travel,36
JP,2018-03,Japan travel,37
JP,2018-04,Japan travel,36
JP,2018-05,Japan travel,34
JP,2018-06,Japan travel,33
JP,2018-07,Japan travel,36
JP,2018-08,Japan travel,34
JP,2018-09,Japan travel,36
JP,2018-10,Japan travel,34
JP,2018-11,Japan travel,31
JP,2018-12,Japan travel,32
JP,2019-01,Japan travel,39
JP,2019-02,Japan travel,36
JP,2019-03,Japan travel,38
JP,2019-04,Japan travel,36
JP,2019-05,Japan travel,35
JP,2019-06,Japan travel,36
JP,2019-07,Japan travel,33
JP,2019-08,Japan travel,35
JP,2019-09,Japan travel,38
JP,2019-10,Japan travel,40
JP,2019-11,Japan travel,34
JP,2019-12,Japan travel,34
JP,2020-01,Japan travel,45
JP,2020-02,Japan travel,100
JP,2020-03,Japan travel,93
JP,2020-04,Japan travel,20
JP,2020-05,Japan travel,30
JP,2020-06,Japan travel,35
JP,2020-07,Japan travel,34
JP,2020-08,Japan travel,29
JP,2020-09,Japan travel,30
JP,2020-10,Japan travel,30
JP,2020-11,Japan travel,22
JP,2020-12,Japan travel,22
JP,2021-01,Japan travel,22
JP,2021-02,Japan travel,20
JP,2021-03,Japan travel,28
JP,2021-04,Japan travel,29
JP,2021-05,Japan travel,28
JP,2021-06,Japan travel,28
JP,2021-07,Japan travel,28
JP,2021-08,Japan travel,23
JP,2021-09,Japan travel,30
JP,2021-10,Japan travel,38
JP,2021-11,Japan travel,42
JP,2021-12,Japan travel,30
JP,2022-01,Japan travel,39
JP,2022-02,Japan travel,50
JP,2022-03,Japan travel,52
JP,2022-04,Japan travel,56
JP,2022-05,Japan travel,60
JP,2022-06,Japan travel,53
JP,2022-07,Japan travel,56
JP,2022-08,Japan travel,64
JP,2022-09,Japan travel,89
JP,2022-10,Japan travel,54
JP,2022-11,Japan travel,47
JP,2022-12,Japan travel,49
JP,2023-01,Japan travel,59
JP,2023-02,Japan travel,54
JP,2023-03,Japan travel,57
JP,2023-04,Japan travel,55
JP,2023-05,Japan travel,47
JP,2023-06,Japan travel,47
JP,2023-07,Japan travel,47
JP,2023-08,Japan travel,47
JP,2023-09,Japan travel,47
JP,2023-10,Japan travel,48
JP,2023-11,Japan travel,45
JP,2023-12,Japan travel,43
JP,2024-01,Japan travel,59
JP,2024-02,Japan travel,54
JP,2024-03,Japan travel,58
JP,2024-04,Japan travel,55
JP,2024-05,Japan travel,54
JP,2024-06,Japan travel,52
JP,2024-07,Japan travel,51
JP,2024-08,Japan travel,55
JP,2024-09,Japan travel,56
JP,2024-10,Japan travel,56
JP,2024-11,Japan travel,57
JP,2024-12,Japan travel,58
JP,2015-01,visit Japan,8
JP,2015-02,visit Japan,8
JP,2015-03,visit Japan,9
JP,2015-04,visit Japan,9
JP,2015-05,visit Japan,9
JP,2015-06,visit Japan,8
JP,2015-07,visit Japan,8
JP,2015-08,visit Japan,9
JP,2015-09,visit Japan,8
JP,2015-10,visit Japan,8
JP,2015-11,visit Japan,8
JP,2015-12,visit Japan,8
JP,2016-01,visit Japan,10
JP,2016-02,visit Japan,9
JP,2016-03,visit Japan,10
JP,2016-04,visit Japan,10
JP,2016-05,visit Japan,10
JP,2016-06,visit Japan,9
JP,2016-07,visit Japan,9
JP,2016-08,visit Japan,8
JP,2016-09,visit Japan,9
JP,2016-10,visit Japan,9
JP,2016-11,visit Japan,11
JP,2016-12,visit Japan,10
JP,2017-01,visit Japan,11
JP,2017-02,visit Japan,11
JP,2017-03,visit Japan,11
JP,2017-04,visit Japan,11
JP,2017-05,visit Japan,11
JP,2017-06,visit Japan,9
JP,2017-07,visit Japan,9
JP,2017-08,visit Japan,9
JP,2017-09,visit Japan,11
JP,2017-10,visit Japan,10
JP,2017-11,visit Japan,11
JP,2017-12,visit Japan,9
JP,2018-01,visit Japan,12
JP,2018-02,visit Japan,10
JP,2018-03,visit Japan,11
JP,2018-04,visit Japan,11
JP,2018-05,visit Japan,10
JP,2018-06,visit Japan,10
JP,2018-07,visit Japan,11
JP,2018-08,visit Japan,10
JP,2018-09,visit Japan,11
JP,2018-10,visit Japan,11
JP,2018-11,visit Japan,10
JP,2018-12,visit Japan,10
JP,2019-01,visit Japan,13
JP,2019-02,visit Japan,11
JP,2019-03,visit Japan,11
JP,2019-04,visit Japan,11
JP,2019-05,visit Japan,11
JP,2019-06,visit Japan,13
JP,2019-07,visit Japan,11
JP,2019-08,visit Japan,11
JP,2019-09,visit Japan,12
JP,2019-10,visit Japan,13
JP,2019-11,visit Japan,12
JP,2019-12,visit Japan,12
JP,2020-01,visit Japan,15
JP,2020-02,visit Japan,9
JP,2020-03,visit Japan,5
JP,2020-04,visit Japan,5
JP,2020-05,visit Japan,6
JP,2020-06,visit Japan,5
