freq,c_resid,unit,nace_r2,geo,date,value
M,DOM,NR,I551,AL,2015-01 ,
M,DOM,NR,I551-I553,AL,2015-01 ,
M,DOM,NR,I552,AL,2015-01 ,
M,DOM,NR,I552_I553,AL,2015-01 ,
M,DOM,NR,I553,AL,2015-01 ,
M,DOM,PCH_SM,I551,AL,2015-01 ,
M,DOM,PCH_SM,I551-I553,AL,2015-01 ,
M,DOM,PCH_SM,I552,AL,2015-01 ,
M,DOM,PCH_SM,I552_I553,AL,2015-01 ,
M,DOM,PCH_SM,I553,AL,2015-01 ,
M,DOM,PCH_SM_19,I551,AL,2015-01 ,
M,DOM,PCH_SM_19,I551-I553,AL,2015-01 ,
M,DOM,PCH_SM_19,I552,AL,2015-01 ,
M,DOM,PCH_SM_19,I552_I553,AL,2015-01 ,
M,DOM,PCH_SM_19,I553,AL,2015-01 ,
M,FOR,NR,I551,AL,2015-01 ,
M,FOR,NR,I551-I553,AL,2015-01 ,
M,FOR,NR,I552,AL,2015-01 ,
M,FOR,NR,I552_I553,AL,2015-01 ,
M,FOR,NR,I553,AL,2015-01 ,
M,FOR,PCH_SM,I551,AL,2015-01 ,
M,FOR,PCH_SM,I551-I553,AL,2015-01 ,
M,FOR,PCH_SM,I552,AL,2015-01 ,
M,FOR,PCH_SM,I552_I553,AL,2015-01 ,
M,FOR,PCH_SM,I553,AL,2015-01 ,
M,FOR,PCH_SM_19,I551,AL,2015-01 ,
M,FOR,PCH_SM_19,I551-I553,AL,2015-01 ,
M,FOR,PCH_SM_19,I552,AL,2015-01 ,
M,FOR,PCH_SM_19,I552_I553,AL,2015-01 ,
M,FOR,PCH_SM_19,I553,AL,2015-01 ,
M,TOTAL,NR,I551,AL,2015-01 ,
M,TOTAL,NR,I551-I553,AL,2015-01 ,
M,TOTAL,NR,I552,AL,2015-01 ,
M,TOTAL,NR,I552_I553,AL,2015-01 ,
M,TOTAL,NR,I553,AL,2015-01 ,
M,TOTAL,PCH_SM,I551,AL,2015-01 ,
M,TOTAL,PCH_SM,I551-I553,AL,2015-01 ,
M,TOTAL,PCH_SM,I552,AL,2015-01 ,
M,TOTAL,PCH_SM,I552_I553,AL,2015-01 ,
M,TOTAL,PCH_SM,I553,AL,2015-01 ,
M,TOTAL,PCH_SM_19,I551,AL,2015-01 ,
M,TOTAL,PCH_SM_19,I551-I553,AL,2015-01 ,
M,TOTAL,PCH_SM_19,I552,AL,2015-01 ,
M,TOTAL,PCH_SM_19,I552_I553,AL,2015-01 ,
M,TOTAL,PCH_SM_19,I553,AL,2015-01 ,
M,DOM,NR,I551,AL,2015-02 ,
M,DOM,NR,I551-I553,AL,2015-02 ,
M,DOM,NR,I552,AL,2015-02 ,
M,DOM,NR,I552_I553,AL,2015-02 ,
M,DOM,NR,I553,AL,2015-02 ,
M,DOM,PCH_SM,I551,AL,2015-02 ,
M,DOM,PCH_SM,I551-I553,AL,2015-02 ,
M,DOM,PCH_SM,I552,AL,2015-02 ,
M,DOM,PCH_SM,I552_I553,AL,2015-02 ,
M,DOM,PCH_SM,I553,AL,2015-02 ,
M,DOM,PCH_SM_19,I551,AL,2015-02 ,
M,DOM,PCH_SM_19,I551-I553,AL,2015-02 ,
M,DOM,PCH_SM_19,I552,AL,2015-02 ,
M,DOM,PCH_SM_19,I552_I553,AL,2015-02 ,
M,DOM,PCH_SM_19,I553,AL,2015-02 ,
M,FOR,NR,I551,AL,2015-02 ,
M,FOR,NR,I551-I553,AL,2015-02 ,
M,FOR,NR,I552,AL,2015-02 ,
M,FOR,NR,I552_I553,AL,2015-02 ,
M,FOR,NR,I553,AL,2015-02 ,
M,FOR,PCH_SM,I551,AL,2015-02 ,
M,FOR,PCH_SM,I551-I553,AL,2015-02 ,
M,FOR,PCH_SM,I552,AL,2015-02 ,
M,FOR,PCH_SM,I552_I553,AL,2015-02 ,
M,FOR,PCH_SM,I553,AL,2015-02 ,
M,FOR,PCH_SM_19,I551,AL,2015-02 ,
M,FOR,PCH_SM_19,I551-I553,AL,2015-02 ,
M,FOR,PCH_SM_19,I552,AL,2015-02 ,
M,FOR,PCH_SM_19,I552_I553,AL,2015-02 ,
M,FOR,PCH_SM_19,I553,AL,2015-02 ,
M,TOTAL,NR,I551,AL,2015-02 ,
M,TOTAL,NR,I551-I553,AL,2015-02 ,
M,TOTAL,NR,I552,AL,2015-02 ,
M,TOTAL,NR,I552_I553,AL,2015-02 ,
M,TOTAL,NR,I553,AL,2015-02 ,
M,TOTAL,PCH_SM,I551,AL,2015-02 ,
M,TOTAL,PCH_SM,I551-I553,AL,2015-02 ,
M,TOTAL,PCH_SM,I552,AL,2015-02 ,
M,TOTAL,PCH_SM,I552_I553,AL,2015-02 ,
M,TOTAL,PCH_SM,I553,AL,2015-02 ,
M,TOTAL,PCH_SM_19,I551,AL,2015-02 ,
M,TOTAL,PCH_SM_19,I551-I553,AL,2015-02 ,
M,TOTAL,PCH_SM_19,I552,AL,2015-02 ,
M,TOTAL,PCH_SM_19,I552_I553,AL,2015-02 ,
M,TOTAL,PCH_SM_19,I553,AL,2015-02 ,
M,DOM,NR,I551,AL,2015-03 ,
M,DOM,NR,I551-I553,AL,2015-03 ,
M,DOM,NR,I552,AL,2015-03 ,
M,DOM,NR,I552_I553,AL,2015-03 ,
M,DOM,NR,I553,AL,2015-03 ,
M,DOM,PCH_SM,I551,AL,2015-03 ,
M,DOM,PCH_SM,I551-I553,AL,2015-03 ,
M,DOM,PCH_SM,I552,AL,2015-03 ,
M,DOM,PCH_SM,I552_I553,AL,2015-03 ,
M,DOM,PCH_SM,I553,AL,2015-03 ,
M,DOM,PCH_SM_19,I551,AL,2015-03 ,
M,DOM,PCH_SM_19,I551-I553,AL,2015-03 ,
M,DOM,PCH_SM_19,I552,AL,2015-03 ,
M,DOM,PCH_SM_19,I552_I553,AL,2015-03 ,
M,DOM,PCH_SM_19,I553,AL,2015-03 ,
M,FOR,NR,I551,AL,2015-03 ,
M,FOR,NR,I551-I553,AL,2015-03 ,
M,FOR,NR,I552,AL,2015-03 ,
M,FOR,NR,I552_I553,AL,2015-03 ,
M,FOR,NR,I553,AL,2015-03 ,
M,FOR,PCH_SM,I551,AL,2015-03 ,
M,FOR,PCH_SM,I551-I553,AL,2015-03 ,
M,FOR,PCH_SM,I552,AL,2015-03 ,
M,FOR,PCH_SM,I552_I553,AL,2015-03 ,
M,FOR,PCH_SM,I553,AL,2015-03 ,
M,FOR,PCH_SM_19,I551,AL,2015-03 ,
M,FOR,PCH_SM_19,I551-I553,AL,2015-03 ,
M,FOR,PCH_SM_19,I552,AL,2015-03 ,
M,FOR,PCH_SM_19,I552_I553,AL,2015-03 ,
M,FOR,PCH_SM_19,I553,AL,2015-03 ,
M,TOTAL,NR,I551,AL,2015-03 ,
M,TOTAL,NR,I551-I553,AL,2015-03 ,
M,TOTAL,NR,I552,AL,2015-03 ,
M,TOTAL,NR,I552_I553,AL,2015-03 ,
M,TOTAL,NR,I553,AL,2015-03 ,
M,TOTAL,PCH_SM,I551,AL,2015-03 ,
M,TOTAL,PCH_SM,I551-I553,AL,2015-03 ,
M,TOTAL,PCH_SM,I552,AL,2015-03 ,
M,TOTAL,PCH_SM,I552_I553,AL,2015-03 ,
M,TOTAL,PCH_SM,I553,AL,2015-03 ,
M,TOTAL,PCH_SM_19,I551,AL,2015-03 ,
M,TOTAL,PCH_SM_19,I551-I553,AL,2015-03 ,
M,TOTAL,PCH_SM_19,I552,AL,2015-03 ,
M,TOTAL,PCH_SM_19,I552_I553,AL,2015-03 ,
M,TOTAL,PCH_SM_19,I553,AL,2015-03 ,
M,DOM,NR,I551,AL,2015-04 ,
M,DOM,NR,I551-I553,AL,2015-04 ,
M,DOM,NR,I552,AL,2015-04 ,
M,DOM,NR,I552_I553,AL,2015-04 ,
M,DOM,NR,I553,AL,2015-04 ,
M,DOM,PCH_SM,I551,AL,2015-04 ,
M,DOM,PCH_SM,I551-I553,AL,2015-04 ,
M,DOM,PCH_SM,I552,AL,2015-04 ,
M,DOM,PCH_SM,I552_I553,AL,2015-04 ,
M,DOM,PCH_SM,I553,AL,2015-04 ,
M,DOM,PCH_SM_19,I551,AL,2015-04 ,
M,DOM,PCH_SM_19,I551-I553,AL,2015-04 ,
M,DOM,PCH_SM_19,I552,AL,2015-04 ,
M,DOM,PCH_SM_19,I552_I553,AL,2015-04 ,
M,DOM,PCH_SM_19,I553,AL,2015-04 ,
M,FOR,NR,I551,AL,2015-04 ,
M,FOR,NR,I551-I553,AL,2015-04 ,
M,FOR,NR,I552,AL,2015-04 ,
M,FOR,NR,I552_I553,AL,2015-04 ,
M,FOR,NR,I553,AL,2015-04 ,
M,FOR,PCH_SM,I551,AL,2015-04 ,
M,FOR,PCH_SM,I551-I553,AL,2015-04 ,
M,FOR,PCH_SM,I552,AL,2015-04 ,
M,FOR,PCH_SM,I552_I553,AL,2015-04 ,
M,FOR,PCH_SM,I553,AL,2015-04 ,
M,FOR,PCH_SM_19,I551,AL,2015-04 ,
M,FOR,PCH_SM_19,I551-I553,AL,2015-04 ,
M,FOR,PCH_SM_19,I552,AL,2015-04 ,
M,FOR,PCH_SM_19,I552_I553,AL,2015-04 ,
M,FOR,PCH_SM_19,I553,AL,2015-04 ,
M,TOTAL,NR,I551,AL,2015-04 ,
M,TOTAL,NR,I551-I553,AL,2015-04 ,
M,TOTAL,NR,I552,AL,2015-04 ,
M,TOTAL,NR,I552_I553,AL,2015-04 ,
M,TOTAL,NR,I553,AL,2015-04 ,
M,TOTAL,PCH_SM,I551,AL,2015-04 ,
M,TOTAL,PCH_SM,I551-I553,AL,2015-04 ,
M,TOTAL,PCH_SM,I552,AL,2015-04 ,
M,TOTAL,PCH_SM,I552_I553,AL,2015-04 ,
M,TOTAL,PCH_SM,I553,AL,2015-04 ,
M,TOTAL,PCH_SM_19,I551,AL,2015-04 ,
M,TOTAL,PCH_SM_19,I551-I553,AL,2015-04 ,
M,TOTAL,PCH_SM_19,I552,AL,2015-04 ,
M,TOTAL,PCH_SM_19,I552_I553,AL,2015-04 ,
M,TOTAL,PCH_SM_19,I553,AL,2015-04 ,
M,DOM,NR,I551,AL,2015-05 ,
M,DOM,NR,I551-I553,AL,2015-05 ,
M,DOM,NR,I552,AL,2015-05 ,
M,DOM,NR,I552_I553,AL,2015-05 ,
M,DOM,NR,I553,AL,2015-05 ,
M,DOM,PCH_SM,I551,AL,2015-05 ,
M,DOM,PCH_SM,I551-I553,AL,2015-05 ,
M,DOM,PCH_SM,I552,AL,2015-05 ,
M,DOM,PCH_SM,I552_I553,AL,2015-05 ,
M,DOM,PCH_SM,I553,AL,2015-05 ,
M,DOM,PCH_SM_19,I551,AL,2015-05 ,
M,DOM,PCH_SM_19,I551-I553,AL,2015-05 ,
M,DOM,PCH_SM_19,I552,AL,2015-05 ,
M,DOM,PCH_SM_19,I552_I553,AL,2015-05 ,
M,DOM,PCH_SM_19,I553,AL,2015-05 ,
M,FOR,NR,I551,AL,2015-05 ,
M,FOR,NR,I551-I553,AL,2015-05 ,
M,FOR,NR,I552,AL,2015-05 ,
M,FOR,NR,I552_I553,AL,2015-05 ,
M,FOR,NR,I553,AL,2015-05 ,
M,FOR,PCH_SM,I551,AL,2015-05 ,
M,FOR,PCH_SM,I551-I553,AL,2015-05 ,
M,FOR,PCH_SM,I552,AL,2015-05 ,
M,FOR,PCH_SM,I552_I553,AL,2015-05 ,
M,FOR,PCH_SM,I553,AL,2015-05 ,
M,FOR,PCH_SM_19,I551,AL,2015-05 ,
M,FOR,PCH_SM_19,I551-I553,AL,2015-05 ,
M,FOR,PCH_SM_19,I552,AL,2015-05 ,
M,FOR,PCH_SM_19,I552_I553,AL,2015-05 ,
M,FOR,PCH_SM_19,I553,AL,2015-05 ,
M,TOTAL,NR,I551,AL,2015-05 ,
M,TOTAL,NR,I551-I553,AL,2015-05 ,
M,TOTAL,NR,I552,AL,2015-05 ,
M,TOTAL,NR,I552_I553,AL,2015-05 ,
M,TOTAL,NR,I553,AL,2015-05 ,
M,TOTAL,PCH_SM,I551,AL,2015-05 ,
M,TOTAL,PCH_SM,I551-I553,AL,2015-05 ,
M,TOTAL,PCH_SM,I552,AL,2015-05 ,
M,TOTAL,PCH_SM,I552_I553,AL,2015-05 ,
M,TOTAL,PCH_SM,I553,AL,2015-05 ,
M,TOTAL,PCH_SM_19,I551,AL,2015-05 ,
M,TOTAL,PCH_SM_19,I551-I553,AL,2015-05 ,
M,TOTAL,PCH_SM_19,I552,AL,2015-05 ,
M,TOTAL,PCH_SM_19,I552_I553,AL,2015-05 ,
M,TOTAL,PCH_SM_19,I553,AL,2015-05 ,
M,DOM,NR,I551,AL,2015-06 ,
M,DOM,NR,I551-I553,AL,2015-06 ,
M,DOM,NR,I552,AL,2015-06 ,
M,DOM,NR,I552_I553,AL,2015-06 ,
M,DOM,NR,I553,AL,2015-06 ,
M,DOM,PCH_SM,I551,AL,2015-06 ,
M,DOM,PCH_SM,I551-I553,AL,2015-06 ,
M,DOM,PCH_SM,I552,AL,2015-06 ,
M,DOM,PCH_SM,I552_I553,AL,2015-06 ,
M,DOM,PCH_SM,I553,AL,2015-06 ,
M,DOM,PCH_SM_19,I551,AL,2015-06 ,
M,DOM,PCH_SM_19,I551-I553,AL,2015-06 ,
M,DOM,PCH_SM_19,I552,AL,2015-06 ,
M,DOM,PCH_SM_19,I552_I553,AL,2015-06 ,
M,DOM,PCH_SM_19,I553,AL,2015-06 ,
M,FOR,NR,I551,AL,2015-06 ,
M,FOR,NR,I551-I553,AL,2015-06 ,
M,FOR,NR,I552,AL,2015-06 ,
M,FOR,NR,I552_I553,AL,2015-06 ,
M,FOR,NR,I553,AL,2015-06 ,
M,FOR,PCH_SM,I551,AL,2015-06 ,
M,FOR,PCH_SM,I551-I553,AL,2015-06 ,
M,FOR,PCH_SM,I552,AL,2015-06 ,
M,FOR,PCH_SM,I552_I553,AL,2015-06 ,
M,FOR,PCH_SM,I553,AL,2015-06 ,
M,FOR,PCH_SM_19,I551,AL,2015-06 ,
M,FOR,PCH_SM_19,I551-I553,AL,2015-06 ,
M,FOR,PCH_SM_19,I552,AL,2015-06 ,
M,FOR,PCH_SM_19,I552_I553,AL,2015-06 ,
M,FOR,PCH_SM_19,I553,AL,2015-06 ,
M,TOTAL,NR,I551,AL,2015-06 ,
M,TOTAL,NR,I551-I553,AL,2015-06 ,
M,TOTAL,NR,I552,AL,2015-06 ,
M,TOTAL,NR,I552_I553,AL,2015-06 ,
M,TOTAL,NR,I553,AL,2015-06 ,
M,TOTAL,PCH_SM,I551,AL,2015-06 ,
M,TOTAL,PCH_SM,I551-I553,AL,2015-06 ,
M,TOTAL,PCH_SM,I552,AL,2015-06 ,
M,TOTAL,PCH_SM,I552_I553,AL,2015-06 ,
M,TOTAL,PCH_SM,I553,AL,2015-06 ,
M,TOTAL,PCH_SM_19,I551,AL,2015-06 ,
M,TOTAL,PCH_SM_19,I551-I553,AL,2015-06 ,
M,TOTAL,PCH_SM_19,I552,AL,2015-06 ,
M,TOTAL,PCH_SM_19,I552_I553,AL,2015-06 ,
M,TOTAL,PCH_SM_19,I553,AL,2015-06 ,
M,DOM,NR,I551,AL,2015-07 ,
M,DOM,NR,I551-I553,AL,2015-07 ,
M,DOM,NR,I552,AL,2015-07 ,
M,DOM,NR,I552_I553,AL,2015-07 ,
M,DOM,NR,I553,AL,2015-07 ,
M,DOM,PCH_SM,I551,AL,2015-07 ,
M,DOM,PCH_SM,I551-I553,AL,2015-07 ,
M,DOM,PCH_SM,I552,AL,2015-07 ,
M,DOM,PCH_SM,I552_I553,AL,2015-07 ,
M,DOM,PCH_SM,I553,AL,2015-07 ,
M,DOM,PCH_SM_19,I551,AL,2015-07 ,
M,DOM,PCH_SM_19,I551-I553,AL,2015-07 ,
M,DOM,PCH_SM_19,I552,AL,2015-07 ,
M,DOM,PCH_SM_19,I552_I553,AL,2015-07 ,
M,DOM,PCH_SM_19,I553,AL,2015-07 ,
M,FOR,NR,I551,AL,2015-07 ,
M,FOR,NR,I551-I553,AL,2015-07 ,
M,FOR,NR,I552,AL,2015-07 ,
M,FOR,NR,I552_I553,AL,2015-07 ,
M,FOR,NR,I553,AL,2015-07 ,
M,FOR,PCH_SM,I551,AL,2015-07 ,
M,FOR,PCH_SM,I551-I553,AL,2015-07 ,
M,FOR,PCH_SM,I552,AL,2015-07 ,
M,FOR,PCH_SM,I552_I553,AL,2015-07 ,
M,FOR,PCH_SM,I553,AL,2015-07 ,
M,FOR,PCH_SM_19,I551,AL,2015-07 ,
M,FOR,PCH_SM_19,I551-I553,AL,2015-07 ,
M,FOR,PCH_SM_19,I552,AL,2015-07 ,
M,FOR,PCH_SM_19,I552_I553,AL,2015-07 ,
M,FOR,PCH_SM_19,I553,AL,2015-07 ,
M,TOTAL,NR,I551,AL,2015-07 ,
M,TOTAL,NR,I551-I553,AL,2015-07 ,
M,TOTAL,NR,I552,AL,2015-07 ,
M,TOTAL,NR,I552_I553,AL,2015-07 ,
M,TOTAL,NR,I553,AL,2015-07 ,
M,TOTAL,PCH_SM,I551,AL,2015-07 ,
M,TOTAL,PCH_SM,I551-I553,AL,2015-07 ,
M,TOTAL,PCH_SM,I552,AL,2015-07 ,
M,TOTAL,PCH_SM,I552_I553,AL,2015-07 ,
M,TOTAL,PCH_SM,I553,AL,2015-07 ,
