region,country,biggest city of region,tourist_destination_1,tourist_destination_2,tourist_destination_3
Hrvatska,Hrvatska,Zagreb,Dubrovnik - Stari grad,Nacionalni park Plitvička jezera,Split - Dioklecijanova palača
Panonska Hrvatska,Hrvatska,Osijek,Tvrđa Osijek,Vinske ceste Slavonije,Park prirode Kopački rit
Bjelovarsko-bilogorska županija,Hrvatska,Bjelovar,Gradski muzej Bjelovar,Daruvarske toplice,Bilogora
Virovitičko-podravska županija,Hrvatska,Virovitica,Dvorac Pejačević Virovitica,Park prirode Papuk,Utrda Ružica grad
Požeško-slavonska županija,Hrvatska,Požega,Katedrala sv. Terezije Avilske,Papuk Geopark,Kutjevački vinski podrumi
Brodsko-posavska županija,Hrvatska,Slavonski Brod,Tvrđava Brod,Eko-etno selo Stara Kapela,Muzej Brodskog Posavlja
Osječko-baranjska županija,Hrvatska,Osijek,Park prirode Kopački rit,Tvrđa Osijek,Vinski podrumi Baranje
Vukovarsko-srijemska županija,Hrvatska,Vinkovci,Memorijalno područje Vukovar,Ilok - vinske ceste,Muzej vučedolske kulture
Karlovačka županija,Hrvatska,Karlovac,Stari grad Dubovac,Aquatika - slatkovodni akvarij,Rijeka Mrežnica
Sisačko-moslavačka županija,Hrvatska,Sisak,Utvrda Stari grad Sisak,Park prirode Lonjsko polje,Čigoč - selo roda
Jadranska Hrvatska,Hrvatska,Split,Dubrovnik - Stari grad,Split - Dioklecijanova palača,Otok Hvar
Primorsko-goranska županija,Hrvatska,Rijeka,Trsatska gradina,Otok Krk,Opatijska rivijera
Ličko-senjska županija,Hrvatska,Gospić,Nacionalni park Plitvička jezera,Park prirode Velebit,Tvrđava Nehaj Senj
Zadarska županija,Hrvatska,Zadar,Morske orgulje Zadar,Rimski forum Zadar,Nacionalni park Kornati
Šibensko-kninska županija,Hrvatska,Šibenik,Katedrala sv. Jakova Šibenik,Nacionalni park Krka,Kninska tvrđava
Splitsko-dalmatinska županija,Hrvatska,Split,Split - Dioklecijanova palača,Otok Hvar,Makarska rivijera
Istarska županija,Hrvatska,Pula,Pulska Arena,Stari grad Rovinj,Motovun
Dubrovačko-neretvanska županija,Hrvatska,Dubrovnik,Dubrovnik - Stari grad,Nacionalni park Mljet,Stari grad Korčula
Grad Zagreb,Hrvatska,Zagreb,Zagrebačka katedrala,Tržnica Dolac,Muzej prekinutih veza
Sjeverna Hrvatska,Hrvatska,Varaždin,Varaždinska stara jezgra,Dvorac Trakošćan,Muzej krapinskih neandertalaca
Međimurska županija,Hrvatska,Čakovec,Stari grad Čakovec,Štrigovska vinska cesta,Terme Sveti Martin
Varaždinska županija,Hrvatska,Varaždin,Varaždinska stara jezgra,Dvorac Trakošćan,Varaždinske Toplice
Koprivničko-križevačka županija,Hrvatska,Koprivnica,Galerija naivne umjetnosti Hlebine,Stari grad Đurđevac,Planina Kalnik
Krapinsko-zagorska županija,Hrvatska,Krapina,Muzej krapinskih neandertalaca,Dvorac Veliki Tabor,Terme Tuhelj
Zagrebačka županija,Hrvatska,Velika Gorica,Samobor - stari grad,Park prirode Žumberak,Plešivička vinska cesta
