geo,date,inbound_visitors
JP,2015-01,1218393.0
JP,2015-02,1386982.0
JP,2015-03,1525879.0
JP,2015-04,1764691.0
JP,2015-05,1641734.0
JP,2015-06,1602198.0
JP,2015-07,1918356.0
JP,2015-08,1817023.0
JP,2015-09,1612208.0
JP,2015-10,1829265.0
JP,2015-11,1647550.0
JP,2015-12,1773130.0
JP,2016-01,1851895.0
JP,2016-02,1891375.0
JP,2016-03,2009550.0
JP,2016-04,2081697.0
JP,2016-05,1893574.0
JP,2016-06,1985722.0
JP,2016-07,2296451.0
JP,2016-08,2049234.0
JP,2016-09,1918246.0
JP,2016-10,2135904.0
JP,2016-11,1875404.0
JP,2016-12,2050648.0
JP,2017-01,2295668.0
JP,2017-02,2035771.0
JP,2017-03,2205664.0
JP,2017-04,2578970.0
JP,2017-05,2294717.0
JP,2017-06,2346442.0
JP,2017-07,2681518.0
JP,2017-08,2477428.0
JP,2017-09,2280406.0
JP,2017-10,2595148.0
JP,2017-11,2378079.0
JP,2017-12,2521262.0
JP,2018-01,2501409.0
JP,2018-02,2509297.0
JP,2018-03,2607956.0
JP,2018-04,2900718.0
JP,2018-05,2675052.0
JP,2018-06,2704631.0
JP,2018-07,2832040.0
JP,2018-08,2578021.0
JP,2018-09,2159595.0
JP,2018-10,2640610.0
JP,2018-11,2450751.0
JP,2018-12,2631776.0
JP,2019-01,2689339.0
JP,2019-02,2604322.0
JP,2019-03,2760136.0
JP,2019-04,2926685.0
JP,2019-05,2773091.0
JP,2019-06,2880041.0
JP,2019-07,2991189.0
JP,2019-08,2520134.0
JP,2019-09,2272883.0
JP,2019-10,2496568.0
JP,2019-11,2441274.0
JP,2019-12,2526387.0
JP,2020-01,2661022.0
JP,2020-02,1085147.0
JP,2020-03,193658.0
JP,2020-04,2917.0
JP,2020-05,1663.0
JP,2020-06,2565.0
JP,2020-07,3782.0
JP,2020-08,8658.0
JP,2020-09,13684.0
JP,2020-10,27386.0
JP,2020-11,56673.0
JP,2020-12,58673.0
JP,2021-01,46522.0
JP,2021-02,7355.0
JP,2021-03,12276.0
JP,2021-04,10853.0
JP,2021-05,10035.0
JP,2021-06,9251.0
JP,2021-07,51055.0
JP,2021-08,25916.0
JP,2021-09,17720.0
JP,2021-10,22113.0
JP,2021-11,20682.0
JP,2021-12,12084.0
JP,2022-01,17766.0
JP,2022-02,16719.0
JP,2022-03,66121.0
JP,2022-04,139548.0
JP,2022-05,147046.0
JP,2022-06,120430.0
JP,2022-07,144578.0
JP,2022-08,169902.0
JP,2022-09,206641.0
JP,2022-10,498646.0
JP,2022-11,934599.0
JP,2022-12,1370114.0
JP,2023-01,1497472.0
JP,2023-02,1475455.0
JP,2023-03,1817616.0
JP,2023-04,1949236.0
JP,2023-05,1899176.0
JP,2023-06,2073441.0
JP,2023-07,2320694.0
JP,2023-08,2157190.0
JP,2023-09,2184442.0
JP,2023-10,2516623.0
JP,2023-11,2440890.0
JP,2023-12,2734115.0
JP,2024-01,2688478.0
JP,2024-02,2788224.0
JP,2024-03,3081781.0
JP,2024-04,3043003.0
JP,2024-05,3040294.0
JP,2024-06,3140642.0
JP,2024-07,3292602.0
JP,2024-08,2933381.0
JP,2024-09,2872487.0
JP,2024-10,3312193.0
JP,2024-11,3187175.0
JP,2024-12,3489888.0
