date,country,region,city,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3,nights_spent_nuts2,nights_spent_country,arrivals_country,bed_places_country,avg_length_of_stay_country,occupancy_rate_country,dest_stringency_index,origin1_stringency,origin2_stringency,origin3_stringency,origin_top3_stringency_avg,month,arrivals_last_year,arrivals_yoy_pct_change
2020-01-01,Albania,Qender,berat,0,26,0,4,0,0,60094.0,96566.0,52724.0,,1.83,,0.0,0.0,0.0,1.5235483870967743,0.7617741935483872,1,,
2020-02-01,Albania,Qender,berat,0,20,0,0,0,0,32163.0,63781.0,45356.0,,1.41,,3.545172413793104,0.0,0.0,31.17482758620689,15.587413793103448,2,,
2020-03-01,Albania,Qender,berat,0,17,0,0,0,0,9072.0,17009.0,12171.0,,1.4,,58.57096774193548,55.52451612903226,0.0,80.42451612903226,67.97451612903225,3,,
2020-04-01,Albania,Qender,berat,0,13,0,0,0,0,0.0,0.0,0.0,,,,86.665,92.59,0.0,90.65033333333332,91.62016666666666,4,,
2020-05-01,Albania,Qender,berat,0,12,0,2,0,0,10772.0,38098.0,11803.0,,3.23,,87.4216129032258,90.08354838709678,0.0,73.68451612903226,81.88403225806452,5,,
2020-06-01,Albania,Qender,berat,0,16,0,0,0,0,15790.0,104513.0,56431.0,,1.85,,70.466,62.501,0.0,67.59,65.0455,6,,
2020-07-01,Albania,Qender,berat,0,17,0,0,0,0,65071.0,340007.0,124759.0,,2.73,,63.85677419354838,57.07903225806452,0.0,66.9932258064516,62.03612903225806,7,,
2020-08-01,Albania,Qender,berat,0,17,0,3,0,0,132812.0,568284.0,168419.0,,3.37,,58.12548387096773,75.41645161290322,0.0,66.60516129032257,71.0108064516129,8,,
2020-09-01,Albania,Qender,berat,0,19,0,3,0,0,59162.0,185724.0,79123.0,,2.35,,54.63,60.431,0.0,65.80333333333333,63.11716666666666,9,,
2020-10-01,Albania,Qender,berat,0,17,0,3,0,0,33741.0,71242.0,37194.0,,1.92,,54.63,53.25806451612903,0.0,68.01032258064517,60.6341935483871,10,,
2020-11-01,Albania,Qender,berat,0,15,0,3,0,0,37196.0,,,,,,60.309666666666665,69.44833333333332,0.0,81.79166666666667,75.62,11,,
2020-12-01,Albania,Qender,berat,0,18,0,2,0,0,32730.0,,,,,,62.45483870967742,71.3,0.0,80.85741935483871,76.07870967741935,12,,
2021-01-01,Albania,Qender,berat,0,16,0,3,0,0,27561.0,55030.0,39664.0,,1.39,,58.99322580645161,72.79161290322581,0.0,76.55064516129032,74.67112903225807,1,52724.0,-24.77050299673773
