date,nights_spent
2020-01-01,21539039.0
2020-02-01,23579845.0
2020-03-01,10975525.0
2020-04-01,0.0
2020-05-01,572162.0
2020-06-01,3916553.0
2020-07-01,21755739.0
2020-08-01,31661014.0
2020-09-01,13395196.0
2020-10-01,7849462.0
2020-11-01,4357310.0
2020-12-01,5074994.0
2021-01-01,3905773.0
2021-02-01,3691649.0
2021-03-01,5591945.0
2021-04-01,6910432.0
2021-05-01,11092892.0
2021-06-01,21634497.0
2021-07-01,42349731.0
2021-08-01,56753849.0
2021-09-01,36255305.0
2021-10-01,32217680.0
2021-11-01,20237815.0
2021-12-01,18790741.0
2022-01-01,15394675.0
2022-02-01,18990282.0
2022-03-01,23600888.0
2022-04-01,34558347.0
2022-05-01,39486464.0
2022-06-01,48649387.0
2022-07-01,63965423.0
2022-08-01,72032841.0
2022-09-01,49012409.0
2022-10-01,39265874.0
2022-11-01,23611518.0
2022-12-01,23056834.0
2023-01-01,21452922.0
2023-02-01,23000407.0
2023-03-01,27550793.0
2023-04-01,38929992.0
2023-05-01,42696790.0
2023-06-01,49720530.0
2023-07-01,64451123.0
2023-08-01,72495554.0
2023-09-01,51485539.0
2023-10-01,42557520.0
2023-11-01,25542702.0
2023-12-01,25026456.0
2024-01-01,22812617.0
2024-02-01,25168963.0
2024-03-01,33696858.0
2024-04-01,36094089.0
2024-05-01,47236039.0
2024-06-01,52253673.0
2024-07-01,65504997.0
2024-08-01,73791179.0
2024-09-01,52868884.0
2024-10-01,43871373.0
2024-11-01,26806814.0
2024-12-01,24979937.0
2025-01-01,23619948.0
2025-02-01,25264418.0
2025-03-01,30251402.0
2025-04-01,39809109.0
2025-05-01,47170360.0
2025-06-01,54175564.0
2025-07-01,67091411.0
2025-08-01,74367338.0
2025-09-01,53888369.0
2025-10-01,44751911.0
2025-11-01,27377889.0
2025-12-01,25809552.0
2026-01-01,24000682.0
2026-02-01,
