date,country,region,county,city,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3,nights_spent,nights_spent_region
2020-01-01,Albania,Qendror (Central),Berat County,berat,0,32,0,11,0,0.0,96566.0,488603.0
2020-02-01,Albania,Qendror (Central),Berat County,berat,0,16,0,0,0,0.0,63781.0,488603.0
2020-03-01,Albania,Qendror (Central),Berat County,berat,0,0,0,0,0,0.0,17009.0,488603.0
2020-04-01,Albania,Qendror (Central),Berat County,berat,0,0,0,0,0,0.0,0.0,488603.0
2020-05-01,Albania,Qendror (Central),Berat County,berat,0,0,0,0,0,0.0,38098.0,488603.0
2020-06-01,Albania,Qendror (Central),Berat County,berat,0,0,0,0,0,0.0,104513.0,488603.0
2020-07-01,Albania,Qendror (Central),Berat County,berat,0,0,0,0,0,0.0,340007.0,488603.0
2020-08-01,Albania,Qendror (Central),Berat County,berat,0,0,0,0,0,0.0,568284.0,488603.0
2020-09-01,Albania,Qendror (Central),Berat County,berat,0,13,0,0,0,0.0,185724.0,488603.0
2020-10-01,Albania,Qendror (Central),Berat County,berat,0,18,0,9,0,0.0,71242.0,488603.0
2020-11-01,Albania,Qendror (Central),Berat County,berat,0,0,0,0,0,0.0,,488603.0
2020-12-01,Albania,Qendror (Central),Berat County,berat,0,10,0,0,0,100.0,,488603.0
2021-01-01,Albania,Qendror (Central),Berat County,berat,0,9,0,0,0,0.0,55030.0,1145547.0
2021-02-01,Albania,Qendror (Central),Berat County,berat,0,13,0,0,0,0.0,54924.0,1145547.0
2021-03-01,Albania,Qendror (Central),Berat County,berat,0,0,0,0,0,0.0,55045.0,1145547.0
2021-04-01,Albania,Qendror (Central),Berat County,berat,0,15,0,0,0,0.0,87134.0,1145547.0
2021-05-01,Albania,Qendror (Central),Berat County,berat,0,22,0,12,0,0.0,142095.0,1145547.0
2021-06-01,Albania,Qendror (Central),Berat County,berat,0,28,0,0,0,0.0,324474.0,1145547.0
2021-07-01,Albania,Qendror (Central),Berat County,berat,0,30,0,12,0,0.0,697052.0,1145547.0
2021-08-01,Albania,Qendror (Central),Berat County,berat,0,36,0,0,0,0.0,986183.0,1145547.0
2021-09-01,Albania,Qendror (Central),Berat County,berat,0,26,0,0,0,0.0,377091.0,1145547.0
2021-10-01,Albania,Qendror (Central),Berat County,berat,0,27,0,0,0,0.0,151723.0,1145547.0
2021-11-01,Albania,Qendror (Central),Berat County,berat,0,29,0,12,0,0.0,131065.0,1145547.0
2021-12-01,Albania,Qendror (Central),Berat County,berat,0,13,0,0,0,0.0,123140.0,1145547.0
2022-01-01,Albania,Qendror (Central),Berat County,berat,0,17,0,0,0,0.0,112180.0,1557837.0
2022-02-01,Albania,Qendror (Central),Berat County,berat,0,23,0,10,0,0.0,103768.0,1557837.0
2022-03-01,Albania,Qendror (Central),Berat County,berat,0,21,0,7,0,0.0,113136.0,1557837.0
2022-04-01,Albania,Qendror (Central),Berat County,berat,0,20,0,9,0,0.0,138541.0,1557837.0
2022-05-01,Albania,Qendror (Central),Berat County,berat,0,26,0,13,0,0.0,265738.0,1557837.0
2022-06-01,Albania,Qendror (Central),Berat County,berat,0,27,0,16,9,0.0,447438.0,1557837.0
2022-07-01,Albania,Qendror (Central),Berat County,berat,0,56,0,21,0,0.0,801208.0,1557837.0
2022-08-01,Albania,Qendror (Central),Berat County,berat,0,52,0,20,0,0.0,961887.0,1557837.0
2022-09-01,Albania,Qendror (Central),Berat County,berat,0,60,0,19,0,0.0,437018.0,1557837.0
2022-10-01,Albania,Qendror (Central),Berat County,berat,0,28,0,10,0,0.0,201009.0,1557837.0
2022-11-01,Albania,Qendror (Central),Berat County,berat,0,25,0,0,0,0.0,127511.0,1557837.0
2022-12-01,Albania,Qendror (Central),Berat County,berat,0,16,0,0,0,0.0,121895.0,1557837.0
2023-01-01,Albania,Qendror (Central),Berat County,berat,0,25,0,0,12,0.0,113635.0,2243740.0
2023-02-01,Albania,Qendror (Central),Berat County,berat,0,17,0,0,0,0.0,110155.0,2243740.0
2023-03-01,Albania,Qendror (Central),Berat County,berat,0,21,0,0,0,0.0,154007.0,2243740.0
2023-04-01,Albania,Qendror (Central),Berat County,berat,0,43,0,12,0,0.0,250769.0,2243740.0
2023-05-01,Albania,Qendror (Central),Berat County,berat,0,58,0,23,0,0.0,389789.0,2243740.0
2023-06-01,Albania,Qendror (Central),Berat County,berat,0,49,0,19,0,0.0,683713.0,2243740.0
2023-07-01,Albania,Qendror (Central),Berat County,berat,0,87,0,25,0,0.0,1187417.0,2243740.0
2023-08-01,Albania,Qendror (Central),Berat County,berat,0,100,0,37,0,0.0,1524990.0,2243740.0
2023-09-01,Albania,Qendror (Central),Berat County,berat,0,85,0,25,0,0.0,820741.0,2243740.0
2023-10-01,Albania,Qendror (Central),Berat County,berat,0,51,0,26,0,0.0,339285.0,2243740.0
2023-11-01,Albania,Qendror (Central),Berat County,berat,0,41,0,12,0,0.0,229230.0,2243740.0
2023-12-01,Albania,Qendror (Central),Berat County,berat,0,16,0,0,0,0.0,204123.0,2243740.0
2024-01-01,Albania,Qendror (Central),Berat County,berat,0,17,0,0,0,0.0,169714.0,3148479.0
2024-02-01,Albania,Qendror (Central),Berat County,berat,0,28,0,0,0,0.0,168756.0,3148479.0
2024-03-01,Albania,Qendror (Central),Berat County,berat,0,36,0,10,0,0.0,224868.0,3148479.0
2024-04-01,Albania,Qendror (Central),Berat County,berat,0,51,0,18,0,0.0,391836.0,3148479.0
2024-05-01,Albania,Qendror (Central),Berat County,berat,0,70,0,31,0,0.0,510285.0,3148479.0
2024-06-01,Albania,Qendror (Central),Berat County,berat,0,70,0,35,0,0.0,869073.0,3148479.0
2024-07-01,Albania,Qendror (Central),Berat County,berat,0,76,0,34,0,0.0,1378296.0,3148479.0
2024-08-01,Albania,Qendror (Central),Berat County,berat,0,88,0,45,0,0.0,1697681.0,3148479.0
2024-09-01,Albania,Qendror (Central),Berat County,berat,9,78,0,54,0,0.0,994932.0,3148479.0
2024-10-01,Albania,Qendror (Central),Berat County,berat,0,55,0,17,0,0.0,488388.0,3148479.0
2024-11-01,Albania,Qendror (Central),Berat County,berat,0,25,0,16,0,0.0,311262.0,3148479.0
2024-12-01,Albania,Qendror (Central),Berat County,berat,0,32,0,0,0,0.0,240623.0,3148479.0
2025-01-01,Albania,Qendror (Central),Berat County,berat,0,24,0,0,0,0.0,230420.0,
2025-02-01,Albania,Qendror (Central),Berat County,berat,0,19,0,0,0,0.0,226431.0,
2025-03-01,Albania,Qendror (Central),Berat County,berat,0,30,0,12,0,0.0,294082.0,
2025-04-01,Albania,Qendror (Central),Berat County,berat,0,38,0,18,0,0.0,475233.0,
2025-05-01,Albania,Qendror (Central),Berat County,berat,0,38,0,21,0,0.0,671231.0,
2025-06-01,Albania,Qendror (Central),Berat County,berat,0,50,0,31,0,0.0,1201253.0,
2025-07-01,Albania,Qendror (Central),Berat County,berat,0,59,0,26,0,0.0,1839778.0,
2025-08-01,Albania,Qendror (Central),Berat County,berat,0,72,0,29,0,0.0,2263355.0,
2025-09-01,Albania,Qendror (Central),Berat County,berat,0,68,0,26,0,0.0,1189483.0,
2025-10-01,Albania,Qendror (Central),Berat County,berat,0,59,0,23,0,0.0,573215.0,
2025-11-01,Albania,Qendror (Central),Berat County,berat,0,30,0,13,0,0.0,404055.0,
2025-12-01,Albania,Qendror (Central),Berat County,berat,13,15,0,0,0,0.0,303555.0,
2026-01-01,Albania,Qendror (Central),Berat County,berat,0,36,0,0,0,0.0,254775.0,
2026-02-01,Albania,Qendror (Central),Berat County,berat,0,26,0,0,0,0.0,,
2026-03-01,Albania,Qendror (Central),Berat County,berat,0,37,0,13,0,0.0,,
2020-01-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,15,0,0,0,,96566.0,655043.0
2020-02-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,18,0,0,0,,63781.0,655043.0
2020-03-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,0,0,0,0,,17009.0,655043.0
2020-04-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,0,0,0,0,,0.0,655043.0
2020-05-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,0,0,0,0,,38098.0,655043.0
2020-06-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,0,0,0,0,,104513.0,655043.0
2020-07-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,15,0,0,0,,340007.0,655043.0
2020-08-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,34,0,0,0,,568284.0,655043.0
2020-09-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,35,0,0,0,,185724.0,655043.0
2020-10-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,39,0,0,0,,71242.0,655043.0
2020-11-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,18,0,0,0,,,655043.0
2020-12-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,17,0,0,0,,,655043.0
2021-01-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,19,0,0,0,,55030.0,1214764.0
2021-02-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,0,0,0,0,,54924.0,1214764.0
2021-03-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,16,0,0,0,,55045.0,1214764.0
2021-04-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,26,0,0,0,,87134.0,1214764.0
2021-05-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,20,0,0,0,,142095.0,1214764.0
2021-06-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,32,0,0,0,,324474.0,1214764.0
2021-07-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,31,0,0,0,,697052.0,1214764.0
2021-08-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,44,0,18,0,,986183.0,1214764.0
2021-09-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,41,0,16,0,,377091.0,1214764.0
2021-10-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,32,0,0,0,,151723.0,1214764.0
2021-11-01,Albania,Jugor (Southern),Gjirokastër County,gjirokastra,0,29,0,0,0,,131065.0,1214764.0
