freq,accomunit,unit,nace_r2,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,BEDPL,NR,I551,AT	650559 	654127 	653586 	651003 	650020 	646125 	640199 	633601 	584889 	576602 	588213 	587305 	569306 	566274 	570785 	571377 	572514 	573726 	579758 	587899 	589293 	594357 	594841 	601483 	598742 	600342 	601945 	609393 	615541 	607010 	608836 	601641 	610655 	610755 	617125 	: 
A,BEDPL,NR,I551,BE	93710 	86472 	101804 	108205 	108811 	114887 	117299 	117513 	116297 	119365 	119165 	121512 	123356 	122385 	122043 	120668 	123775 	124811 	125492 	126134 	128494 	130664 	128703 	128641 	127835 	129307 	129232 	129456 	136406 	137484 	139565 	139252 	144015 	148173 	148602 	: 
A,BEDPL,NR,I551,BG	262966 	154350 	124680 	127450 	114400 	118112 	107111 	99953 	112002 	100663 	121222 	117369 	133369 	143960 	170956 	200940 	211565 	231303 	239706 	249193 	245442 	241665 	261159 	262196 	271526 	279090 	281869 	293494 	286219 	288027 	233549 	255058 	294183 	299081 	299560 	: 
A,BEDPL,NR,I551,CH	269759 	267067 	266150 	265136 	264824 	264983 	262471 	261482 	260290 	260592 	259721 	260122 	259004 	: 	: 	274035 	271591 	270146 	270487 	273974 	275193 	273969 	271168 	271298 	272636 	273507 	271710 	275203 	274792 	273849 	: 	280471 	282486 	287412 	293256 	: 
A,BEDPL,NR,I551,CY	57602 	61871 	68066 	72211 	74671 	77259 	83517 	83288 	85161 	83347 	84479 	87834 	90112 	91419 	92239 	91264 	89490 	87804 	85681 	84327 	83888 	83228 	84217 	84715 	85150 	84426 	83251 	84977 	86252 	89200 	89912 	89626 	87227 	83871 	93157 	: 
A,BEDPL,NR,I551,CZ	94514 	64214 	78221 	86149 	93771 	117198 	167058 	195733 	202957 	203819 	217664 	218645 	223392 	226770 	229689 	232211 	236104 	248077 	258076 	260736 	255882 	261858 	319692 b	317875 	306430 	314210 	317756 	317361 	327572 	328501 	: 	382402 	387488 	371396 	366610 	: 
A,BEDPL,NR,I551,DE	1126376 	1140334 	1166436 	1321470 	1380713 	1446748 	1490612 	1527228 	1546862 	1561830 	1590332 	1602960 	1607700 	1611106 	1609027 	1621118 	1630736 	1643748 	1676738 	1693973 	1721826 	1749435 	1751024 	1757624 	1763742 	1778206 	1784654 	1811615 	1846611 	1889315 	1807802 	1829643 	1899443 	1929379 	1941784 	: 
A,BEDPL,NR,I551,DK	88468 	92524 	96024 	97058 	99275 	98991 	60080 	59339 	59772 	60513 	62905 	66472 	67069 	68393 	70293 	70049 	70769 	73384 	73491 	77448 	81522 	87015 	87389 	87129 	90433 	89371 	90503 	93386 	97642 	104702 	: 	114351 	118467 	120409 	124531 	: 
A,BEDPL,NR,I551,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8023230 	: 	: 	: 	8606669 	8716648 	8871155 	9255390 	9369860 	9509433 	9685631 	9731448 	9778310 	9861095 	10006888 	10019920 	10119707 	10246570 e	10391147 	10069176 e	10166823 	10534942 	10807751 	10919481 	: 
A,BEDPL,NR,I551,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10006888 	10019920 	10119707 	10246570 e	10391147 	10069176 e	10166823 	10534942 	: 	: 	: 
A,BEDPL,NR,I551,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10705679 	10807751 	10919481 	: 
A,BEDPL,NR,I551,EE	: 	: 	: 	7481 	9163 	10576 	10826 	11320 	13668 	16034 	16292 	17385 	15895 	18366 	22673 	25228 	26058 	28634 	29760 	30826 	30324 	31349 	31590 	31989 	32437 	32620 	32404 	34147 	34108 	35909 	34604 	34493 	35406 	35807 	35844 	: 
A,BEDPL,NR,I551,EL	: 	: 	: 	: 	508408 	557188 	571656 	577259 	584834 	597855 	607614 	607614 	606330 	644898 	668271 	682050 	693252 	700933 	715857 	731744 	764437 	789366 	771190 	773269 	800022 	801787 	797995 	794507 	809555 	841114 	626027 	675031 	905281 	901452 	906866 	: 
A,BEDPL,NR,I551,ES	929533 	972292 	1003199 	1009241 	1053355 	1031684 	1025208 	972721 	979325 	1299021 	1315697 	1333441 	1393930 	1451922 	1511592 	1579965 	1614545 	1642417 	1685118 	1736937 	1784731 	1838468 	1858702 	1867823 	1875912 	1906827 	1893978 	1916607 	1940264 	1954825 	1964697 	1984803 	1997054 	2023680 	2043972 	: 
A,BEDPL,NR,I551,EU25	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12934997 	13080610 	13126730 	13271021 e	13473842 e	13684212 e	: 	: 	: 	: 	: 	: 
A,BEDPL,NR,I551,EU27_2007	: 	: 	: 	: 	9491947 	9487331 	: 	: 	10050864 	10495763 	10639232 	10460683 	10685554 	10895254 	11138556 	11198049 	11540646 	11715177 	11961757 	12296418 	12475501 	12624940 	12895682 	13411894 	13424244 	13584927 	13622234 	13784265 e	13983238 e	14197938 e	: 	: 	: 	: 	: 	: 
A,BEDPL,NR,I551,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10339171 	10448121 	10633284 	10886643 	11035653 	11211005 	11369093 	11481354 	11555679 	11642826 	11794753 	11839129 	11973303 	12139524 e	12322551 	11885902 e	12158521 	12631595 	12753427 	12899728 	: 
A,BEDPL,NR,I551,EU28	: 	: 	: 	: 	9696269 	9692565 	: 	: 	10250435 	10689479 	10837078 	: 	10873501 	11088792 	11337589 	11401513 	11703814 	11878348 	12125303 	12446487 	12627182 	12779673 	13052474 	13573851 	13586119 	13749602 	13789614 	13950750 e	14152346 e	14368943 e	: 	: 	: 	: 	: 	: 
A,BEDPL,NR,I551,FI	92103 	97434 	100869 	107032 	106374 	105030 	108438 	109391 	112289 	114892 	117322 	118493 	117870 	120051 	119941 	117605 	118170 	119397 	120621 	120175 	121127 	122182 	135279 	136891 	133785 	134107 	135177 	140099 	143256 	143023 	144153 	146970 	148703 	148438 	147571 	: 
A,BEDPL,NR,I551,FR	1087714 	1173692 	1409264 	1410706 	1379955 	1193340 	: 	: 	1467322 	1451119 	1485863 	1202494 	1235002 	1236396 	1241255 	1266325 	1258294 	1253962 	1255650 	1248448 	1246006 	1249322 	1249322 	1258942 	1274920 	1304692 	1312372 	1320034 	1305914 	1308956 	1315642 	1305906 	1305906 	1345774 	1351064 	1361312 
A,BEDPL,NR,I551,HR	: 	: 	: 	203356 	204322 	205234 	200968 	199127 	199571 	193716 	197846 	187749 	187947 	193538 	199033 	203464 	163168 	163171 	163546 	150069 	151681 	154733 	156792 	161957 	161875 	164675 	167380 	166485 	169108 	171005 	153263 	165102 	170737 	172875 	172649 	: 
A,BEDPL,NR,I551,HU	: 	: 	: 	: 	85605 	119109 	127650 	133362 	136413 	144600 	143573 	148225 	154643 	158634 	157970 	162235 	158762 	154088 	154521 	157464 	161381 	158564 	170592 	173156 	173914 	177182 	181407 	181240 	183557 	184090 	: 	160974 	184744 	185659 	188663 	: 
A,BEDPL,NR,I551,IE	70334 	77395 	81071 	89989 	100000 	96900 	96905 	107425 	117163 	135473 	138579 	140966 	144963 	146231 	144632 	148653 	148077 	156775 	168660 	162713 	151715 	166961 	161165 	155660 	151258 	150083 	150083 	150083 	158511 	158511 	: 	165480 e	172265 	173587 	171925 	: 
A,BEDPL,NR,I551,IS	6397 	7098 	7089 	7894 	8130 	9752 	10209 	10713 	12030 	12471 	12471 	12632 	14009 	14769 	15223 	16639 	16849 	18437 	19255 	19255 	19907 	20862 	21755 	22662 	25023 	28172 	29403 	30708 	32223 	34002 	34168 	: 	: 	: 	: 	: 
A,BEDPL,NR,I551,IT	1703542 	1708033 	1722977 	1724996 	1724333 	1739543 	1764651 	1772096 	1782382 	1807275 	1854101 	1891281 	1929544 	1969495 	1999729 	2028452 	2086942 	2142786 	2201838 	2227832 	2253342 	2253003 	2250704 	2233823 	2241239 	2250718 	2248225 	2239446 	2260893 	2260490 	2229264 	2232676 	2241988 	2232799 	2283546 	: 
A,BEDPL,NR,I551,LI	1387 	: 	: 	: 	: 	1353 	1333 	1369 	1246 	1194 	1184 	1155 	1270 	1160 	1176 	1189 	1263 	1265 	1195 	1110 	1098 	1121 	1262 	1239 	1288 	1257 	1660 	1596 	1666 	1671 	1497 	1561 	1470 	1516 	1425 	: 
A,BEDPL,NR,I551,LT	: 	: 	: 	10399 	9887 	9765 	9897 	10307 	11714 	11553 	11489 	11071 	11980 	14346 	18630 	19940 	21504 	21871 	22024 	23839 	24302 	26114 	27453 	27793 	28459 	28585 	28665 	28930 	30900 	39689 	38860 	46305 	39729 	46553 	38577 	: 
A,BEDPL,NR,I551,LU	14782 	14782 	14782 	14782 	14705 	14748 	14750 	14776 	14709 	14449 	14352 	14185 	14562 	14638 	14237 	14427 	14239 	14559 	14445 	14709 	15709 	15954 	15469 	15028 	14787 	13461 	14262 	14240 	14503 	14397 	14948 	15362 	15781 	15898 	16089 	: 
A,BEDPL,NR,I551,LV	: 	: 	9514 	16429 	13216 	13376 	12388 	14609 	13613 	12453 	11890 	13139 	13744 	14983 	17933 	19229 	19650 	20685 	23541 	25392 	27389 	27067 	21767 	22594 	22781 	25398 	26164 	26599 	26475 	27315 	: 	22978 	23982 	26180 	26652 	: 
A,BEDPL,NR,I551,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40732 u	34645 	: 	: 	: 	35518 	36333 	36155 	36858 	22859 e	: 	34321 	49610 	50926 	: 
A,BEDPL,NR,I551,MK	14501 	14409 	14333 	14282 	14988 	15032 	15063 	15476 	15955 	16418 	15950 	16342 	16488 	: 	: 	: 	: 	: 	10909 	11904 	13046 	13943 	14864 	15744 	16687 	18160 	19567 	20500 	23146 	23858 	24187 	24407 	24686 	25323 	24880 	: 
A,BEDPL,NR,I551,MT	33646 	33999 	33989 	36169 	37677 	37190 	38052 	41728 	38784 	40742 	40782 	39020 	39624 	40115 	40779 	37322 	39518 	39985 	38876 	39062 	39139 	38325 	39264 	41626 	40222 	41283 	41684 	42973 	43522 	46350 	47604 	46231 	48590 	49078 	50611 	: 
A,BEDPL,NR,I551,NL	111329 	112583 	115844 	133030 	138060 	142516 	142800 	157926 	169078 	169749 	173066 	174314 	177435 	180158 	189835 	192215 	192067 	200254 	198647 	203852 	211772 	213932 	226341 	244145 	252115 	254589 	261164 	270098 	286069 	303713 	312453 	322363 	327449 	321123 	326564 	: 
A,BEDPL,NR,I551,NO	112660 	116926 	120480 	123136 	129199 	131217 	133521 	135605 	137188 	137653 	140580 	143804 	143634 	143798 	141095 	143568 	151252 	154311 	157266 	169245 	175466 	178203 	186675 	187243 	185437 	183912 	187943 	188235 	201711 	: 	: 	203295 	206613 	209204 	215305 	: 
A,BEDPL,NR,I551,PL	65577 	66431 	75422 	89549 	87837 	93309 	102272 	111316 	120589 	120285 	120280 	118213 	127559 	134323 	165311 	169609 	178056 	190387 	210507 	221633 	240967 	252511 	264145 	274297 	292521 	301555 	325776 	335917 	353785 	368944 	: 	372005 	381104 	395157 	411510 	: 
A,BEDPL,NR,I551,PT	179337 	188501 	190892 	198862 	202442 	204051 	208205 	211315 	215572 	216828 	222958 	228665 	239903 	245778 	253927 	263814 	264037 	264747 	273975 	273804 	279506 	289107 	296321 	309918 	309918 	328186 	337175 	363088 	358723 	362247 	347656 	341515 	363953 	372840 	378101 	: 
A,BEDPL,NR,I551,RO	263497 	225556 	222599 	211413 	209244 	205668 	205226 	205446 	204876 	202991 	199333 	199320 	197320 	201636 	207810 	216499 	226383 	228123 	237917 	247426 	258238 	248592 	212530 	214620 	217721 	225227 	213635 	219750 	223177 	225699 	223807 	267818 	279333 	287940 	299748 	: 
