country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Albania,Jugor (Southern),Vlore County,sarande,2020-01-01,0,3,0,4,43,0
Albania,Jugor (Southern),Vlore County,sarande,2020-02-01,0,5,0,3,31,0
Albania,Jugor (Southern),Vlore County,sarande,2020-03-01,0,8,0,2,24,0
Albania,Jugor (Southern),Vlore County,sarande,2020-04-01,0,5,0,1,23,0
Albania,Jugor (Southern),Vlore County,sarande,2020-05-01,0,6,0,2,28,0
Albania,Jugor (Southern),Vlore County,sarande,2020-06-01,0,10,0,3,29,0
Albania,Jugor (Southern),Vlore County,sarande,2020-07-01,0,20,0,8,25,0
Albania,Jugor (Southern),Vlore County,sarande,2020-08-01,1,21,0,13,23,0
Albania,Jugor (Southern),Vlore County,sarande,2020-09-01,0,8,0,5,23,0
Albania,Jugor (Southern),Vlore County,sarande,2020-10-01,0,4,0,1,18,0
Albania,Jugor (Southern),Vlore County,sarande,2020-11-01,0,1,0,1,16,0
Albania,Jugor (Southern),Vlore County,sarande,2020-12-01,0,2,0,1,20,0
Albania,Jugor (Southern),Vlore County,sarande,2021-01-01,0,2,0,1,20,0
Albania,Jugor (Southern),Vlore County,sarande,2021-02-01,0,2,0,1,17,0
Albania,Jugor (Southern),Vlore County,sarande,2021-03-01,0,4,0,2,15,0
Albania,Jugor (Southern),Vlore County,sarande,2021-04-01,1,5,1,3,15,0
Albania,Jugor (Southern),Vlore County,sarande,2021-05-01,0,10,0,6,19,0
Albania,Jugor (Southern),Vlore County,sarande,2021-06-01,1,16,0,14,25,0
Albania,Jugor (Southern),Vlore County,sarande,2021-07-01,0,23,0,21,71,0
Albania,Jugor (Southern),Vlore County,sarande,2021-08-01,0,25,0,23,58,0
Albania,Jugor (Southern),Vlore County,sarande,2021-09-01,0,6,0,7,49,0
Albania,Jugor (Southern),Vlore County,sarande,2021-10-01,0,3,0,2,100,0
Albania,Jugor (Southern),Vlore County,sarande,2021-11-01,0,3,0,1,47,0
Albania,Jugor (Southern),Vlore County,sarande,2021-12-01,0,3,0,1,59,0
Albania,Jugor (Southern),Vlore County,sarande,2022-01-01,0,4,0,2,55,0
Albania,Jugor (Southern),Vlore County,sarande,2022-02-01,0,4,0,3,37,0
Albania,Jugor (Southern),Vlore County,sarande,2022-03-01,0,4,0,2,33,0
Albania,Jugor (Southern),Vlore County,sarande,2022-04-01,0,6,0,5,30,0
Albania,Jugor (Southern),Vlore County,sarande,2022-05-01,1,10,0,9,38,0
Albania,Jugor (Southern),Vlore County,sarande,2022-06-01,1,15,0,22,47,0
Albania,Jugor (Southern),Vlore County,sarande,2022-07-01,1,21,0,35,65,0
Albania,Jugor (Southern),Vlore County,sarande,2022-08-01,1,19,0,36,47,0
