country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Spain,Andalucía,Andalusia,andalusia,2020-01-01,1,4,13,80,1,4
Spain,Andalucía,Andalusia,andalusia,2020-02-01,1,4,8,85,1,5
Spain,Andalucía,Andalusia,andalusia,2020-03-01,0,1,6,72,0,0
Spain,Andalucía,Andalusia,andalusia,2020-04-01,0,1,1,59,0,0
Spain,Andalucía,Andalusia,andalusia,2020-05-01,0,1,2,62,0,0
Spain,Andalucía,Andalusia,andalusia,2020-06-01,0,1,3,63,0,0
Spain,Andalucía,Andalusia,andalusia,2020-07-01,0,1,4,63,0,0
Spain,Andalucía,Andalusia,andalusia,2020-08-01,0,1,2,62,0,0
Spain,Andalucía,Andalusia,andalusia,2020-09-01,0,1,2,59,0,0
Spain,Andalucía,Andalusia,andalusia,2020-10-01,0,1,2,54,0,0
Spain,Andalucía,Andalusia,andalusia,2020-11-01,0,1,2,46,0,0
Spain,Andalucía,Andalusia,andalusia,2020-12-01,0,1,2,48,0,0
Spain,Andalucía,Andalusia,andalusia,2021-01-01,0,1,2,48,0,0
Spain,Andalucía,Andalusia,andalusia,2021-02-01,0,1,2,47,0,0
Spain,Andalucía,Andalusia,andalusia,2021-03-01,0,1,2,49,0,0
Spain,Andalucía,Andalusia,andalusia,2021-04-01,0,1,2,48,0,0
Spain,Andalucía,Andalusia,andalusia,2021-05-01,0,1,2,55,0,0
Spain,Andalucía,Andalusia,andalusia,2021-06-01,0,1,3,60,0,0
Spain,Andalucía,Andalusia,andalusia,2021-07-01,0,1,3,62,0,0
Spain,Andalucía,Andalusia,andalusia,2021-08-01,0,2,4,63,0,0
Spain,Andalucía,Andalusia,andalusia,2021-09-01,0,2,4,62,0,0
Spain,Andalucía,Andalusia,andalusia,2021-10-01,0,3,5,65,1,2
Spain,Andalucía,Andalusia,andalusia,2021-11-01,0,2,4,58,0,0
Spain,Andalucía,Andalusia,andalusia,2021-12-01,0,2,2,55,0,0
Spain,Andalucía,Andalusia,andalusia,2022-01-01,0,3,5,59,0,0
Spain,Andalucía,Andalusia,andalusia,2022-02-01,1,3,5,62,1,6
Spain,Andalucía,Andalusia,andalusia,2022-03-01,1,3,6,61,1,6
Spain,Andalucía,Andalusia,andalusia,2022-04-01,1,3,6,68,1,24
Spain,Andalucía,Andalusia,andalusia,2022-05-01,1,3,8,65,1,12
Spain,Andalucía,Andalusia,andalusia,2022-06-01,0,2,7,61,1,1
Spain,Andalucía,Andalusia,andalusia,2022-07-01,0,2,7,62,1,1
Spain,Andalucía,Andalusia,andalusia,2022-08-01,0,3,5,60,1,1
Spain,Andalucía,Andalusia,andalusia,2022-09-01,0,3,5,60,1,1
Spain,Andalucía,Andalusia,andalusia,2022-10-01,0,3,5,62,1,1
Spain,Andalucía,Andalusia,andalusia,2022-11-01,0,2,4,55,0,0
Spain,Andalucía,Andalusia,andalusia,2022-12-01,0,2,3,55,0,0
Spain,Andalucía,Andalusia,andalusia,2023-01-01,1,3,7,68,1,5
Spain,Andalucía,Andalusia,andalusia,2023-02-01,1,3,6,66,1,5
