country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Greece,Attica,Athens Prefecture,athens,2020-01-01,4,36,30,6,38,1
Greece,Attica,Athens Prefecture,athens,2020-02-01,4,37,26,6,42,1
Greece,Attica,Athens Prefecture,athens,2020-03-01,2,18,14,4,33,0
Greece,Attica,Athens Prefecture,athens,2020-04-01,1,8,6,4,34,0
Greece,Attica,Athens Prefecture,athens,2020-05-01,1,11,9,3,36,1
Greece,Attica,Athens Prefecture,athens,2020-06-01,2,15,12,3,33,1
Greece,Attica,Athens Prefecture,athens,2020-07-01,2,18,13,3,30,1
Greece,Attica,Athens Prefecture,athens,2020-08-01,2,17,12,4,29,1
Greece,Attica,Athens Prefecture,athens,2020-09-01,2,17,10,5,40,1
Greece,Attica,Athens Prefecture,athens,2020-10-01,2,17,10,4,39,1
Greece,Attica,Athens Prefecture,athens,2020-11-01,1,8,7,2,33,0
Greece,Attica,Athens Prefecture,athens,2020-12-01,1,8,7,2,28,0
Greece,Attica,Athens Prefecture,athens,2021-01-01,1,9,7,3,32,0
Greece,Attica,Athens Prefecture,athens,2021-02-01,1,9,7,3,36,0
Greece,Attica,Athens Prefecture,athens,2021-03-01,1,10,8,3,35,0
Greece,Attica,Athens Prefecture,athens,2021-04-01,2,11,10,3,31,1
Greece,Attica,Athens Prefecture,athens,2021-05-01,2,18,13,3,32,1
Greece,Attica,Athens Prefecture,athens,2021-06-01,3,22,16,4,31,1
Greece,Attica,Athens Prefecture,athens,2021-07-01,3,28,18,6,31,1
Greece,Attica,Athens Prefecture,athens,2021-08-01,2,25,16,6,29,1
Greece,Attica,Athens Prefecture,athens,2021-09-01,2,25,15,6,37,1
Greece,Attica,Athens Prefecture,athens,2021-10-01,2,20,14,6,40,1
Greece,Attica,Athens Prefecture,athens,2021-11-01,2,18,12,5,35,0
Greece,Attica,Athens Prefecture,athens,2021-12-01,2,14,11,3,28,0
Greece,Attica,Athens Prefecture,athens,2022-01-01,3,17,16,5,36,1
Greece,Attica,Athens Prefecture,athens,2022-02-01,3,24,19,6,38,1
Greece,Attica,Athens Prefecture,athens,2022-03-01,4,28,23,7,41,1
