country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Spain,Illes Balears,Balearic Islands,balearics,2020-01-01,1,31,4,59,21,1
Spain,Illes Balears,Balearic Islands,balearics,2020-02-01,1,27,2,57,21,1
Spain,Illes Balears,Balearic Islands,balearics,2020-03-01,1,13,2,40,13,1
Spain,Illes Balears,Balearic Islands,balearics,2020-04-01,0,5,1,26,13,1
Spain,Illes Balears,Balearic Islands,balearics,2020-05-01,1,9,1,35,20,1
Spain,Illes Balears,Balearic Islands,balearics,2020-06-01,1,16,1,44,36,1
Spain,Illes Balears,Balearic Islands,balearics,2020-07-01,2,28,2,51,52,1
Spain,Illes Balears,Balearic Islands,balearics,2020-08-01,1,18,1,48,53,1
Spain,Illes Balears,Balearic Islands,balearics,2020-09-01,1,9,1,41,34,0
Spain,Illes Balears,Balearic Islands,balearics,2020-10-01,0,6,1,35,14,0
Spain,Illes Balears,Balearic Islands,balearics,2020-11-01,0,5,1,32,10,0
Spain,Illes Balears,Balearic Islands,balearics,2020-12-01,0,6,1,32,11,0
Spain,Illes Balears,Balearic Islands,balearics,2021-01-01,0,6,1,32,12,0
Spain,Illes Balears,Balearic Islands,balearics,2021-02-01,0,7,1,33,13,1
Spain,Illes Balears,Balearic Islands,balearics,2021-03-01,1,12,1,35,15,1
Spain,Illes Balears,Balearic Islands,balearics,2021-04-01,1,13,1,38,22,0
Spain,Illes Balears,Balearic Islands,balearics,2021-05-01,2,29,1,50,36,1
Spain,Illes Balears,Balearic Islands,balearics,2021-06-01,3,38,2,60,54,1
Spain,Illes Balears,Balearic Islands,balearics,2021-07-01,2,33,2,60,60,1
Spain,Illes Balears,Balearic Islands,balearics,2021-08-01,2,33,2,62,68,1
Spain,Illes Balears,Balearic Islands,balearics,2021-09-01,1,28,2,66,40,1
Spain,Illes Balears,Balearic Islands,balearics,2021-10-01,1,21,1,55,22,1
Spain,Illes Balears,Balearic Islands,balearics,2021-11-01,1,11,1,43,12,0
Spain,Illes Balears,Balearic Islands,balearics,2021-12-01,1,9,1,31,14,0
Spain,Illes Balears,Balearic Islands,balearics,2022-01-01,2,19,2,45,21,1
