country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Spain,Cataluña,Barcelona Province,barcelona,2020-01-01,6,66,28,65,5,4
Spain,Cataluña,Barcelona Province,barcelona,2020-02-01,6,62,19,64,6,6
Spain,Cataluña,Barcelona Province,barcelona,2020-03-01,2,31,11,50,3,3
Spain,Cataluña,Barcelona Province,barcelona,2020-04-01,1,13,4,41,1,1
Spain,Cataluña,Barcelona Province,barcelona,2020-05-01,1,15,4,44,1,1
Spain,Cataluña,Barcelona Province,barcelona,2020-06-01,2,23,5,45,2,2
Spain,Cataluña,Barcelona Province,barcelona,2020-07-01,2,29,6,39,2,2
Spain,Cataluña,Barcelona Province,barcelona,2020-08-01,2,24,5,37,2,1
Spain,Cataluña,Barcelona Province,barcelona,2020-09-01,1,21,4,43,2,2
Spain,Cataluña,Barcelona Province,barcelona,2020-10-01,1,20,4,41,1,1
Spain,Cataluña,Barcelona Province,barcelona,2020-11-01,1,16,3,37,1,1
Spain,Cataluña,Barcelona Province,barcelona,2020-12-01,1,19,4,51,1,1
Spain,Cataluña,Barcelona Province,barcelona,2021-01-01,1,17,4,35,1,1
Spain,Cataluña,Barcelona Province,barcelona,2021-02-01,1,21,4,38,1,1
Spain,Cataluña,Barcelona Province,barcelona,2021-03-01,2,20,4,39,1,1
Spain,Cataluña,Barcelona Province,barcelona,2021-04-01,2,22,4,38,1,1
Spain,Cataluña,Barcelona Province,barcelona,2021-05-01,2,30,5,42,2,2
Spain,Cataluña,Barcelona Province,barcelona,2021-06-01,3,36,6,43,2,2
Spain,Cataluña,Barcelona Province,barcelona,2021-07-01,3,40,7,44,4,2
Spain,Cataluña,Barcelona Province,barcelona,2021-08-01,3,47,8,47,4,2
Spain,Cataluña,Barcelona Province,barcelona,2021-09-01,3,41,8,51,4,2
Spain,Cataluña,Barcelona Province,barcelona,2021-10-01,3,42,9,49,5,3
Spain,Cataluña,Barcelona Province,barcelona,2021-11-01,2,36,8,52,4,3
Spain,Cataluña,Barcelona Province,barcelona,2021-12-01,2,30,6,69,3,2
Spain,Cataluña,Barcelona Province,barcelona,2022-01-01,4,38,11,47,3,2
Spain,Cataluña,Barcelona Province,barcelona,2022-02-01,5,53,14,52,5,5
Spain,Cataluña,Barcelona Province,barcelona,2022-03-01,6,54,16,59,5,4
Spain,Cataluña,Barcelona Province,barcelona,2022-04-01,6,62,17,69,7,5
Spain,Cataluña,Barcelona Province,barcelona,2022-05-01,7,62,17,71,7,6
Spain,Cataluña,Barcelona Province,barcelona,2022-06-01,6,60,18,66,6,10
Spain,Cataluña,Barcelona Province,barcelona,2022-07-01,6,59,17,62,8,9
Spain,Cataluña,Barcelona Province,barcelona,2022-08-01,5,56,15,67,8,4
Spain,Cataluña,Barcelona Province,barcelona,2022-09-01,5,52,14,62,6,4
Spain,Cataluña,Barcelona Province,barcelona,2022-10-01,4,48,13,100,6,3
Spain,Cataluña,Barcelona Province,barcelona,2022-11-01,4,39,12,68,5,3
Spain,Cataluña,Barcelona Province,barcelona,2022-12-01,3,36,11,70,4,3
Spain,Cataluña,Barcelona Province,barcelona,2023-01-01,6,52,18,60,5,3
Spain,Cataluña,Barcelona Province,barcelona,2023-02-01,6,54,18,66,5,4
Spain,Cataluña,Barcelona Province,barcelona,2023-03-01,6,53,17,64,7,5
Spain,Cataluña,Barcelona Province,barcelona,2023-04-01,6,57,17,72,9,5
Spain,Cataluña,Barcelona Province,barcelona,2023-05-01,5,54,16,75,9,6
Spain,Cataluña,Barcelona Province,barcelona,2023-06-01,5,53,16,68,9,7
Spain,Cataluña,Barcelona Province,barcelona,2023-07-01,5,56,17,66,10,6
Spain,Cataluña,Barcelona Province,barcelona,2023-08-01,5,54,14,69,10,4
Spain,Cataluña,Barcelona Province,barcelona,2023-09-01,4,55,14,72,10,4
Spain,Cataluña,Barcelona Province,barcelona,2023-10-01,4,47,13,72,9,4
Spain,Cataluña,Barcelona Province,barcelona,2023-11-01,4,40,12,77,6,4
Spain,Cataluña,Barcelona Province,barcelona,2023-12-01,3,37,11,77,5,3
Spain,Cataluña,Barcelona Province,barcelona,2024-01-01,5,52,18,66,6,4
Spain,Cataluña,Barcelona Province,barcelona,2024-02-01,6,55,18,67,7,5
Spain,Cataluña,Barcelona Province,barcelona,2024-03-01,5,54,19,82,10,5
Spain,Cataluña,Barcelona Province,barcelona,2024-04-01,5,59,18,85,11,5
Spain,Cataluña,Barcelona Province,barcelona,2024-05-01,5,56,18,80,12,6
Spain,Cataluña,Barcelona Province,barcelona,2024-06-01,5,54,18,74,11,8
Spain,Cataluña,Barcelona Province,barcelona,2024-07-01,5,56,18,69,11,6
Spain,Cataluña,Barcelona Province,barcelona,2024-08-01,4,51,16,73,10,4
Spain,Cataluña,Barcelona Province,barcelona,2024-09-01,4,49,15,76,9,4
Spain,Cataluña,Barcelona Province,barcelona,2024-10-01,4,43,15,68,8,4
Spain,Cataluña,Barcelona Province,barcelona,2024-11-01,3,38,13,58,6,3
Spain,Cataluña,Barcelona Province,barcelona,2024-12-01,3,37,12,69,6,3
Spain,Cataluña,Barcelona Province,barcelona,2025-01-01,5,49,18,58,6,3
Spain,Cataluña,Barcelona Province,barcelona,2025-02-01,5,48,18,64,7,4
Spain,Cataluña,Barcelona Province,barcelona,2025-03-01,5,51,18,68,9,5
Spain,Cataluña,Barcelona Province,barcelona,2025-04-01,5,49,17,73,10,5
Spain,Cataluña,Barcelona Province,barcelona,2025-05-01,5,50,17,69,10,6
Spain,Cataluña,Barcelona Province,barcelona,2025-06-01,5,52,18,66,9,6
Spain,Cataluña,Barcelona Province,barcelona,2025-07-01,5,60,21,75,10,6
Spain,Cataluña,Barcelona Province,barcelona,2025-08-01,8,99,71,82,12,14
Spain,Cataluña,Barcelona Province,barcelona,2025-09-01,8,97,79,76,9,12
Spain,Cataluña,Barcelona Province,barcelona,2025-10-01,8,84,63,74,10,9
Spain,Cataluña,Barcelona Province,barcelona,2025-11-01,7,77,57,71,7,7
Spain,Cataluña,Barcelona Province,barcelona,2025-12-01,6,66,47,77,6,7
Spain,Cataluña,Barcelona Province,barcelona,2026-01-01,7,78,41,66,6,8
Spain,Cataluña,Barcelona Province,barcelona,2026-02-01,6,80,52,89,8,9
Spain,Cataluña,Barcelona Province,barcelona,2026-03-01,7,87,55,93,11,11
