country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Albania,Qendror (Central),Berat County,berat,2020-01-01,0,26,0,4,0,0
Albania,Qendror (Central),Berat County,berat,2020-02-01,0,20,0,0,0,0
Albania,Qendror (Central),Berat County,berat,2020-03-01,0,17,0,0,0,0
Albania,Qendror (Central),Berat County,berat,2020-04-01,0,13,0,0,0,0
Albania,Qendror (Central),Berat County,berat,2020-05-01,0,12,0,2,0,0
Albania,Qendror (Central),Berat County,berat,2020-06-01,0,16,0,0,0,0
Albania,Qendror (Central),Berat County,berat,2020-07-01,0,17,0,0,0,0
Albania,Qendror (Central),Berat County,berat,2020-08-01,0,17,0,3,0,0
Albania,Qendror (Central),Berat County,berat,2020-09-01,0,19,0,3,0,0
Albania,Qendror (Central),Berat County,berat,2020-10-01,0,17,0,3,0,0
Albania,Qendror (Central),Berat County,berat,2020-11-01,0,15,0,3,0,0
Albania,Qendror (Central),Berat County,berat,2020-12-01,0,18,0,2,0,0
Albania,Qendror (Central),Berat County,berat,2021-01-01,0,16,0,3,0,0
Albania,Qendror (Central),Berat County,berat,2021-02-01,0,19,0,0,0,0
Albania,Qendror (Central),Berat County,berat,2021-03-01,0,26,0,3,0,0
Albania,Qendror (Central),Berat County,berat,2021-04-01,0,17,0,3,0,0
Albania,Qendror (Central),Berat County,berat,2021-05-01,0,21,0,5,0,0
Albania,Qendror (Central),Berat County,berat,2021-06-01,0,26,0,4,0,0
Albania,Qendror (Central),Berat County,berat,2021-07-01,0,19,0,7,0,0
Albania,Qendror (Central),Berat County,berat,2021-08-01,0,29,0,6,0,0
Albania,Qendror (Central),Berat County,berat,2021-09-01,0,24,0,4,0,0
Albania,Qendror (Central),Berat County,berat,2021-10-01,0,23,0,5,0,0
Albania,Qendror (Central),Berat County,berat,2021-11-01,0,20,0,4,0,0
Albania,Qendror (Central),Berat County,berat,2021-12-01,0,19,0,4,0,0
Albania,Qendror (Central),Berat County,berat,2022-01-01,0,24,0,3,0,0
Albania,Qendror (Central),Berat County,berat,2022-02-01,0,23,0,5,0,0
Albania,Qendror (Central),Berat County,berat,2022-03-01,0,29,0,3,0,0
Albania,Qendror (Central),Berat County,berat,2022-04-01,0,24,0,6,0,0
Albania,Qendror (Central),Berat County,berat,2022-05-01,2,28,0,7,0,0
Albania,Qendror (Central),Berat County,berat,2022-06-01,0,29,0,7,0,0
Albania,Qendror (Central),Berat County,berat,2022-07-01,2,40,0,9,0,0
Albania,Qendror (Central),Berat County,berat,2022-08-01,0,35,0,10,0,0
Albania,Qendror (Central),Berat County,berat,2022-09-01,0,33,0,8,0,0
Albania,Qendror (Central),Berat County,berat,2022-10-01,0,24,0,5,0,0
Albania,Qendror (Central),Berat County,berat,2022-11-01,0,24,0,3,0,0
Albania,Qendror (Central),Berat County,berat,2022-12-01,0,23,0,2,0,0
Albania,Qendror (Central),Berat County,berat,2023-01-01,0,24,0,5,0,0
Albania,Qendror (Central),Berat County,berat,2023-02-01,2,45,0,4,0,0
Albania,Qendror (Central),Berat County,berat,2023-03-01,0,28,0,5,0,0
Albania,Qendror (Central),Berat County,berat,2023-04-01,0,33,0,9,0,0
Albania,Qendror (Central),Berat County,berat,2023-05-01,2,38,0,9,0,0
Albania,Qendror (Central),Berat County,berat,2023-06-01,3,45,0,10,0,0
Albania,Qendror (Central),Berat County,berat,2023-07-01,3,53,0,12,0,0
Albania,Qendror (Central),Berat County,berat,2023-08-01,0,64,0,15,0,0
Albania,Qendror (Central),Berat County,berat,2023-09-01,0,46,0,13,0,0
Albania,Qendror (Central),Berat County,berat,2023-10-01,0,27,0,9,2,0
Albania,Qendror (Central),Berat County,berat,2023-11-01,0,26,0,5,0,0
Albania,Qendror (Central),Berat County,berat,2023-12-01,0,20,0,3,0,0
Albania,Qendror (Central),Berat County,berat,2024-01-01,0,22,0,5,0,0
Albania,Qendror (Central),Berat County,berat,2024-02-01,2,44,0,8,0,0
Albania,Qendror (Central),Berat County,berat,2024-03-01,3,34,2,9,0,0
Albania,Qendror (Central),Berat County,berat,2024-04-01,2,37,0,10,0,0
Albania,Qendror (Central),Berat County,berat,2024-05-01,4,48,0,16,0,0
Albania,Qendror (Central),Berat County,berat,2024-06-01,3,49,0,15,0,0
Albania,Qendror (Central),Berat County,berat,2024-07-01,4,52,0,16,0,0
Albania,Qendror (Central),Berat County,berat,2024-08-01,4,56,0,18,0,0
Albania,Qendror (Central),Berat County,berat,2024-09-01,0,63,0,18,0,0
Albania,Qendror (Central),Berat County,berat,2024-10-01,2,33,0,10,0,0
Albania,Qendror (Central),Berat County,berat,2024-11-01,0,22,0,7,0,0
Albania,Qendror (Central),Berat County,berat,2024-12-01,0,23,0,6,0,0
Albania,Qendror (Central),Berat County,berat,2025-01-01,0,25,0,10,0,0
Albania,Qendror (Central),Berat County,berat,2025-02-01,0,31,0,8,3,0
Albania,Qendror (Central),Berat County,berat,2025-03-01,3,29,0,10,0,0
Albania,Qendror (Central),Berat County,berat,2025-04-01,4,40,0,11,0,0
Albania,Qendror (Central),Berat County,berat,2025-05-01,0,45,0,15,0,0
Albania,Qendror (Central),Berat County,berat,2025-06-01,3,51,0,14,3,0
Albania,Qendror (Central),Berat County,berat,2025-07-01,3,59,0,19,0,0
Albania,Qendror (Central),Berat County,berat,2025-08-01,7,100,4,26,3,0
Albania,Qendror (Central),Berat County,berat,2025-09-01,4,87,0,23,4,2
Albania,Qendror (Central),Berat County,berat,2025-10-01,4,66,3,16,2,0
Albania,Qendror (Central),Berat County,berat,2025-11-01,3,61,3,14,0,0
Albania,Qendror (Central),Berat County,berat,2025-12-01,6,63,3,9,0,0
Albania,Qendror (Central),Berat County,berat,2026-01-01,4,57,0,10,0,0
Albania,Qendror (Central),Berat County,berat,2026-02-01,4,70,3,12,0,0
Albania,Qendror (Central),Berat County,berat,2026-03-01,5,60,5,17,2,0
