country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Spain,Canarias,Canary Islands,canary,2020-01-01,4,92,34,1,1,0
Spain,Canarias,Canary Islands,canary,2020-02-01,4,100,29,1,1,0
Spain,Canarias,Canary Islands,canary,2020-03-01,1,32,26,0,0,0
Spain,Canarias,Canary Islands,canary,2020-04-01,0,13,5,0,0,0
Spain,Canarias,Canary Islands,canary,2020-05-01,1,16,6,0,0,0
Spain,Canarias,Canary Islands,canary,2020-06-01,2,30,9,0,0,0
Spain,Canarias,Canary Islands,canary,2020-07-01,3,41,11,0,0,0
Spain,Canarias,Canary Islands,canary,2020-08-01,2,36,8,1,0,0
Spain,Canarias,Canary Islands,canary,2020-09-01,2,29,7,1,0,0
Spain,Canarias,Canary Islands,canary,2020-10-01,2,28,10,0,0,0
Spain,Canarias,Canary Islands,canary,2020-11-01,2,25,10,0,0,0
Spain,Canarias,Canary Islands,canary,2020-12-01,2,24,10,0,0,0
Spain,Canarias,Canary Islands,canary,2021-01-01,1,22,7,0,0,0
Spain,Canarias,Canary Islands,canary,2021-02-01,2,24,6,0,0,0
Spain,Canarias,Canary Islands,canary,2021-03-01,2,27,5,0,0,0
Spain,Canarias,Canary Islands,canary,2021-04-01,2,29,5,0,0,0
Spain,Canarias,Canary Islands,canary,2021-05-01,2,38,6,1,0,0
Spain,Canarias,Canary Islands,canary,2021-06-01,3,47,6,1,0,0
Spain,Canarias,Canary Islands,canary,2021-07-01,2,49,7,1,0,0
Spain,Canarias,Canary Islands,canary,2021-08-01,3,59,10,1,0,0
Spain,Canarias,Canary Islands,canary,2021-09-01,2,60,14,3,0,0
Spain,Canarias,Canary Islands,canary,2021-10-01,3,57,15,1,1,0
Spain,Canarias,Canary Islands,canary,2021-11-01,3,49,12,1,0,0
Spain,Canarias,Canary Islands,canary,2021-12-01,2,35,9,1,0,0
Spain,Canarias,Canary Islands,canary,2022-01-01,6,66,16,1,1,0
Spain,Canarias,Canary Islands,canary,2022-02-01,5,66,16,1,1,0
Spain,Canarias,Canary Islands,canary,2022-03-01,4,59,14,1,1,0
