country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Greece,Ionian Islands,Corfu Regional Unit,corfu,2020-01-01,3,52,22,0,1,1
Greece,Ionian Islands,Corfu Regional Unit,corfu,2020-02-01,3,40,16,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2020-03-01,1,15,8,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2020-04-01,1,10,5,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2020-05-01,1,14,6,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2020-06-01,2,26,10,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2020-07-01,4,44,16,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2020-08-01,3,43,16,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2020-09-01,2,30,13,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2020-10-01,1,18,10,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2020-11-01,0,9,5,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2020-12-01,1,10,6,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2021-01-01,1,13,6,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2021-02-01,1,14,5,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2021-03-01,1,15,6,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2021-04-01,2,19,7,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2021-05-01,3,32,9,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2021-06-01,4,46,11,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2021-07-01,5,60,14,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2021-08-01,3,54,15,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2021-09-01,2,38,13,0,1,1
Greece,Ionian Islands,Corfu Regional Unit,corfu,2021-10-01,1,21,9,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2021-11-01,1,11,5,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2021-12-01,1,10,4,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2022-01-01,3,28,12,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2022-02-01,3,32,12,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2022-03-01,4,31,13,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2022-04-01,6,49,19,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2022-05-01,7,71,25,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2022-06-01,6,79,26,0,2,1
Greece,Ionian Islands,Corfu Regional Unit,corfu,2022-07-01,6,76,25,1,2,1
Greece,Ionian Islands,Corfu Regional Unit,corfu,2022-08-01,5,61,19,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2022-09-01,2,34,14,0,1,1
Greece,Ionian Islands,Corfu Regional Unit,corfu,2022-10-01,1,19,9,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2022-11-01,1,13,6,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2022-12-01,1,14,7,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2023-01-01,4,39,16,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2023-02-01,4,32,14,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2023-03-01,5,37,14,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2023-04-01,5,43,15,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2023-05-01,6,56,19,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2023-06-01,6,70,22,1,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2023-07-01,5,77,28,0,2,1
Greece,Ionian Islands,Corfu Regional Unit,corfu,2023-08-01,4,58,19,0,2,1
Greece,Ionian Islands,Corfu Regional Unit,corfu,2023-09-01,3,34,14,0,1,1
Greece,Ionian Islands,Corfu Regional Unit,corfu,2023-10-01,1,21,9,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2023-11-01,1,14,5,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2023-12-01,1,13,6,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2024-01-01,4,36,13,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2024-02-01,3,36,12,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2024-03-01,4,39,14,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2024-04-01,5,42,17,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2024-05-01,6,58,19,1,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2024-06-01,6,74,22,1,2,1
Greece,Ionian Islands,Corfu Regional Unit,corfu,2024-07-01,6,79,23,1,2,1
Greece,Ionian Islands,Corfu Regional Unit,corfu,2024-08-01,4,69,20,0,1,1
Greece,Ionian Islands,Corfu Regional Unit,corfu,2024-09-01,3,44,16,1,1,1
Greece,Ionian Islands,Corfu Regional Unit,corfu,2024-10-01,1,25,10,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2024-11-01,1,14,6,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2024-12-01,1,15,6,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2025-01-01,4,37,14,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2025-02-01,3,35,13,0,0,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2025-03-01,4,40,14,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2025-04-01,5,44,16,0,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2025-05-01,5,56,20,1,1,1
Greece,Ionian Islands,Corfu Regional Unit,corfu,2025-06-01,6,79,23,1,2,1
Greece,Ionian Islands,Corfu Regional Unit,corfu,2025-07-01,5,78,24,1,2,1
Greece,Ionian Islands,Corfu Regional Unit,corfu,2025-08-01,7,100,51,3,3,1
Greece,Ionian Islands,Corfu Regional Unit,corfu,2025-09-01,4,56,35,2,2,1
Greece,Ionian Islands,Corfu Regional Unit,corfu,2025-10-01,2,31,18,1,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2025-11-01,1,23,15,1,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2025-12-01,2,21,12,1,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2026-01-01,5,48,23,1,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2026-02-01,4,51,25,1,1,0
Greece,Ionian Islands,Corfu Regional Unit,corfu,2026-03-01,4,46,25,2,2,1
