country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2020-01-01,7,61,32,9,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2020-02-01,7,55,23,7,1,2
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2020-03-01,2,26,9,3,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2020-04-01,1,13,4,2,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2020-05-01,2,19,6,2,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2020-06-01,4,37,9,4,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2020-07-01,6,51,14,7,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2020-08-01,4,45,12,8,1,3
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2020-09-01,2,23,6,3,1,1
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2020-10-01,1,19,5,3,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2020-11-01,1,13,5,2,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2020-12-01,1,14,4,2,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2021-01-01,1,16,6,2,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2021-02-01,1,17,5,2,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2021-03-01,1,17,5,2,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2021-04-01,2,22,6,2,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2021-05-01,3,31,9,3,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2021-06-01,5,45,12,5,1,3
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2021-07-01,7,64,18,11,1,4
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2021-08-01,7,69,17,15,2,5
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2021-09-01,4,47,13,12,1,3
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2021-10-01,2,32,9,7,1,2
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2021-11-01,1,20,8,3,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2021-12-01,1,19,6,2,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2022-01-01,4,33,13,4,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2022-02-01,5,40,15,5,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2022-03-01,5,35,16,5,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2022-04-01,7,53,22,9,1,2
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2022-05-01,11,65,27,13,1,3
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2022-06-01,10,69,28,20,2,6
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2022-07-01,11,71,27,23,2,7
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2022-08-01,8,55,21,21,2,6
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2022-09-01,5,44,17,16,2,6
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2022-10-01,3,35,14,9,1,4
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2022-11-01,3,25,9,3,1,2
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2022-12-01,3,25,10,3,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2023-01-01,6,44,23,7,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2023-02-01,6,48,20,7,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2023-03-01,7,47,20,8,1,2
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2023-04-01,8,50,22,12,1,3
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2023-05-01,8,53,21,15,1,3
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2023-06-01,9,61,23,20,2,7
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2023-07-01,9,67,25,25,2,6
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2023-08-01,8,61,21,23,2,5
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2023-09-01,5,47,16,19,2,6
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2023-10-01,3,39,11,10,1,4
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2023-11-01,3,26,9,4,1,1
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2023-12-01,2,26,9,3,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2024-01-01,6,45,20,7,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2024-02-01,6,53,20,7,1,2
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2024-03-01,7,55,20,11,1,3
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2024-04-01,9,62,25,17,1,3
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2024-05-01,9,59,23,21,2,8
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2024-06-01,9,68,28,28,2,8
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2024-07-01,9,74,27,30,2,8
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2024-08-01,7,67,25,30,2,7
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2024-09-01,5,51,18,22,2,9
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2024-10-01,3,91,15,14,1,5
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2024-11-01,2,64,11,6,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2024-12-01,2,30,12,5,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2025-01-01,5,43,21,8,0,0
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2025-02-01,6,45,20,9,1,3
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2025-03-01,6,52,23,11,1,3
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2025-04-01,7,58,24,17,1,4
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2025-05-01,8,63,25,23,2,8
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2025-06-01,8,67,26,26,2,8
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2025-07-01,7,77,29,31,3,11
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2025-08-01,9,100,58,46,5,11
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2025-09-01,6,74,48,33,4,8
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2025-10-01,4,50,32,19,3,5
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2025-11-01,3,43,29,11,2,2
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2025-12-01,3,38,24,7,1,1
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2026-01-01,5,53,32,11,2,2
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2026-02-01,5,57,45,13,2,3
Croatia,Jadranska Hrvatska,Dubrovnik-Neretva County,dubrovnik,2026-03-01,7,65,40,20,2,3
