country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2020-01-01,0,0,19,15,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2020-02-01,0,0,28,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2020-03-01,0,0,17,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2020-04-01,0,0,0,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2020-05-01,0,0,12,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2020-06-01,0,0,20,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2020-07-01,0,0,17,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2020-08-01,0,0,16,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2020-09-01,0,0,14,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2020-10-01,0,0,0,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2020-11-01,0,0,14,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2020-12-01,0,0,19,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2021-01-01,0,0,14,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2021-02-01,0,0,16,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2021-03-01,0,0,0,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2021-04-01,0,0,21,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2021-05-01,0,0,0,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2021-06-01,0,0,31,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2021-07-01,0,0,46,18,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2021-08-01,0,0,41,21,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2021-09-01,0,0,19,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2021-10-01,0,0,20,0,0,0
Albania,Jugor (Southern),Gjirokaster County,gjirokastra,2021-11-01,0,0,0,0,0,0
