country,region,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Spain,Canarias,gran_canaria,2020-01-01,3,50,13,1,75,0
Spain,Canarias,gran_canaria,2020-02-01,2,38,11,1,77,1
Spain,Canarias,gran_canaria,2020-03-01,1,14,9,1,48,0
Spain,Canarias,gran_canaria,2020-04-01,0,8,2,0,34,0
Spain,Canarias,gran_canaria,2020-05-01,1,10,2,0,47,0
Spain,Canarias,gran_canaria,2020-06-01,1,16,3,0,55,0
Spain,Canarias,gran_canaria,2020-07-01,2,21,4,1,59,0
Spain,Canarias,gran_canaria,2020-08-01,1,19,3,0,55,0
Spain,Canarias,gran_canaria,2020-09-01,1,14,3,0,49,0
Spain,Canarias,gran_canaria,2020-10-01,1,14,4,0,50,0
Spain,Canarias,gran_canaria,2020-11-01,1,14,4,0,50,0
Spain,Canarias,gran_canaria,2020-12-01,1,13,4,0,49,0
Spain,Canarias,gran_canaria,2021-01-01,1,13,3,1,49,0
Spain,Canarias,gran_canaria,2021-02-01,1,13,2,0,51,0
Spain,Canarias,gran_canaria,2021-03-01,1,13,2,0,51,0
Spain,Canarias,gran_canaria,2021-04-01,1,15,2,0,51,0
Spain,Canarias,gran_canaria,2021-05-01,1,24,3,1,52,0
Spain,Canarias,gran_canaria,2021-06-01,2,27,2,0,54,0
Spain,Canarias,gran_canaria,2021-07-01,2,27,3,1,59,0
Spain,Canarias,gran_canaria,2021-08-01,2,34,3,1,58,0
Spain,Canarias,gran_canaria,2021-09-01,2,35,5,1,78,0
Spain,Canarias,gran_canaria,2021-10-01,2,36,5,1,62,0
Spain,Canarias,gran_canaria,2021-11-01,2,24,4,1,61,0
Spain,Canarias,gran_canaria,2021-12-01,1,21,3,1,53,0
Spain,Canarias,gran_canaria,2022-01-01,3,35,5,1,73,0
Spain,Canarias,gran_canaria,2022-02-01,3,37,6,1,79,0
Spain,Canarias,gran_canaria,2022-03-01,2,30,5,1,78,0
Spain,Canarias,gran_canaria,2022-04-01,2,31,5,1,74,0
Spain,Canarias,gran_canaria,2022-05-01,2,29,5,1,70,0
Spain,Canarias,gran_canaria,2022-06-01,2,29,5,1,73,0
Spain,Canarias,gran_canaria,2022-07-01,2,33,5,1,74,0
Spain,Canarias,gran_canaria,2022-08-01,2,34,5,1,77,0
Spain,Canarias,gran_canaria,2022-09-01,2,28,5,1,78,0
Spain,Canarias,gran_canaria,2022-10-01,2,28,5,1,71,0
Spain,Canarias,gran_canaria,2022-11-01,2,25,4,1,70,0
Spain,Canarias,gran_canaria,2022-12-01,2,25,4,1,66,0
Spain,Canarias,gran_canaria,2023-01-01,3,40,7,1,84,0
Spain,Canarias,gran_canaria,2023-02-01,2,31,5,1,81,1
Spain,Canarias,gran_canaria,2023-03-01,2,28,5,1,72,1
Spain,Canarias,gran_canaria,2023-04-01,2,28,4,1,71,0
Spain,Canarias,gran_canaria,2023-05-01,2,25,4,1,71,0
Spain,Canarias,gran_canaria,2023-06-01,2,27,4,1,72,0
Spain,Canarias,gran_canaria,2023-07-01,2,33,5,1,77,0
Spain,Canarias,gran_canaria,2023-08-01,2,34,6,1,75,0
Spain,Canarias,gran_canaria,2023-09-01,2,29,5,1,69,0
Spain,Canarias,gran_canaria,2023-10-01,2,30,4,1,77,0
Spain,Canarias,gran_canaria,2023-11-01,2,29,4,1,77,0
Spain,Canarias,gran_canaria,2023-12-01,2,26,4,1,76,0
Spain,Canarias,gran_canaria,2024-01-01,3,42,7,1,88,0
Spain,Canarias,gran_canaria,2024-02-01,3,33,5,1,76,1
Spain,Canarias,gran_canaria,2024-03-01,2,28,5,1,72,0
Spain,Canarias,gran_canaria,2024-04-01,2,26,4,1,65,0
Spain,Canarias,gran_canaria,2024-05-01,1,26,4,1,62,0
Spain,Canarias,gran_canaria,2024-06-01,2,27,4,1,60,0
Spain,Canarias,gran_canaria,2024-07-01,2,32,5,1,65,0
Spain,Canarias,gran_canaria,2024-08-01,2,33,5,1,64,0
Spain,Canarias,gran_canaria,2024-09-01,2,30,5,1,63,0
Spain,Canarias,gran_canaria,2024-10-01,2,27,5,1,65,0
Spain,Canarias,gran_canaria,2024-11-01,2,23,4,1,70,0
Spain,Canarias,gran_canaria,2024-12-01,2,24,5,1,75,0
Spain,Canarias,gran_canaria,2025-01-01,3,37,6,1,76,0
Spain,Canarias,gran_canaria,2025-02-01,2,32,5,1,74,1
Spain,Canarias,gran_canaria,2025-03-01,2,25,4,1,75,1
Spain,Canarias,gran_canaria,2025-04-01,1,22,4,1,62,0
Spain,Canarias,gran_canaria,2025-05-01,1,25,4,1,58,0
Spain,Canarias,gran_canaria,2025-06-01,1,26,5,1,60,0
Spain,Canarias,gran_canaria,2025-07-01,2,31,5,1,66,0
Spain,Canarias,gran_canaria,2025-08-01,3,45,19,1,87,0
Spain,Canarias,gran_canaria,2025-09-01,3,43,23,1,87,0
Spain,Canarias,gran_canaria,2025-10-01,3,40,22,1,85,0
Spain,Canarias,gran_canaria,2025-11-01,3,41,23,2,92,0
Spain,Canarias,gran_canaria,2025-12-01,3,34,16,2,94,0
Spain,Canarias,gran_canaria,2026-01-01,3,45,14,1,93,1
Spain,Canarias,gran_canaria,2026-02-01,3,41,22,1,100,2
Spain,Canarias,gran_canaria,2026-03-01,2,40,14,2,98,1
