country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Greece,Crete,Heraklion Regional Unit,heraklion,2020-01-01,2,28,18,3,6,6
Greece,Crete,Heraklion Regional Unit,heraklion,2020-02-01,2,28,15,8,5,4
Greece,Crete,Heraklion Regional Unit,heraklion,2020-03-01,1,9,6,5,3,2
Greece,Crete,Heraklion Regional Unit,heraklion,2020-04-01,0,5,4,8,2,1
Greece,Crete,Heraklion Regional Unit,heraklion,2020-05-01,0,8,5,3,3,3
Greece,Crete,Heraklion Regional Unit,heraklion,2020-06-01,2,16,9,3,4,4
Greece,Crete,Heraklion Regional Unit,heraklion,2020-07-01,3,30,12,3,8,9
Greece,Crete,Heraklion Regional Unit,heraklion,2020-08-01,3,29,13,3,14,11
Greece,Crete,Heraklion Regional Unit,heraklion,2020-09-01,1,21,11,8,9,8
Greece,Crete,Heraklion Regional Unit,heraklion,2020-10-01,1,15,7,6,5,5
Greece,Crete,Heraklion Regional Unit,heraklion,2020-11-01,0,7,5,3,1,1
Greece,Crete,Heraklion Regional Unit,heraklion,2020-12-01,1,6,6,3,1,2
Greece,Crete,Heraklion Regional Unit,heraklion,2021-01-01,1,7,6,2,2,3
Greece,Crete,Heraklion Regional Unit,heraklion,2021-02-01,0,7,5,5,2,2
Greece,Crete,Heraklion Regional Unit,heraklion,2021-03-01,0,9,6,4,2,3
Greece,Crete,Heraklion Regional Unit,heraklion,2021-04-01,2,12,6,3,2,5
Greece,Crete,Heraklion Regional Unit,heraklion,2021-05-01,3,27,9,2,6,9
Greece,Crete,Heraklion Regional Unit,heraklion,2021-06-01,3,36,9,3,12,17
Greece,Crete,Heraklion Regional Unit,heraklion,2021-07-01,4,42,12,4,16,30
Greece,Crete,Heraklion Regional Unit,heraklion,2021-08-01,3,45,11,4,19,29
Greece,Crete,Heraklion Regional Unit,heraklion,2021-09-01,2,31,13,7,16,19
Greece,Crete,Heraklion Regional Unit,heraklion,2021-10-01,1,19,8,6,12,11
Greece,Crete,Heraklion Regional Unit,heraklion,2021-11-01,1,9,6,3,3,2
Greece,Crete,Heraklion Regional Unit,heraklion,2021-12-01,1,8,4,2,2,2
Greece,Crete,Heraklion Regional Unit,heraklion,2022-01-01,2,16,9,4,4,6
Greece,Crete,Heraklion Regional Unit,heraklion,2022-02-01,3,21,10,6,5,6
Greece,Crete,Heraklion Regional Unit,heraklion,2022-03-01,3,21,10,5,7,7
Greece,Crete,Heraklion Regional Unit,heraklion,2022-04-01,3,35,14,5,13,12
Greece,Crete,Heraklion Regional Unit,heraklion,2022-05-01,5,46,19,6,16,17
Greece,Crete,Heraklion Regional Unit,heraklion,2022-06-01,5,47,20,6,18,23
Greece,Crete,Heraklion Regional Unit,heraklion,2022-07-01,5,45,21,6,21,26
Greece,Crete,Heraklion Regional Unit,heraklion,2022-08-01,4,42,17,6,22,24
Greece,Crete,Heraklion Regional Unit,heraklion,2022-09-01,2,32,14,9,19,14
Greece,Crete,Heraklion Regional Unit,heraklion,2022-10-01,2,22,11,8,12,8
Greece,Crete,Heraklion Regional Unit,heraklion,2022-11-01,1,10,6,4,3,2
Greece,Crete,Heraklion Regional Unit,heraklion,2022-12-01,1,11,7,3,3,2
Greece,Crete,Heraklion Regional Unit,heraklion,2023-01-01,3,24,12,4,6,5
Greece,Crete,Heraklion Regional Unit,heraklion,2023-02-01,3,23,9,6,6,7
Greece,Crete,Heraklion Regional Unit,heraklion,2023-03-01,3,25,11,6,7,6
Greece,Crete,Heraklion Regional Unit,heraklion,2023-04-01,4,31,14,6,12,9
Greece,Crete,Heraklion Regional Unit,heraklion,2023-05-01,4,39,14,5,17,12
Greece,Crete,Heraklion Regional Unit,heraklion,2023-06-01,4,44,18,6,20,17
Greece,Crete,Heraklion Regional Unit,heraklion,2023-07-01,4,45,17,6,19,24
Greece,Crete,Heraklion Regional Unit,heraklion,2023-08-01,3,40,16,5,22,18
Greece,Crete,Heraklion Regional Unit,heraklion,2023-09-01,2,31,13,8,22,13
Greece,Crete,Heraklion Regional Unit,heraklion,2023-10-01,1,20,10,8,11,7
Greece,Crete,Heraklion Regional Unit,heraklion,2023-11-01,1,12,6,5,3,2
Greece,Crete,Heraklion Regional Unit,heraklion,2023-12-01,1,11,6,3,3,2
Greece,Crete,Heraklion Regional Unit,heraklion,2024-01-01,2,25,10,5,5,6
Greece,Crete,Heraklion Regional Unit,heraklion,2024-02-01,2,23,11,7,7,7
Greece,Crete,Heraklion Regional Unit,heraklion,2024-03-01,3,26,12,6,9,7
Greece,Crete,Heraklion Regional Unit,heraklion,2024-04-01,3,32,14,6,13,12
Greece,Crete,Heraklion Regional Unit,heraklion,2024-05-01,3,39,15,8,20,16
Greece,Crete,Heraklion Regional Unit,heraklion,2024-06-01,4,40,17,7,20,21
Greece,Crete,Heraklion Regional Unit,heraklion,2024-07-01,4,43,20,7,18,27
Greece,Crete,Heraklion Regional Unit,heraklion,2024-08-01,2,41,17,6,19,25
Greece,Crete,Heraklion Regional Unit,heraklion,2024-09-01,2,32,14,11,28,17
Greece,Crete,Heraklion Regional Unit,heraklion,2024-10-01,1,22,11,9,14,9
Greece,Crete,Heraklion Regional Unit,heraklion,2024-11-01,1,13,7,5,3,2
Greece,Crete,Heraklion Regional Unit,heraklion,2024-12-01,2,14,7,4,4,3
Greece,Crete,Heraklion Regional Unit,heraklion,2025-01-01,3,25,12,5,8,7
Greece,Crete,Heraklion Regional Unit,heraklion,2025-02-01,2,22,12,7,8,31
Greece,Crete,Heraklion Regional Unit,heraklion,2025-03-01,3,26,12,6,10,15
Greece,Crete,Heraklion Regional Unit,heraklion,2025-04-01,3,32,15,6,14,15
Greece,Crete,Heraklion Regional Unit,heraklion,2025-05-01,3,38,17,7,22,20
Greece,Crete,Heraklion Regional Unit,heraklion,2025-06-01,4,39,19,7,20,27
Greece,Crete,Heraklion Regional Unit,heraklion,2025-07-01,3,47,26,9,21,29
Greece,Crete,Heraklion Regional Unit,heraklion,2025-08-01,6,84,100,10,28,30
Greece,Crete,Heraklion Regional Unit,heraklion,2025-09-01,5,68,96,13,29,18
Greece,Crete,Heraklion Regional Unit,heraklion,2025-10-01,3,40,66,11,20,13
Greece,Crete,Heraklion Regional Unit,heraklion,2025-11-01,3,32,55,7,9,6
Greece,Crete,Heraklion Regional Unit,heraklion,2025-12-01,2,24,35,5,7,5
Greece,Crete,Heraklion Regional Unit,heraklion,2026-01-01,3,33,31,6,10,10
Greece,Crete,Heraklion Regional Unit,heraklion,2026-02-01,4,39,41,9,12,14
Greece,Crete,Heraklion Regional Unit,heraklion,2026-03-01,3,36,40,8,12,14
