country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Spain,Comunidad de Madrid,Madrid Province,madrid,2020-01-01,5,60,18,2,1,5
Spain,Comunidad de Madrid,Madrid Province,madrid,2020-02-01,5,58,11,2,1,8
Spain,Comunidad de Madrid,Madrid Province,madrid,2020-03-01,2,28,7,1,1,4
Spain,Comunidad de Madrid,Madrid Province,madrid,2020-04-01,1,11,3,1,0,0
Spain,Comunidad de Madrid,Madrid Province,madrid,2020-05-01,1,13,3,1,0,0
Spain,Comunidad de Madrid,Madrid Province,madrid,2020-06-01,2,20,4,1,0,0
Spain,Comunidad de Madrid,Madrid Province,madrid,2020-07-01,2,25,4,1,0,0
Spain,Comunidad de Madrid,Madrid Province,madrid,2020-08-01,2,23,3,1,0,0
Spain,Comunidad de Madrid,Madrid Province,madrid,2020-09-01,2,21,3,1,0,0
Spain,Comunidad de Madrid,Madrid Province,madrid,2020-10-01,1,18,3,1,0,0
Spain,Comunidad de Madrid,Madrid Province,madrid,2020-11-01,1,17,3,1,0,0
Spain,Comunidad de Madrid,Madrid Province,madrid,2020-12-01,1,19,3,1,0,0
Spain,Comunidad de Madrid,Madrid Province,madrid,2021-01-01,2,20,3,1,0,0
Spain,Comunidad de Madrid,Madrid Province,madrid,2021-02-01,2,21,3,1,0,0
Spain,Comunidad de Madrid,Madrid Province,madrid,2021-03-01,2,22,3,1,0,0
Spain,Comunidad de Madrid,Madrid Province,madrid,2021-04-01,2,27,3,1,0,0
Spain,Comunidad de Madrid,Madrid Province,madrid,2021-05-01,3,33,4,1,0,0
Spain,Comunidad de Madrid,Madrid Province,madrid,2021-06-01,3,40,5,1,0,0
Spain,Comunidad de Madrid,Madrid Province,madrid,2021-07-01,3,36,5,1,1,2
Spain,Comunidad de Madrid,Madrid Province,madrid,2021-08-01,3,39,5,1,1,2
Spain,Comunidad de Madrid,Madrid Province,madrid,2021-09-01,3,46,6,1,1,3
