country,region,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Spain,Andalucía,malaga,2020-01-01,10,80,62,5,2,7
Spain,Andalucía,malaga,2020-02-01,10,76,46,5,2,6
Spain,Andalucía,malaga,2020-03-01,3,31,29,2,1,8
Spain,Andalucía,malaga,2020-04-01,1,13,8,1,0,0
Spain,Andalucía,malaga,2020-05-01,2,17,11,1,0,0
Spain,Andalucía,malaga,2020-06-01,5,32,20,2,0,0
Spain,Andalucía,malaga,2020-07-01,7,46,23,3,1,4
Spain,Andalucía,malaga,2020-08-01,5,46,13,4,0,0
Spain,Andalucía,malaga,2020-09-01,3,27,11,2,0,0
Spain,Andalucía,malaga,2020-10-01,2,27,11,2,0,0
Spain,Andalucía,malaga,2020-11-01,1,17,10,1,0,0
Spain,Andalucía,malaga,2020-12-01,2,20,10,1,0,0
Spain,Andalucía,malaga,2021-01-01,2,20,10,1,0,0
Spain,Andalucía,malaga,2021-02-01,2,21,10,2,0,0
Spain,Andalucía,malaga,2021-03-01,3,26,10,2,0,0
Spain,Andalucía,malaga,2021-04-01,4,28,10,2,0,0
Spain,Andalucía,malaga,2021-05-01,7,49,13,3,1,8
Spain,Andalucía,malaga,2021-06-01,8,64,16,4,1,24
Spain,Andalucía,malaga,2021-07-01,8,71,18,5,1,2
Spain,Andalucía,malaga,2021-08-01,7,74,22,7,1,2
Spain,Andalucía,malaga,2021-09-01,5,60,26,5,1,2
Spain,Andalucía,malaga,2021-10-01,5,59,29,5,2,2
Spain,Andalucía,malaga,2021-11-01,5,47,20,4,1,2
Spain,Andalucía,malaga,2021-12-01,4,32,13,4,1,1
Spain,Andalucía,malaga,2022-01-01,9,55,27,4,1,3
Spain,Andalucía,malaga,2022-02-01,11,69,31,5,2,6
Spain,Andalucía,malaga,2022-03-01,11,65,30,4,2,19
Spain,Andalucía,malaga,2022-04-01,11,70,35,6,3,10
Spain,Andalucía,malaga,2022-05-01,11,73,42,7,2,8
Spain,Andalucía,malaga,2022-06-01,10,73,37,6,2,9
Spain,Andalucía,malaga,2022-07-01,11,78,35,6,2,13
Spain,Andalucía,malaga,2022-08-01,9,75,29,7,2,15
Spain,Andalucía,malaga,2022-09-01,6,56,27,5,2,10
Spain,Andalucía,malaga,2022-10-01,6,52,24,5,3,4
Spain,Andalucía,malaga,2022-11-01,5,47,20,4,2,4
Spain,Andalucía,malaga,2022-12-01,6,44,20,4,2,3
Spain,Andalucía,malaga,2023-01-01,11,62,37,4,2,4
Spain,Andalucía,malaga,2023-02-01,10,65,31,5,3,8
Spain,Andalucía,malaga,2023-03-01,11,64,33,6,3,20
Spain,Andalucía,malaga,2023-04-01,11,67,34,7,3,6
Spain,Andalucía,malaga,2023-05-01,9,64,33,6,3,6
Spain,Andalucía,malaga,2023-06-01,10,65,32,6,3,8
Spain,Andalucía,malaga,2023-07-01,11,74,32,7,3,10
Spain,Andalucía,malaga,2023-08-01,9,72,33,8,3,8
Spain,Andalucía,malaga,2023-09-01,7,61,27,7,3,4
Spain,Andalucía,malaga,2023-10-01,6,57,25,7,4,4
Spain,Andalucía,malaga,2023-11-01,6,50,21,6,3,3
Spain,Andalucía,malaga,2023-12-01,6,50,21,6,2,2
Spain,Andalucía,malaga,2024-01-01,11,68,37,6,3,6
Spain,Andalucía,malaga,2024-02-01,10,65,32,8,3,9
Spain,Andalucía,malaga,2024-03-01,10,66,30,8,4,21
Spain,Andalucía,malaga,2024-04-01,10,67,31,10,4,6
Spain,Andalucía,malaga,2024-05-01,10,69,29,9,3,5
Spain,Andalucía,malaga,2024-06-01,11,72,32,8,3,7
Spain,Andalucía,malaga,2024-07-01,11,75,33,9,3,8
Spain,Andalucía,malaga,2024-08-01,9,73,31,9,3,6
Spain,Andalucía,malaga,2024-09-01,7,63,31,8,4,4
Spain,Andalucía,malaga,2024-10-01,7,54,26,8,4,4
Spain,Andalucía,malaga,2024-11-01,5,42,22,5,3,6
Spain,Andalucía,malaga,2024-12-01,5,39,21,5,3,8
Spain,Andalucía,malaga,2025-01-01,10,61,31,5,3,7
Spain,Andalucía,malaga,2025-02-01,10,63,30,6,4,10
Spain,Andalucía,malaga,2025-03-01,10,62,29,8,4,18
Spain,Andalucía,malaga,2025-04-01,8,59,29,8,4,5
Spain,Andalucía,malaga,2025-05-01,9,62,28,8,3,4
Spain,Andalucía,malaga,2025-06-01,9,63,33,7,3,5
Spain,Andalucía,malaga,2025-07-01,10,71,34,8,3,7
Spain,Andalucía,malaga,2025-08-01,12,100,99,9,4,12
Spain,Andalucía,malaga,2025-09-01,9,82,94,8,4,8
Spain,Andalucía,malaga,2025-10-01,8,70,80,8,5,6
Spain,Andalucía,malaga,2025-11-01,8,69,70,6,4,6
Spain,Andalucía,malaga,2025-12-01,7,58,52,6,3,4
Spain,Andalucía,malaga,2026-01-01,10,73,53,6,3,6
Spain,Andalucía,malaga,2026-02-01,10,76,79,7,6,10
Spain,Andalucía,malaga,2026-03-01,11,83,70,8,5,25
