country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Italy,Lombardia,Metropolitan City of Milan,milan,2020-01-01,4,43,24,15,1,6
Italy,Lombardia,Metropolitan City of Milan,milan,2020-02-01,4,40,23,11,1,5
Italy,Lombardia,Metropolitan City of Milan,milan,2020-03-01,1,13,14,8,1,5
Italy,Lombardia,Metropolitan City of Milan,milan,2020-04-01,0,7,4,16,1,4
Italy,Lombardia,Metropolitan City of Milan,milan,2020-05-01,0,8,5,9,0,0
Italy,Lombardia,Metropolitan City of Milan,milan,2020-06-01,1,12,7,6,1,4
Italy,Lombardia,Metropolitan City of Milan,milan,2020-07-01,1,15,8,6,1,4
Italy,Lombardia,Metropolitan City of Milan,milan,2020-08-01,1,16,7,8,1,3
Italy,Lombardia,Metropolitan City of Milan,milan,2020-09-01,1,16,6,8,1,7
Italy,Lombardia,Metropolitan City of Milan,milan,2020-10-01,1,15,6,7,1,6
Italy,Lombardia,Metropolitan City of Milan,milan,2020-11-01,0,9,5,6,0,0
Italy,Lombardia,Metropolitan City of Milan,milan,2020-12-01,0,10,5,8,1,10
Italy,Lombardia,Metropolitan City of Milan,milan,2021-01-01,1,11,5,6,0,0
Italy,Lombardia,Metropolitan City of Milan,milan,2021-02-01,1,12,5,8,0,0
Italy,Lombardia,Metropolitan City of Milan,milan,2021-03-01,1,11,5,6,0,0
Italy,Lombardia,Metropolitan City of Milan,milan,2021-04-01,1,10,4,7,0,0
Italy,Lombardia,Metropolitan City of Milan,milan,2021-05-01,1,13,6,9,0,0
Italy,Lombardia,Metropolitan City of Milan,milan,2021-06-01,1,15,8,7,1,7
Italy,Lombardia,Metropolitan City of Milan,milan,2021-07-01,2,21,9,7,1,3
Italy,Lombardia,Metropolitan City of Milan,milan,2021-08-01,2,22,9,8,1,2
Italy,Lombardia,Metropolitan City of Milan,milan,2021-09-01,2,24,10,10,1,3
Italy,Lombardia,Metropolitan City of Milan,milan,2021-10-01,2,28,12,11,1,6
Italy,Lombardia,Metropolitan City of Milan,milan,2021-11-01,2,24,11,12,1,6
Italy,Lombardia,Metropolitan City of Milan,milan,2021-12-01,1,18,9,12,1,11
Italy,Lombardia,Metropolitan City of Milan,milan,2022-01-01,3,20,12,11,1,7
Italy,Lombardia,Metropolitan City of Milan,milan,2022-02-01,5,31,17,12,1,5
Italy,Lombardia,Metropolitan City of Milan,milan,2022-03-01,5,32,18,11,1,5
Italy,Lombardia,Metropolitan City of Milan,milan,2022-04-01,5,38,22,14,2,6
Italy,Lombardia,Metropolitan City of Milan,milan,2022-05-01,6,43,25,14,2,6
Italy,Lombardia,Metropolitan City of Milan,milan,2022-06-01,5,39,25,12,2,6
Italy,Lombardia,Metropolitan City of Milan,milan,2022-07-01,5,39,22,12,2,4
Italy,Lombardia,Metropolitan City of Milan,milan,2022-08-01,5,39,18,10,2,3
Italy,Lombardia,Metropolitan City of Milan,milan,2022-09-01,4,37,17,12,2,7
Italy,Lombardia,Metropolitan City of Milan,milan,2022-10-01,4,36,16,13,2,9
Italy,Lombardia,Metropolitan City of Milan,milan,2022-11-01,3,29,14,11,2,8
Italy,Lombardia,Metropolitan City of Milan,milan,2022-12-01,3,26,15,16,1,8
Italy,Lombardia,Metropolitan City of Milan,milan,2023-01-01,5,37,25,13,1,5
Italy,Lombardia,Metropolitan City of Milan,milan,2023-02-01,6,40,21,12,2,7
Italy,Lombardia,Metropolitan City of Milan,milan,2023-03-01,5,38,23,13,2,6
Italy,Lombardia,Metropolitan City of Milan,milan,2023-04-01,6,45,23,13,2,5
Italy,Lombardia,Metropolitan City of Milan,milan,2023-05-01,5,42,22,13,2,6
Italy,Lombardia,Metropolitan City of Milan,milan,2023-06-01,5,41,23,15,2,5
Italy,Lombardia,Metropolitan City of Milan,milan,2023-07-01,5,45,23,11,2,3
Italy,Lombardia,Metropolitan City of Milan,milan,2023-08-01,5,40,18,10,3,3
Italy,Lombardia,Metropolitan City of Milan,milan,2023-09-01,4,40,19,11,2,6
Italy,Lombardia,Metropolitan City of Milan,milan,2023-10-01,4,35,16,11,2,6
Italy,Lombardia,Metropolitan City of Milan,milan,2023-11-01,3,31,15,12,2,7
Italy,Lombardia,Metropolitan City of Milan,milan,2023-12-01,3,32,15,14,2,10
Italy,Lombardia,Metropolitan City of Milan,milan,2024-01-01,5,38,23,12,2,6
Italy,Lombardia,Metropolitan City of Milan,milan,2024-02-01,5,42,22,12,2,5
Italy,Lombardia,Metropolitan City of Milan,milan,2024-03-01,5,42,24,13,2,5
Italy,Lombardia,Metropolitan City of Milan,milan,2024-04-01,5,44,20,13,2,4
Italy,Lombardia,Metropolitan City of Milan,milan,2024-05-01,5,43,21,12,3,7
Italy,Lombardia,Metropolitan City of Milan,milan,2024-06-01,4,40,21,11,2,4
Italy,Lombardia,Metropolitan City of Milan,milan,2024-07-01,4,41,21,9,2,3
Italy,Lombardia,Metropolitan City of Milan,milan,2024-08-01,4,42,20,9,2,2
Italy,Lombardia,Metropolitan City of Milan,milan,2024-09-01,4,43,22,11,2,5
Italy,Lombardia,Metropolitan City of Milan,milan,2024-10-01,4,38,21,11,2,6
Italy,Lombardia,Metropolitan City of Milan,milan,2024-11-01,3,33,17,11,2,6
Italy,Lombardia,Metropolitan City of Milan,milan,2024-12-01,3,32,17,13,2,9
Italy,Lombardia,Metropolitan City of Milan,milan,2025-01-01,5,42,25,10,2,6
