country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Italy,Campania,Metropolitan City of Naples,naples,2020-01-01,0,1,2,7,73,38
Italy,Campania,Metropolitan City of Naples,naples,2020-02-01,0,1,2,7,75,33
Italy,Campania,Metropolitan City of Naples,naples,2020-03-01,0,1,1,6,59,13
Italy,Campania,Metropolitan City of Naples,naples,2020-04-01,0,0,0,6,57,14
Italy,Campania,Metropolitan City of Naples,naples,2020-05-01,0,0,0,6,63,17
Italy,Campania,Metropolitan City of Naples,naples,2020-06-01,0,0,1,5,57,20
Italy,Campania,Metropolitan City of Naples,naples,2020-07-01,0,1,1,4,51,23
Italy,Campania,Metropolitan City of Naples,naples,2020-08-01,0,1,1,4,59,25
Italy,Campania,Metropolitan City of Naples,naples,2020-09-01,0,0,1,6,55,21
Italy,Campania,Metropolitan City of Naples,naples,2020-10-01,0,0,0,5,50,14
Italy,Campania,Metropolitan City of Naples,naples,2020-11-01,0,0,0,6,65,11
Italy,Campania,Metropolitan City of Naples,naples,2020-12-01,0,0,0,4,61,13
Italy,Campania,Metropolitan City of Naples,naples,2021-01-01,0,0,0,5,58,16
Italy,Campania,Metropolitan City of Naples,naples,2021-02-01,0,0,0,9,69,21
Italy,Campania,Metropolitan City of Naples,naples,2021-03-01,0,0,0,8,69,17
Italy,Campania,Metropolitan City of Naples,naples,2021-04-01,0,0,0,5,50,17
Italy,Campania,Metropolitan City of Naples,naples,2021-05-01,0,0,1,7,54,19
Italy,Campania,Metropolitan City of Naples,naples,2021-06-01,0,1,1,4,52,25
Italy,Campania,Metropolitan City of Naples,naples,2021-07-01,0,1,1,4,58,34
Italy,Campania,Metropolitan City of Naples,naples,2021-08-01,0,1,1,5,63,31
Italy,Campania,Metropolitan City of Naples,naples,2021-09-01,0,1,1,5,58,24
Italy,Campania,Metropolitan City of Naples,naples,2021-10-01,0,1,1,5,54,22
Italy,Campania,Metropolitan City of Naples,naples,2021-11-01,0,1,1,5,55,18
Italy,Campania,Metropolitan City of Naples,naples,2021-12-01,0,0,1,4,47,16
Italy,Campania,Metropolitan City of Naples,naples,2022-01-01,0,1,2,5,59,30
Italy,Campania,Metropolitan City of Naples,naples,2022-02-01,0,1,2,6,56,34
Italy,Campania,Metropolitan City of Naples,naples,2022-03-01,0,1,2,6,58,38
Italy,Campania,Metropolitan City of Naples,naples,2022-04-01,0,2,2,6,73,47
Italy,Campania,Metropolitan City of Naples,naples,2022-05-01,1,2,3,7,73,54
Italy,Campania,Metropolitan City of Naples,naples,2022-06-01,1,2,3,6,68,59
Italy,Campania,Metropolitan City of Naples,naples,2022-07-01,0,2,2,11,66,58
Italy,Campania,Metropolitan City of Naples,naples,2022-08-01,0,2,2,5,66,47
Italy,Campania,Metropolitan City of Naples,naples,2022-09-01,0,1,2,6,62,39
Italy,Campania,Metropolitan City of Naples,naples,2022-10-01,0,1,1,7,60,28
Italy,Campania,Metropolitan City of Naples,naples,2022-11-01,0,1,1,6,54,22
Italy,Campania,Metropolitan City of Naples,naples,2022-12-01,0,1,1,5,52,23
Italy,Campania,Metropolitan City of Naples,naples,2023-01-01,1,2,3,6,63,44
Italy,Campania,Metropolitan City of Naples,naples,2023-02-01,1,2,3,7,63,43
Italy,Campania,Metropolitan City of Naples,naples,2023-03-01,1,2,3,7,67,45
Italy,Campania,Metropolitan City of Naples,naples,2023-04-01,1,2,2,6,68,55
Italy,Campania,Metropolitan City of Naples,naples,2023-05-01,1,2,2,6,71,57
Italy,Campania,Metropolitan City of Naples,naples,2023-06-01,0,2,2,6,70,58
Italy,Campania,Metropolitan City of Naples,naples,2023-07-01,0,2,2,5,71,58
Italy,Campania,Metropolitan City of Naples,naples,2023-08-01,0,2,2,5,71,44
Italy,Campania,Metropolitan City of Naples,naples,2023-09-01,0,1,2,6,69,39
Italy,Campania,Metropolitan City of Naples,naples,2023-10-01,0,1,1,6,81,28
Italy,Campania,Metropolitan City of Naples,naples,2023-11-01,0,1,1,6,62,21
Italy,Campania,Metropolitan City of Naples,naples,2023-12-01,0,1,1,4,56,22
Italy,Campania,Metropolitan City of Naples,naples,2024-01-01,0,1,2,5,60,38
Italy,Campania,Metropolitan City of Naples,naples,2024-02-01,0,2,2,7,70,45
Italy,Campania,Metropolitan City of Naples,naples,2024-03-01,0,2,2,7,73,46
Italy,Campania,Metropolitan City of Naples,naples,2024-04-01,0,2,2,7,87,54
Italy,Campania,Metropolitan City of Naples,naples,2024-05-01,0,2,2,7,84,59
Italy,Campania,Metropolitan City of Naples,naples,2024-06-01,0,2,2,6,75,63
Italy,Campania,Metropolitan City of Naples,naples,2024-07-01,0,2,2,6,72,60
Italy,Campania,Metropolitan City of Naples,naples,2024-08-01,0,2,2,6,71,52
Italy,Campania,Metropolitan City of Naples,naples,2024-09-01,0,1,2,6,70,41
Italy,Campania,Metropolitan City of Naples,naples,2024-10-01,0,1,1,6,65,32
Italy,Campania,Metropolitan City of Naples,naples,2024-11-01,0,1,1,6,77,23
Italy,Campania,Metropolitan City of Naples,naples,2024-12-01,0,1,2,5,67,25
Italy,Campania,Metropolitan City of Naples,naples,2025-01-01,0,1,2,6,75,39
Italy,Campania,Metropolitan City of Naples,naples,2025-02-01,0,1,2,8,79,39
Italy,Campania,Metropolitan City of Naples,naples,2025-03-01,0,2,2,7,82,46
Italy,Campania,Metropolitan City of Naples,naples,2025-04-01,0,2,2,7,100,49
Italy,Campania,Metropolitan City of Naples,naples,2025-05-01,0,2,2,7,87,54
Italy,Campania,Metropolitan City of Naples,naples,2025-06-01,0,2,2,7,72,58
Italy,Campania,Metropolitan City of Naples,naples,2025-07-01,0,2,3,5,67,59
Italy,Campania,Metropolitan City of Naples,naples,2025-08-01,1,4,4,8,82,60
Italy,Campania,Metropolitan City of Naples,naples,2025-09-01,0,3,3,8,81,54
Italy,Campania,Metropolitan City of Naples,naples,2025-10-01,0,2,2,7,75,39
Italy,Campania,Metropolitan City of Naples,naples,2025-11-01,0,2,2,6,70,31
Italy,Campania,Metropolitan City of Naples,naples,2025-12-01,0,2,3,5,63,32
Italy,Campania,Metropolitan City of Naples,naples,2026-01-01,0,3,4,6,69,47
Italy,Campania,Metropolitan City of Naples,naples,2026-02-01,1,3,4,7,83,52
Italy,Campania,Metropolitan City of Naples,naples,2026-03-01,0,3,4,7,78,53
