country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2020-01-01,0,0,0,0,56,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2020-02-01,0,0,0,0,38,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2020-03-01,0,0,0,0,28,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2020-04-01,0,17,0,0,46,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2020-05-01,0,0,0,0,83,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2020-06-01,0,0,0,0,75,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2020-07-01,0,0,0,0,44,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2020-08-01,0,0,0,0,51,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2020-09-01,0,0,0,0,33,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2020-10-01,0,0,0,0,40,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2020-11-01,0,0,18,0,57,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2020-12-01,0,0,0,0,22,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2021-01-01,0,0,0,16,40,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2021-02-01,0,0,0,0,52,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2021-03-01,0,0,0,0,50,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2021-04-01,0,0,0,0,65,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2021-05-01,0,0,0,0,90,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2021-06-01,0,0,0,0,63,0
Croatia,Panonska Hrvatska,Osijek-Baranja County,osijek,2021-07-01,0,18,0,0,32,0
