country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Italy,Sicilia,Metropolitan City of Palermo,palermo,2020-01-01,2,15,6,1,5,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2020-02-01,1,16,3,1,5,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2020-03-01,0,7,1,1,4,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2020-04-01,0,3,1,0,4,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2020-05-01,0,5,1,1,4,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2020-06-01,1,9,1,1,4,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2020-07-01,1,12,2,1,3,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2020-08-01,1,14,1,1,4,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2020-09-01,1,11,1,1,4,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2020-10-01,0,9,1,1,4,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2020-11-01,0,5,1,1,3,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2020-12-01,0,5,1,1,8,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2021-01-01,0,7,1,1,8,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2021-02-01,0,7,1,1,37,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2021-03-01,0,7,1,1,11,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2021-04-01,1,8,1,1,4,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2021-05-01,1,10,1,1,5,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2021-06-01,1,14,1,1,4,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2021-07-01,1,16,2,1,4,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2021-08-01,1,16,2,1,6,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2021-09-01,1,15,2,1,7,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2021-10-01,1,13,2,1,8,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2021-11-01,1,11,1,1,4,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2021-12-01,1,10,1,1,3,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2022-01-01,1,12,2,1,4,0
Italy,Sicilia,Metropolitan City of Palermo,palermo,2022-02-01,2,15,3,1,13,0
