country,region,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Spain,Illes Balears,palma,2020-01-01,4,56,12,1,0,0
Spain,Illes Balears,palma,2020-02-01,4,55,7,2,0,0
Spain,Illes Balears,palma,2020-03-01,1,33,4,1,0,0
Spain,Illes Balears,palma,2020-04-01,0,12,1,1,0,0
Spain,Illes Balears,palma,2020-05-01,1,13,2,1,0,0
Spain,Illes Balears,palma,2020-06-01,2,27,4,1,0,0
Spain,Illes Balears,palma,2020-07-01,4,43,5,2,0,0
Spain,Illes Balears,palma,2020-08-01,2,32,3,2,0,0
Spain,Illes Balears,palma,2020-09-01,1,19,2,1,0,0
Spain,Illes Balears,palma,2020-10-01,1,14,2,1,0,0
Spain,Illes Balears,palma,2020-11-01,1,10,1,1,0,0
Spain,Illes Balears,palma,2020-12-01,1,10,2,0,0,0
Spain,Illes Balears,palma,2021-01-01,1,10,2,0,0,0
Spain,Illes Balears,palma,2021-02-01,1,12,2,1,0,0
Spain,Illes Balears,palma,2021-03-01,2,19,2,1,0,0
Spain,Illes Balears,palma,2021-04-01,2,21,2,1,0,0
Spain,Illes Balears,palma,2021-05-01,4,43,4,1,0,0
Spain,Illes Balears,palma,2021-06-01,5,51,6,2,0,0
Spain,Illes Balears,palma,2021-07-01,4,50,6,4,0,0
Spain,Illes Balears,palma,2021-08-01,4,52,5,4,0,0
Spain,Illes Balears,palma,2021-09-01,2,50,6,3,0,0
Spain,Illes Balears,palma,2021-10-01,2,36,4,3,0,0
Spain,Illes Balears,palma,2021-11-01,1,21,3,1,0,0
Spain,Illes Balears,palma,2021-12-01,1,17,2,1,0,0
Spain,Illes Balears,palma,2022-01-01,3,33,5,1,0,0
Spain,Illes Balears,palma,2022-02-01,5,50,7,2,0,0
Spain,Illes Balears,palma,2022-03-01,7,53,8,2,0,0
Spain,Illes Balears,palma,2022-04-01,8,69,11,5,0,0
Spain,Illes Balears,palma,2022-05-01,9,75,12,5,0,0
Spain,Illes Balears,palma,2022-06-01,8,71,12,5,0,0
Spain,Illes Balears,palma,2022-07-01,7,59,10,6,0,0
Spain,Illes Balears,palma,2022-08-01,6,54,9,6,0,0
Spain,Illes Balears,palma,2022-09-01,4,45,8,6,0,0
Spain,Illes Balears,palma,2022-10-01,3,34,5,5,0,0
Spain,Illes Balears,palma,2022-11-01,2,22,4,2,0,0
Spain,Illes Balears,palma,2022-12-01,2,20,4,1,0,0
Spain,Illes Balears,palma,2023-01-01,5,41,8,1,0,0
Spain,Illes Balears,palma,2023-02-01,5,43,8,2,0,0
Spain,Illes Balears,palma,2023-03-01,6,43,9,2,1,41
Spain,Illes Balears,palma,2023-04-01,7,50,9,5,0,0
Spain,Illes Balears,palma,2023-05-01,6,53,9,5,0,0
Spain,Illes Balears,palma,2023-06-01,6,55,9,5,0,0
Spain,Illes Balears,palma,2023-07-01,6,61,10,6,1,68
Spain,Illes Balears,palma,2023-08-01,5,49,9,6,0,0
Spain,Illes Balears,palma,2023-09-01,3,39,7,6,0,0
Spain,Illes Balears,palma,2023-10-01,3,38,6,6,0,0
Spain,Illes Balears,palma,2023-11-01,2,26,4,2,0,0
Spain,Illes Balears,palma,2023-12-01,2,24,4,1,0,0
Spain,Illes Balears,palma,2024-01-01,5,42,8,2,0,0
Spain,Illes Balears,palma,2024-02-01,5,45,8,2,0,0
Spain,Illes Balears,palma,2024-03-01,6,47,9,3,0,0
Spain,Illes Balears,palma,2024-04-01,7,58,10,6,0,0
Spain,Illes Balears,palma,2024-05-01,6,57,10,6,0,0
Spain,Illes Balears,palma,2024-06-01,7,58,11,6,1,89
Spain,Illes Balears,palma,2024-07-01,7,58,11,7,1,50
Spain,Illes Balears,palma,2024-08-01,5,49,9,8,0,0
Spain,Illes Balears,palma,2024-09-01,3,41,8,7,0,0
Spain,Illes Balears,palma,2024-10-01,2,33,6,6,0,0
Spain,Illes Balears,palma,2024-11-01,2,21,4,2,1,23
Spain,Illes Balears,palma,2024-12-01,2,21,4,2,0,0
Spain,Illes Balears,palma,2025-01-01,5,41,8,2,0,0
Spain,Illes Balears,palma,2025-02-01,5,45,9,2,0,0
Spain,Illes Balears,palma,2025-03-01,5,45,9,3,0,0
Spain,Illes Balears,palma,2025-04-01,6,46,9,5,1,34
Spain,Illes Balears,palma,2025-05-01,5,53,10,6,0,0
Spain,Illes Balears,palma,2025-06-01,6,54,11,7,0,0
Spain,Illes Balears,palma,2025-07-01,5,58,15,7,0,0
Spain,Illes Balears,palma,2025-08-01,7,100,78,12,1,32
Spain,Illes Balears,palma,2025-09-01,6,67,66,11,0,0
Spain,Illes Balears,palma,2025-10-01,4,49,47,9,1,42
Spain,Illes Balears,palma,2025-11-01,4,47,43,5,0,0
Spain,Illes Balears,palma,2025-12-01,3,42,31,4,0,0
Spain,Illes Balears,palma,2026-01-01,5,51,28,3,0,0
Spain,Illes Balears,palma,2026-02-01,5,57,52,5,0,0
Spain,Illes Balears,palma,2026-03-01,6,64,41,7,1,28
