country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Greece,South Aegean,Dodecanese,rhodes,2020-01-01,0,2,1,0,36,0
Greece,South Aegean,Dodecanese,rhodes,2020-02-01,0,2,0,0,32,0
Greece,South Aegean,Dodecanese,rhodes,2020-03-01,0,1,0,0,19,0
Greece,South Aegean,Dodecanese,rhodes,2020-04-01,0,1,0,0,18,0
Greece,South Aegean,Dodecanese,rhodes,2020-05-01,0,1,0,0,21,0
Greece,South Aegean,Dodecanese,rhodes,2020-06-01,0,1,0,0,26,0
Greece,South Aegean,Dodecanese,rhodes,2020-07-01,0,2,0,0,38,0
Greece,South Aegean,Dodecanese,rhodes,2020-08-01,0,2,0,0,39,0
Greece,South Aegean,Dodecanese,rhodes,2020-09-01,0,1,0,0,30,0
Greece,South Aegean,Dodecanese,rhodes,2020-10-01,0,1,0,0,20,0
Greece,South Aegean,Dodecanese,rhodes,2020-11-01,0,0,0,0,14,0
Greece,South Aegean,Dodecanese,rhodes,2020-12-01,0,0,0,0,16,0
Greece,South Aegean,Dodecanese,rhodes,2021-01-01,0,1,0,0,19,0
Greece,South Aegean,Dodecanese,rhodes,2021-02-01,0,1,0,0,18,0
Greece,South Aegean,Dodecanese,rhodes,2021-03-01,0,1,0,0,20,0
Greece,South Aegean,Dodecanese,rhodes,2021-04-01,0,1,0,0,21,0
Greece,South Aegean,Dodecanese,rhodes,2021-05-01,0,1,0,0,30,0
Greece,South Aegean,Dodecanese,rhodes,2021-06-01,0,2,0,0,43,0
Greece,South Aegean,Dodecanese,rhodes,2021-07-01,0,2,0,0,55,0
Greece,South Aegean,Dodecanese,rhodes,2021-08-01,0,2,0,0,51,0
Greece,South Aegean,Dodecanese,rhodes,2021-09-01,0,2,0,0,39,0
Greece,South Aegean,Dodecanese,rhodes,2021-10-01,0,1,0,0,30,0
Greece,South Aegean,Dodecanese,rhodes,2021-11-01,0,1,0,0,19,0
Greece,South Aegean,Dodecanese,rhodes,2021-12-01,0,1,0,0,17,0
Greece,South Aegean,Dodecanese,rhodes,2022-01-01,0,1,0,0,28,0
Greece,South Aegean,Dodecanese,rhodes,2022-02-01,0,1,0,0,29,0
Greece,South Aegean,Dodecanese,rhodes,2022-03-01,0,1,0,0,30,0
Greece,South Aegean,Dodecanese,rhodes,2022-04-01,0,2,0,0,41,0
Greece,South Aegean,Dodecanese,rhodes,2022-05-01,0,3,1,0,51,0
Greece,South Aegean,Dodecanese,rhodes,2022-06-01,0,3,1,0,54,0
Greece,South Aegean,Dodecanese,rhodes,2022-07-01,0,3,1,0,56,0
Greece,South Aegean,Dodecanese,rhodes,2022-08-01,0,3,1,0,50,0
Greece,South Aegean,Dodecanese,rhodes,2022-09-01,0,2,0,0,39,0
Greece,South Aegean,Dodecanese,rhodes,2022-10-01,0,1,0,0,28,0
Greece,South Aegean,Dodecanese,rhodes,2022-11-01,0,1,0,0,18,0
Greece,South Aegean,Dodecanese,rhodes,2022-12-01,0,1,0,0,18,0
Greece,South Aegean,Dodecanese,rhodes,2023-01-01,0,2,0,0,29,0
Greece,South Aegean,Dodecanese,rhodes,2023-02-01,0,1,0,0,27,0
Greece,South Aegean,Dodecanese,rhodes,2023-03-01,0,2,0,0,29,0
Greece,South Aegean,Dodecanese,rhodes,2023-04-01,0,2,0,0,37,0
Greece,South Aegean,Dodecanese,rhodes,2023-05-01,0,2,1,0,45,0
Greece,South Aegean,Dodecanese,rhodes,2023-06-01,0,3,1,0,51,0
Greece,South Aegean,Dodecanese,rhodes,2023-07-01,0,4,1,0,57,0
Greece,South Aegean,Dodecanese,rhodes,2023-08-01,0,2,1,0,57,0
Greece,South Aegean,Dodecanese,rhodes,2023-09-01,0,2,0,0,43,0
Greece,South Aegean,Dodecanese,rhodes,2023-10-01,0,1,0,0,28,0
Greece,South Aegean,Dodecanese,rhodes,2023-11-01,0,1,0,0,19,0
Greece,South Aegean,Dodecanese,rhodes,2023-12-01,0,1,0,0,19,0
Greece,South Aegean,Dodecanese,rhodes,2024-01-01,0,2,0,0,30,0
Greece,South Aegean,Dodecanese,rhodes,2024-02-01,0,2,0,0,30,0
Greece,South Aegean,Dodecanese,rhodes,2024-03-01,0,2,0,0,33,0
Greece,South Aegean,Dodecanese,rhodes,2024-04-01,0,2,0,0,39,0
Greece,South Aegean,Dodecanese,rhodes,2024-05-01,0,3,1,0,49,0
Greece,South Aegean,Dodecanese,rhodes,2024-06-01,0,3,1,0,50,0
Greece,South Aegean,Dodecanese,rhodes,2024-07-01,0,3,1,0,57,0
Greece,South Aegean,Dodecanese,rhodes,2024-08-01,0,3,1,0,51,0
Greece,South Aegean,Dodecanese,rhodes,2024-09-01,0,2,0,0,39,0
Greece,South Aegean,Dodecanese,rhodes,2024-10-01,0,1,0,0,27,0
Greece,South Aegean,Dodecanese,rhodes,2024-11-01,0,1,0,0,17,0
Greece,South Aegean,Dodecanese,rhodes,2024-12-01,0,1,0,0,19,0
Greece,South Aegean,Dodecanese,rhodes,2025-01-01,0,2,0,0,27,0
Greece,South Aegean,Dodecanese,rhodes,2025-02-01,0,2,0,0,100,0
Greece,South Aegean,Dodecanese,rhodes,2025-03-01,0,2,0,0,32,0
Greece,South Aegean,Dodecanese,rhodes,2025-04-01,0,2,0,0,32,0
Greece,South Aegean,Dodecanese,rhodes,2025-05-01,0,3,1,0,39,0
Greece,South Aegean,Dodecanese,rhodes,2025-06-01,0,3,1,0,45,0
Greece,South Aegean,Dodecanese,rhodes,2025-07-01,0,3,1,0,50,0
Greece,South Aegean,Dodecanese,rhodes,2025-08-01,0,5,2,0,56,0
Greece,South Aegean,Dodecanese,rhodes,2025-09-01,0,3,2,0,43,0
Greece,South Aegean,Dodecanese,rhodes,2025-10-01,0,2,1,0,29,0
Greece,South Aegean,Dodecanese,rhodes,2025-11-01,0,1,1,0,22,0
Greece,South Aegean,Dodecanese,rhodes,2025-12-01,0,1,1,0,21,0
Greece,South Aegean,Dodecanese,rhodes,2026-01-01,0,2,1,0,29,0
Greece,South Aegean,Dodecanese,rhodes,2026-02-01,0,2,1,0,31,0
Greece,South Aegean,Dodecanese,rhodes,2026-03-01,0,2,1,0,31,0
