country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Italy,Lazio,Metropolitan City of Rome,rome,2020-01-01,4,47,25,52,5,4
Italy,Lazio,Metropolitan City of Rome,rome,2020-02-01,4,42,20,54,5,4
Italy,Lazio,Metropolitan City of Rome,rome,2020-03-01,1,14,13,39,4,2
Italy,Lazio,Metropolitan City of Rome,rome,2020-04-01,0,8,5,41,4,2
Italy,Lazio,Metropolitan City of Rome,rome,2020-05-01,0,10,5,39,4,2
Italy,Lazio,Metropolitan City of Rome,rome,2020-06-01,1,13,6,37,3,2
Italy,Lazio,Metropolitan City of Rome,rome,2020-07-01,1,15,7,34,2,1
Italy,Lazio,Metropolitan City of Rome,rome,2020-08-01,1,15,6,35,3,2
Italy,Lazio,Metropolitan City of Rome,rome,2020-09-01,1,15,6,40,3,3
Italy,Lazio,Metropolitan City of Rome,rome,2020-10-01,1,14,6,35,2,2
Italy,Lazio,Metropolitan City of Rome,rome,2020-11-01,0,8,5,46,2,2
Italy,Lazio,Metropolitan City of Rome,rome,2020-12-01,0,8,5,40,2,1
Italy,Lazio,Metropolitan City of Rome,rome,2021-01-01,0,10,5,35,2,1
Italy,Lazio,Metropolitan City of Rome,rome,2021-02-01,1,10,5,33,2,1
Italy,Lazio,Metropolitan City of Rome,rome,2021-03-01,0,10,5,34,2,1
Italy,Lazio,Metropolitan City of Rome,rome,2021-04-01,1,11,5,31,2,1
Italy,Lazio,Metropolitan City of Rome,rome,2021-05-01,1,14,6,36,2,1
Italy,Lazio,Metropolitan City of Rome,rome,2021-06-01,2,16,7,36,2,2
Italy,Lazio,Metropolitan City of Rome,rome,2021-07-01,1,20,8,36,3,2
Italy,Lazio,Metropolitan City of Rome,rome,2021-08-01,1,21,8,37,3,3
Italy,Lazio,Metropolitan City of Rome,rome,2021-09-01,1,23,9,38,3,3
Italy,Lazio,Metropolitan City of Rome,rome,2021-10-01,2,26,10,44,4,4
Italy,Lazio,Metropolitan City of Rome,rome,2021-11-01,1,21,8,40,3,3
Italy,Lazio,Metropolitan City of Rome,rome,2021-12-01,1,16,7,41,2,2
Italy,Lazio,Metropolitan City of Rome,rome,2022-01-01,3,21,12,42,3,3
Italy,Lazio,Metropolitan City of Rome,rome,2022-02-01,4,29,15,45,4,4
Italy,Lazio,Metropolitan City of Rome,rome,2022-03-01,4,32,16,51,5,5
Italy,Lazio,Metropolitan City of Rome,rome,2022-04-01,4,36,18,54,5,5
