country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Albania,Bregdet (Coastal),Shkoder County,shkoder,2020-01-01,0,23,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2020-02-01,0,23,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2020-03-01,0,24,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2020-04-01,0,11,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2020-05-01,0,14,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2020-06-01,0,17,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2020-07-01,0,24,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2020-08-01,0,30,0,0,4,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2020-09-01,0,18,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2020-10-01,0,18,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2020-11-01,0,13,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2020-12-01,0,19,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2021-01-01,0,18,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2021-02-01,0,15,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2021-03-01,0,18,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2021-04-01,0,21,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2021-05-01,0,19,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2021-06-01,0,33,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2021-07-01,0,39,0,0,8,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2021-08-01,0,48,0,5,10,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2021-09-01,0,33,0,0,8,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2021-10-01,0,22,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2021-11-01,0,22,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2021-12-01,0,26,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2022-01-01,0,19,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2022-02-01,0,24,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2022-03-01,0,19,0,0,4,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2022-04-01,0,21,0,0,3,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2022-05-01,0,30,0,0,7,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2022-06-01,0,38,0,0,12,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2022-07-01,0,47,0,4,15,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2022-08-01,0,58,0,4,16,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2022-09-01,0,34,0,0,9,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2022-10-01,0,30,0,0,5,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2022-11-01,0,21,0,0,4,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2022-12-01,0,21,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2023-01-01,0,22,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2023-02-01,0,24,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2023-03-01,0,25,0,0,6,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2023-04-01,0,36,0,0,8,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2023-05-01,0,33,0,0,11,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2023-06-01,0,41,0,4,20,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2023-07-01,4,59,0,4,27,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2023-08-01,5,66,0,6,25,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2023-09-01,0,45,0,6,15,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2023-10-01,0,31,0,0,5,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2023-11-01,4,22,0,0,5,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2023-12-01,0,30,0,0,0,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2024-01-01,0,29,0,0,7,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2024-02-01,0,32,0,0,8,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2024-03-01,0,32,0,0,15,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2024-04-01,0,38,0,4,13,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2024-05-01,5,42,0,5,20,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2024-06-01,4,49,0,10,29,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2024-07-01,5,74,4,5,32,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2024-08-01,5,78,0,6,33,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2024-09-01,0,54,0,4,18,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2024-10-01,0,38,0,0,8,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2024-11-01,0,29,0,0,6,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2024-12-01,0,29,0,0,6,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2025-01-01,0,28,0,4,9,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2025-02-01,4,33,0,0,10,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2025-03-01,0,30,0,5,13,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2025-04-01,0,40,0,0,18,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2025-05-01,4,55,0,4,22,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2025-06-01,0,54,0,7,25,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2025-07-01,6,75,0,7,34,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2025-08-01,8,100,9,18,51,6
Albania,Bregdet (Coastal),Shkoder County,shkoder,2025-09-01,6,60,0,14,32,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2025-10-01,0,49,0,5,17,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2025-11-01,0,39,0,0,14,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2025-12-01,0,43,0,5,11,6
Albania,Bregdet (Coastal),Shkoder County,shkoder,2026-01-01,0,43,6,5,14,0
Albania,Bregdet (Coastal),Shkoder County,shkoder,2026-02-01,0,51,6,9,24,4
Albania,Bregdet (Coastal),Shkoder County,shkoder,2026-03-01,4,42,6,9,28,6
