country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2020-01-01,12,35,53,7,1,10
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2020-02-01,11,34,44,5,2,20
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2020-03-01,3,19,14,5,0,0
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2020-04-01,0,10,4,4,0,0
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2020-05-01,2,12,7,6,1,9
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2020-06-01,7,22,16,4,0,0
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2020-07-01,11,35,29,6,3,30
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2020-08-01,7,33,26,8,3,21
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2020-09-01,2,13,8,4,2,15
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2020-10-01,0,11,6,5,0,0
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2020-11-01,2,5,5,4,0,0
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2020-12-01,2,4,6,3,0,0
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2021-01-01,0,6,6,2,0,0
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2021-02-01,0,7,7,3,0,0
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2021-03-01,1,8,7,3,1,9
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2021-04-01,4,7,9,4,0,0
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2021-05-01,5,16,14,4,1,10
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2021-06-01,7,23,17,5,1,11
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2021-07-01,12,41,35,10,4,26
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2021-08-01,12,46,34,11,4,27
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2021-09-01,4,23,20,6,5,14
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2021-10-01,3,11,14,6,2,10
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2021-11-01,0,8,10,4,0,0
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2021-12-01,2,7,7,3,0,0
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2022-01-01,8,21,30,3,0,0
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2022-02-01,11,28,36,5,0,0
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2022-03-01,10,25,31,5,1,14
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2022-04-01,15,36,51,8,2,20
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2022-05-01,17,40,53,9,3,22
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2022-06-01,16,48,55,10,6,26
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2022-07-01,17,48,51,13,7,28
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2022-08-01,11,37,42,13,7,24
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2022-09-01,7,24,31,11,4,14
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2022-10-01,5,16,24,9,2,16
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2022-11-01,4,10,19,5,0,0
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2022-12-01,4,11,20,3,1,19
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2023-01-01,17,31,56,4,2,19
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2023-02-01,12,29,46,7,2,17
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2023-03-01,12,33,47,6,3,12
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2023-04-01,16,37,54,8,4,17
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2023-05-01,17,41,49,13,4,24
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2023-06-01,17,47,50,13,6,23
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2023-07-01,16,49,50,18,8,30
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2023-08-01,9,38,38,17,7,30
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2023-09-01,6,27,28,14,4,20
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2023-10-01,4,14,22,9,4,15
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2023-11-01,3,12,18,6,2,10
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2023-12-01,4,14,19,4,2,18
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2024-01-01,13,30,45,6,2,19
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2024-02-01,12,32,48,7,2,14
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2024-03-01,11,37,46,7,2,16
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2024-04-01,14,38,46,9,4,17
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2024-05-01,14,42,46,14,8,27
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2024-06-01,17,50,52,15,8,24
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2024-07-01,14,48,51,17,9,31
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2024-08-01,10,40,43,17,8,31
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2024-09-01,6,28,33,13,7,18
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2024-10-01,5,19,26,9,5,15
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2024-11-01,4,15,19,6,2,17
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2024-12-01,5,14,23,3,2,18
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2025-01-01,11,33,49,4,3,14
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2025-02-01,12,31,44,4,2,17
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2025-03-01,12,41,44,6,3,12
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2025-04-01,13,43,45,8,5,16
Croatia,Jadranska Hrvatska,Split-Dalmatia County,split,2025-05-01,16,50,51,15,11,25
