country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Malta,Malta Island,Northern Malta,st_pauls_bay,2020-01-01,0,0,43,0,3,2
Malta,Malta Island,Northern Malta,st_pauls_bay,2020-02-01,0,0,30,0,2,2
Malta,Malta Island,Northern Malta,st_pauls_bay,2020-03-01,0,0,25,0,1,1
Malta,Malta Island,Northern Malta,st_pauls_bay,2020-04-01,0,0,7,0,1,1
Malta,Malta Island,Northern Malta,st_pauls_bay,2020-05-01,0,0,9,0,1,1
Malta,Malta Island,Northern Malta,st_pauls_bay,2020-06-01,0,0,14,0,1,1
Malta,Malta Island,Northern Malta,st_pauls_bay,2020-07-01,0,0,25,0,2,2
Malta,Malta Island,Northern Malta,st_pauls_bay,2020-08-01,0,0,15,0,2,3
Malta,Malta Island,Northern Malta,st_pauls_bay,2020-09-01,0,0,11,0,2,2
Malta,Malta Island,Northern Malta,st_pauls_bay,2020-10-01,0,0,10,0,1,1
Malta,Malta Island,Northern Malta,st_pauls_bay,2020-11-01,0,0,8,0,0,0
Malta,Malta Island,Northern Malta,st_pauls_bay,2020-12-01,0,0,9,0,1,1
Malta,Malta Island,Northern Malta,st_pauls_bay,2021-01-01,0,0,8,0,1,1
Malta,Malta Island,Northern Malta,st_pauls_bay,2021-02-01,0,0,8,0,0,0
Malta,Malta Island,Northern Malta,st_pauls_bay,2021-03-01,0,0,8,0,1,1
Malta,Malta Island,Northern Malta,st_pauls_bay,2021-04-01,0,0,13,0,1,1
Malta,Malta Island,Northern Malta,st_pauls_bay,2021-05-01,0,0,16,0,1,1
Malta,Malta Island,Northern Malta,st_pauls_bay,2021-06-01,0,0,24,0,2,3
Malta,Malta Island,Northern Malta,st_pauls_bay,2021-07-01,0,0,26,0,2,2
Malta,Malta Island,Northern Malta,st_pauls_bay,2021-08-01,0,0,25,0,2,3
Malta,Malta Island,Northern Malta,st_pauls_bay,2021-09-01,0,0,23,0,2,3
Malta,Malta Island,Northern Malta,st_pauls_bay,2021-10-01,0,0,21,0,2,2
Malta,Malta Island,Northern Malta,st_pauls_bay,2021-11-01,0,0,18,0,1,1
Malta,Malta Island,Northern Malta,st_pauls_bay,2021-12-01,0,0,12,0,1,1
Malta,Malta Island,Northern Malta,st_pauls_bay,2022-01-01,0,0,22,0,1,1
Malta,Malta Island,Northern Malta,st_pauls_bay,2022-02-01,0,0,25,0,2,1
Malta,Malta Island,Northern Malta,st_pauls_bay,2022-03-01,0,0,25,0,2,1
Malta,Malta Island,Northern Malta,st_pauls_bay,2022-04-01,0,0,27,0,3,3
Malta,Malta Island,Northern Malta,st_pauls_bay,2022-05-01,0,0,29,0,2,3
Malta,Malta Island,Northern Malta,st_pauls_bay,2022-06-01,0,0,29,1,3,4
Malta,Malta Island,Northern Malta,st_pauls_bay,2022-07-01,0,0,29,1,3,5
