country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2020-01-01,4,40,19,1,52,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2020-02-01,4,39,15,1,64,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2020-03-01,2,15,9,0,51,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2020-04-01,1,7,3,0,52,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2020-05-01,1,10,6,0,63,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2020-06-01,2,18,9,0,63,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2020-07-01,3,22,11,1,58,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2020-08-01,2,21,8,0,55,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2020-09-01,2,22,8,1,53,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2020-10-01,2,18,9,1,47,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2020-11-01,1,6,5,0,40,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2020-12-01,1,7,4,0,38,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2021-01-01,1,7,4,0,44,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2021-02-01,1,7,5,0,52,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2021-03-01,1,8,4,0,52,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2021-04-01,2,9,5,0,48,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2021-05-01,2,18,7,0,55,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2021-06-01,3,26,11,1,66,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2021-07-01,4,31,11,1,71,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2021-08-01,3,30,12,1,58,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2021-09-01,3,32,12,1,45,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2021-10-01,3,25,10,1,41,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2021-11-01,3,22,8,1,41,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2021-12-01,3,18,6,1,41,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2022-01-01,3,19,10,0,51,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2022-02-01,4,26,12,1,58,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2022-03-01,5,29,14,1,50,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2022-04-01,5,33,16,1,67,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2022-05-01,5,43,19,1,72,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2022-06-01,5,38,19,1,61,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2022-07-01,5,37,21,2,71,0
Greece,Central Macedonia,Thessaloniki Regional Unit,thessaloniki,2022-08-01,4,38,17,2,59,0
