country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Albania,Qender (Central),Tirana County,tirana,2020-01-01,1,18,23,1,0,0
Albania,Qender (Central),Tirana County,tirana,2020-02-01,1,18,14,0,0,0
Albania,Qender (Central),Tirana County,tirana,2020-03-01,0,9,9,0,0,0
Albania,Qender (Central),Tirana County,tirana,2020-04-01,0,4,4,0,0,0
Albania,Qender (Central),Tirana County,tirana,2020-05-01,0,6,6,0,0,0
Albania,Qender (Central),Tirana County,tirana,2020-06-01,1,9,11,0,0,0
Albania,Qender (Central),Tirana County,tirana,2020-07-01,1,11,11,0,0,0
Albania,Qender (Central),Tirana County,tirana,2020-08-01,1,11,9,0,0,0
Albania,Qender (Central),Tirana County,tirana,2020-09-01,1,10,8,0,0,0
Albania,Qender (Central),Tirana County,tirana,2020-10-01,1,12,8,0,0,0
Albania,Qender (Central),Tirana County,tirana,2020-11-01,1,8,7,0,0,0
Albania,Qender (Central),Tirana County,tirana,2020-12-01,1,10,9,0,0,0
Albania,Qender (Central),Tirana County,tirana,2021-01-01,1,11,9,0,0,0
Albania,Qender (Central),Tirana County,tirana,2021-02-01,1,10,8,0,0,0
Albania,Qender (Central),Tirana County,tirana,2021-03-01,1,9,8,0,0,0
Albania,Qender (Central),Tirana County,tirana,2021-04-01,1,12,8,0,0,0
Albania,Qender (Central),Tirana County,tirana,2021-05-01,1,14,10,0,0,0
Albania,Qender (Central),Tirana County,tirana,2021-06-01,2,17,13,0,0,0
Albania,Qender (Central),Tirana County,tirana,2021-07-01,1,24,19,1,0,0
Albania,Qender (Central),Tirana County,tirana,2021-08-01,1,31,18,1,0,0
Albania,Qender (Central),Tirana County,tirana,2021-09-01,1,27,12,1,0,0
Albania,Qender (Central),Tirana County,tirana,2021-10-01,1,21,12,0,0,0
Albania,Qender (Central),Tirana County,tirana,2021-11-01,1,16,12,0,0,0
Albania,Qender (Central),Tirana County,tirana,2021-12-01,1,18,12,0,0,0
Albania,Qender (Central),Tirana County,tirana,2022-01-01,2,14,12,1,0,0
Albania,Qender (Central),Tirana County,tirana,2022-02-01,2,17,12,0,0,0
Albania,Qender (Central),Tirana County,tirana,2022-03-01,2,17,14,1,0,0
Albania,Qender (Central),Tirana County,tirana,2022-04-01,2,22,17,1,0,0
Albania,Qender (Central),Tirana County,tirana,2022-05-01,4,34,20,0,0,0
Albania,Qender (Central),Tirana County,tirana,2022-06-01,3,28,21,1,0,0
Albania,Qender (Central),Tirana County,tirana,2022-07-01,3,30,21,1,0,0
Albania,Qender (Central),Tirana County,tirana,2022-08-01,3,31,21,1,0,0
Albania,Qender (Central),Tirana County,tirana,2022-09-01,2,28,17,1,0,0
Albania,Qender (Central),Tirana County,tirana,2022-10-01,2,22,15,1,0,0
Albania,Qender (Central),Tirana County,tirana,2022-11-01,2,19,14,1,0,0
Albania,Qender (Central),Tirana County,tirana,2022-12-01,2,18,14,1,0,0
Albania,Qender (Central),Tirana County,tirana,2023-01-01,3,21,17,0,0,0
Albania,Qender (Central),Tirana County,tirana,2023-02-01,3,21,17,0,0,0
Albania,Qender (Central),Tirana County,tirana,2023-03-01,3,24,19,1,0,0
Albania,Qender (Central),Tirana County,tirana,2023-04-01,3,27,19,1,0,0
Albania,Qender (Central),Tirana County,tirana,2023-05-01,3,33,20,1,0,0
Albania,Qender (Central),Tirana County,tirana,2023-06-01,4,36,22,1,0,0
Albania,Qender (Central),Tirana County,tirana,2023-07-01,4,41,22,1,0,0
Albania,Qender (Central),Tirana County,tirana,2023-08-01,3,42,21,1,0,0
Albania,Qender (Central),Tirana County,tirana,2023-09-01,3,37,18,1,0,0
Albania,Qender (Central),Tirana County,tirana,2023-10-01,2,31,17,1,0,0
Albania,Qender (Central),Tirana County,tirana,2023-11-01,3,26,17,1,0,0
Albania,Qender (Central),Tirana County,tirana,2023-12-01,2,27,16,1,0,0
Albania,Qender (Central),Tirana County,tirana,2024-01-01,4,32,23,1,0,0
Albania,Qender (Central),Tirana County,tirana,2024-02-01,4,36,21,1,0,0
Albania,Qender (Central),Tirana County,tirana,2024-03-01,5,40,25,1,0,0
Albania,Qender (Central),Tirana County,tirana,2024-04-01,5,44,25,1,0,0
Albania,Qender (Central),Tirana County,tirana,2024-05-01,5,48,26,2,0,0
Albania,Qender (Central),Tirana County,tirana,2024-06-01,5,52,26,1,0,0
Albania,Qender (Central),Tirana County,tirana,2024-07-01,6,53,30,2,0,0
Albania,Qender (Central),Tirana County,tirana,2024-08-01,5,50,28,2,0,0
Albania,Qender (Central),Tirana County,tirana,2024-09-01,4,49,26,1,0,0
Albania,Qender (Central),Tirana County,tirana,2024-10-01,3,36,24,2,0,0
Albania,Qender (Central),Tirana County,tirana,2024-11-01,3,28,21,1,0,0
Albania,Qender (Central),Tirana County,tirana,2024-12-01,3,27,20,1,0,0
Albania,Qender (Central),Tirana County,tirana,2025-01-01,4,34,24,1,0,0
Albania,Qender (Central),Tirana County,tirana,2025-02-01,5,35,25,1,0,0
Albania,Qender (Central),Tirana County,tirana,2025-03-01,4,36,26,1,0,0
Albania,Qender (Central),Tirana County,tirana,2025-04-01,5,40,25,1,0,0
Albania,Qender (Central),Tirana County,tirana,2025-05-01,5,45,27,1,0,0
Albania,Qender (Central),Tirana County,tirana,2025-06-01,5,47,26,2,0,0
Albania,Qender (Central),Tirana County,tirana,2025-07-01,5,50,33,2,0,0
Albania,Qender (Central),Tirana County,tirana,2025-08-01,8,86,100,4,0,0
Albania,Qender (Central),Tirana County,tirana,2025-09-01,7,66,90,4,0,0
Albania,Qender (Central),Tirana County,tirana,2025-10-01,5,58,66,3,0,0
Albania,Qender (Central),Tirana County,tirana,2025-11-01,5,52,66,3,0,0
Albania,Qender (Central),Tirana County,tirana,2025-12-01,4,42,56,3,0,0
Albania,Qender (Central),Tirana County,tirana,2026-01-01,5,47,42,2,0,0
Albania,Qender (Central),Tirana County,tirana,2026-02-01,6,52,55,2,1,0
Albania,Qender (Central),Tirana County,tirana,2026-03-01,6,53,54,3,0,0
