country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Spain,Comunitat Valenciana,Valencia Province,valencia,2020-01-01,6,66,16,1,1,24
Spain,Comunitat Valenciana,Valencia Province,valencia,2020-02-01,7,63,11,1,1,35
Spain,Comunitat Valenciana,Valencia Province,valencia,2020-03-01,2,47,5,1,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2020-04-01,1,12,2,1,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2020-05-01,2,15,3,1,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2020-06-01,4,29,4,0,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2020-07-01,5,42,4,0,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2020-08-01,3,42,3,0,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2020-09-01,2,32,3,0,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2020-10-01,2,29,3,0,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2020-11-01,1,20,2,0,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2020-12-01,2,21,3,0,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2021-01-01,1,20,3,0,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2021-02-01,2,20,2,0,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2021-03-01,3,26,3,0,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2021-04-01,3,33,3,0,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2021-05-01,5,48,4,0,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2021-06-01,6,55,4,0,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2021-07-01,6,59,4,0,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2021-08-01,5,64,5,1,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2021-09-01,4,50,6,0,0,0
Spain,Comunitat Valenciana,Valencia Province,valencia,2021-10-01,4,52,6,1,0,0
