country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Malta,Malta Island,Southern Harbour,valletta,2020-01-01,0,5,43,1,0,0
Malta,Malta Island,Southern Harbour,valletta,2020-02-01,0,4,30,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2020-03-01,0,2,25,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2020-04-01,0,1,7,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2020-05-01,0,1,9,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2020-06-01,0,2,14,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2020-07-01,0,2,25,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2020-08-01,0,2,15,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2020-09-01,0,2,11,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2020-10-01,0,1,10,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2020-11-01,0,1,8,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2020-12-01,0,2,9,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2021-01-01,0,1,8,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2021-02-01,0,2,8,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2021-03-01,0,1,8,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2021-04-01,0,2,13,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2021-05-01,0,2,16,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2021-06-01,0,3,24,0,1,0
Malta,Malta Island,Southern Harbour,valletta,2021-07-01,0,3,26,1,0,0
Malta,Malta Island,Southern Harbour,valletta,2021-08-01,0,4,25,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2021-09-01,0,4,23,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2021-10-01,0,3,21,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2021-11-01,0,3,18,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2021-12-01,0,2,12,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2022-01-01,0,3,22,0,1,0
Malta,Malta Island,Southern Harbour,valletta,2022-02-01,1,3,25,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2022-03-01,1,3,25,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2022-04-01,1,4,27,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2022-05-01,0,4,29,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2022-06-01,0,3,29,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2022-07-01,0,4,29,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2022-08-01,0,3,26,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2022-09-01,0,3,25,1,0,0
Malta,Malta Island,Southern Harbour,valletta,2022-10-01,0,3,23,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2022-11-01,0,3,20,1,0,0
Malta,Malta Island,Southern Harbour,valletta,2022-12-01,0,3,21,0,0,0
Malta,Malta Island,Southern Harbour,valletta,2023-01-01,1,4,31,1,0,0
Malta,Malta Island,Southern Harbour,valletta,2023-02-01,0,4,26,1,0,0
Malta,Malta Island,Southern Harbour,valletta,2023-03-01,1,4,27,1,0,0
Malta,Malta Island,Southern Harbour,valletta,2023-04-01,1,5,28,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2023-05-01,1,4,28,1,0,0
Malta,Malta Island,Southern Harbour,valletta,2023-06-01,1,4,28,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2023-07-01,1,4,28,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2023-08-01,0,4,28,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2023-09-01,0,4,26,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2023-10-01,0,4,22,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2023-11-01,0,3,22,1,0,0
Malta,Malta Island,Southern Harbour,valletta,2023-12-01,0,3,21,1,0,0
Malta,Malta Island,Southern Harbour,valletta,2024-01-01,1,5,36,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2024-02-01,1,5,32,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2024-03-01,1,5,30,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2024-04-01,1,5,29,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2024-05-01,0,5,28,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2024-06-01,0,4,29,1,0,0
Malta,Malta Island,Southern Harbour,valletta,2024-07-01,0,5,32,1,0,0
Malta,Malta Island,Southern Harbour,valletta,2024-08-01,0,5,29,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2024-09-01,0,4,29,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2024-10-01,0,5,28,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2024-11-01,0,4,28,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2024-12-01,0,4,23,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2025-01-01,1,5,33,1,0,0
Malta,Malta Island,Southern Harbour,valletta,2025-02-01,0,5,29,1,0,0
Malta,Malta Island,Southern Harbour,valletta,2025-03-01,1,5,33,1,0,0
Malta,Malta Island,Southern Harbour,valletta,2025-04-01,1,5,29,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2025-05-01,0,4,28,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2025-06-01,1,5,29,1,0,0
Malta,Malta Island,Southern Harbour,valletta,2025-07-01,0,5,36,1,0,0
Malta,Malta Island,Southern Harbour,valletta,2025-08-01,1,10,96,2,1,0
Malta,Malta Island,Southern Harbour,valletta,2025-09-01,1,10,100,2,1,0
Malta,Malta Island,Southern Harbour,valletta,2025-10-01,1,9,76,2,1,0
Malta,Malta Island,Southern Harbour,valletta,2025-11-01,1,8,73,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2025-12-01,1,7,59,2,1,0
Malta,Malta Island,Southern Harbour,valletta,2026-01-01,1,8,60,1,1,0
Malta,Malta Island,Southern Harbour,valletta,2026-02-01,1,8,75,2,1,0
Malta,Malta Island,Southern Harbour,valletta,2026-03-01,1,8,69,2,1,0
