country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Italy,Veneto,Metropolitan City of Venice,venice,2020-01-01,6,57,30,1,12,1
Italy,Veneto,Metropolitan City of Venice,venice,2020-02-01,5,57,24,1,10,1
Italy,Veneto,Metropolitan City of Venice,venice,2020-03-01,2,42,15,1,5,1
Italy,Veneto,Metropolitan City of Venice,venice,2020-04-01,1,20,5,1,3,2
Italy,Veneto,Metropolitan City of Venice,venice,2020-05-01,2,18,6,1,3,1
Italy,Veneto,Metropolitan City of Venice,venice,2020-06-01,2,22,8,1,3,1
Italy,Veneto,Metropolitan City of Venice,venice,2020-07-01,2,28,9,1,3,2
Italy,Veneto,Metropolitan City of Venice,venice,2020-08-01,2,32,9,1,3,2
Italy,Veneto,Metropolitan City of Venice,venice,2020-09-01,2,26,8,1,3,1
Italy,Veneto,Metropolitan City of Venice,venice,2020-10-01,2,23,6,1,3,1
Italy,Veneto,Metropolitan City of Venice,venice,2020-11-01,1,15,6,0,4,0
Italy,Veneto,Metropolitan City of Venice,venice,2020-12-01,1,15,7,0,6,0
Italy,Veneto,Metropolitan City of Venice,venice,2021-01-01,2,16,7,1,4,0
Italy,Veneto,Metropolitan City of Venice,venice,2021-02-01,2,17,6,0,5,0
Italy,Veneto,Metropolitan City of Venice,venice,2021-03-01,2,18,7,0,4,1
Italy,Veneto,Metropolitan City of Venice,venice,2021-04-01,2,19,6,0,3,1
Italy,Veneto,Metropolitan City of Venice,venice,2021-05-01,2,21,8,1,4,1
Italy,Veneto,Metropolitan City of Venice,venice,2021-06-01,3,24,10,1,5,0
Italy,Veneto,Metropolitan City of Venice,venice,2021-07-01,3,26,11,2,5,1
Italy,Veneto,Metropolitan City of Venice,venice,2021-08-01,2,26,10,1,3,1
Italy,Veneto,Metropolitan City of Venice,venice,2021-09-01,2,28,12,2,4,1
Italy,Veneto,Metropolitan City of Venice,venice,2021-10-01,2,27,13,1,6,1
