country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Malta,Gozo and Comino,Gozo,victoria_gozo,2020-01-01,11,58,5,0,3,45
Malta,Gozo and Comino,Gozo,victoria_gozo,2020-02-01,9,58,6,0,3,46
Malta,Gozo and Comino,Gozo,victoria_gozo,2020-03-01,3,28,3,0,2,28
Malta,Gozo and Comino,Gozo,victoria_gozo,2020-04-01,2,11,0,0,0,0
Malta,Gozo and Comino,Gozo,victoria_gozo,2020-05-01,6,18,2,0,0,0
Malta,Gozo and Comino,Gozo,victoria_gozo,2020-06-01,9,43,0,0,3,48
Malta,Gozo and Comino,Gozo,victoria_gozo,2020-07-01,8,62,2,0,3,45
Malta,Gozo and Comino,Gozo,victoria_gozo,2020-08-01,8,52,0,0,6,64
Malta,Gozo and Comino,Gozo,victoria_gozo,2020-09-01,5,43,2,0,3,28
Malta,Gozo and Comino,Gozo,victoria_gozo,2020-10-01,4,31,0,0,3,36
Malta,Gozo and Comino,Gozo,victoria_gozo,2020-11-01,2,20,0,0,0,0
Malta,Gozo and Comino,Gozo,victoria_gozo,2020-12-01,2,21,0,0,0,0
Malta,Gozo and Comino,Gozo,victoria_gozo,2021-01-01,3,28,0,0,0,0
Malta,Gozo and Comino,Gozo,victoria_gozo,2021-02-01,3,27,0,0,0,0
Malta,Gozo and Comino,Gozo,victoria_gozo,2021-03-01,2,16,0,0,0,0
Malta,Gozo and Comino,Gozo,victoria_gozo,2021-04-01,4,26,2,0,0,0
Malta,Gozo and Comino,Gozo,victoria_gozo,2021-05-01,5,49,0,0,0,0
Malta,Gozo and Comino,Gozo,victoria_gozo,2021-06-01,6,61,3,0,0,0
Malta,Gozo and Comino,Gozo,victoria_gozo,2021-07-01,7,70,3,0,5,100
Malta,Gozo and Comino,Gozo,victoria_gozo,2021-08-01,8,76,4,0,6,100
Malta,Gozo and Comino,Gozo,victoria_gozo,2021-09-01,6,63,4,0,5,65
Malta,Gozo and Comino,Gozo,victoria_gozo,2021-10-01,5,42,4,0,4,56
Malta,Gozo and Comino,Gozo,victoria_gozo,2021-11-01,3,31,0,0,3,51
Malta,Gozo and Comino,Gozo,victoria_gozo,2021-12-01,2,27,0,0,0,0
Malta,Gozo and Comino,Gozo,victoria_gozo,2022-01-01,7,44,5,0,0,0
Malta,Gozo and Comino,Gozo,victoria_gozo,2022-02-01,9,46,4,0,3,32
Malta,Gozo and Comino,Gozo,victoria_gozo,2022-03-01,6,43,3,0,2,48
Malta,Gozo and Comino,Gozo,victoria_gozo,2022-04-01,8,50,5,0,5,90
Malta,Gozo and Comino,Gozo,victoria_gozo,2022-05-01,8,55,4,2,5,75
Malta,Gozo and Comino,Gozo,victoria_gozo,2022-06-01,10,59,3,0,5,85
Malta,Gozo and Comino,Gozo,victoria_gozo,2022-07-01,9,63,3,0,6,100
Malta,Gozo and Comino,Gozo,victoria_gozo,2022-08-01,6,55,4,0,6,100
Malta,Gozo and Comino,Gozo,victoria_gozo,2022-09-01,5,46,3,0,4,68
Malta,Gozo and Comino,Gozo,victoria_gozo,2022-10-01,4,40,3,2,4,50
Malta,Gozo and Comino,Gozo,victoria_gozo,2022-11-01,2,31,2,0,4,32
Malta,Gozo and Comino,Gozo,victoria_gozo,2022-12-01,3,31,3,0,3,45
Malta,Gozo and Comino,Gozo,victoria_gozo,2023-01-01,8,45,4,0,3,69
Malta,Gozo and Comino,Gozo,victoria_gozo,2023-02-01,8,48,4,0,3,75
Malta,Gozo and Comino,Gozo,victoria_gozo,2023-03-01,7,45,4,2,4,60
Malta,Gozo and Comino,Gozo,victoria_gozo,2023-04-01,7,50,4,0,4,76
Malta,Gozo and Comino,Gozo,victoria_gozo,2023-05-01,6,54,4,2,4,88
Malta,Gozo and Comino,Gozo,victoria_gozo,2023-06-01,7,56,4,3,7,100
Malta,Gozo and Comino,Gozo,victoria_gozo,2023-07-01,8,66,4,2,6,100
Malta,Gozo and Comino,Gozo,victoria_gozo,2023-08-01,7,60,4,0,7,100
Malta,Gozo and Comino,Gozo,victoria_gozo,2023-09-01,6,52,4,2,7,100
Malta,Gozo and Comino,Gozo,victoria_gozo,2023-10-01,4,42,3,2,7,91
Malta,Gozo and Comino,Gozo,victoria_gozo,2023-11-01,4,37,3,0,4,52
Malta,Gozo and Comino,Gozo,victoria_gozo,2023-12-01,3,35,2,0,3,51
Malta,Gozo and Comino,Gozo,victoria_gozo,2024-01-01,6,54,6,0,3,81
Malta,Gozo and Comino,Gozo,victoria_gozo,2024-02-01,7,55,4,0,5,85
Malta,Gozo and Comino,Gozo,victoria_gozo,2024-03-01,5,56,3,0,5,68
Malta,Gozo and Comino,Gozo,victoria_gozo,2024-04-01,7,54,3,2,5,100
Malta,Gozo and Comino,Gozo,victoria_gozo,2024-05-01,6,55,4,0,4,100
Malta,Gozo and Comino,Gozo,victoria_gozo,2024-06-01,8,65,4,2,6,100
Malta,Gozo and Comino,Gozo,victoria_gozo,2024-07-01,7,69,4,0,6,100
Malta,Gozo and Comino,Gozo,victoria_gozo,2024-08-01,6,63,5,0,7,100
Malta,Gozo and Comino,Gozo,victoria_gozo,2024-09-01,6,56,3,0,5,90
Malta,Gozo and Comino,Gozo,victoria_gozo,2024-10-01,3,48,3,3,4,74
Malta,Gozo and Comino,Gozo,victoria_gozo,2024-11-01,0,37,2,0,3,81
Malta,Gozo and Comino,Gozo,victoria_gozo,2024-12-01,2,34,0,0,3,39
Malta,Gozo and Comino,Gozo,victoria_gozo,2025-01-01,6,47,5,0,4,58
Malta,Gozo and Comino,Gozo,victoria_gozo,2025-02-01,5,52,6,0,3,93
Malta,Gozo and Comino,Gozo,victoria_gozo,2025-03-01,6,52,3,2,7,84
Malta,Gozo and Comino,Gozo,victoria_gozo,2025-04-01,5,55,4,0,5,80
Malta,Gozo and Comino,Gozo,victoria_gozo,2025-05-01,6,56,3,0,4,100
Malta,Gozo and Comino,Gozo,victoria_gozo,2025-06-01,7,63,4,2,5,100
