country,region,county,city,date,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
Croatia,Grad Zagreb,City of Zagreb,zagreb,2020-01-01,4,45,31,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2020-02-01,4,43,20,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2020-03-01,2,23,14,4,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2020-04-01,1,12,7,2,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2020-05-01,1,17,10,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2020-06-01,2,24,12,0,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2020-07-01,3,27,11,0,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2020-08-01,3,26,10,0,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2020-09-01,2,23,8,0,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2020-10-01,2,20,10,0,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2020-11-01,2,16,8,0,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2020-12-01,1,16,8,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2021-01-01,1,17,8,0,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2021-02-01,1,17,7,0,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2021-03-01,2,18,8,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2021-04-01,2,20,8,0,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2021-05-01,3,24,9,0,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2021-06-01,3,31,13,0,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2021-07-01,4,41,14,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2021-08-01,3,38,15,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2021-09-01,3,33,14,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2021-10-01,3,31,13,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2021-11-01,2,28,12,0,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2021-12-01,3,30,11,0,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2022-01-01,3,29,15,0,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2022-02-01,5,32,19,0,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2022-03-01,5,32,19,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2022-04-01,6,36,23,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2022-05-01,6,39,24,0,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2022-06-01,5,41,25,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2022-07-01,6,42,24,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2022-08-01,5,44,23,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2022-09-01,4,43,20,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2022-10-01,5,38,18,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2022-11-01,5,39,16,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2022-12-01,4,41,18,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2023-01-01,5,35,25,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2023-02-01,5,36,23,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2023-03-01,5,36,23,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2023-04-01,5,43,23,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2023-05-01,5,40,23,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2023-06-01,5,45,23,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2023-07-01,5,45,23,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2023-08-01,4,44,22,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2023-09-01,4,46,20,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2023-10-01,4,44,18,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2023-11-01,4,42,18,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2023-12-01,4,47,17,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2024-01-01,4,37,23,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2024-02-01,4,39,24,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2024-03-01,4,41,24,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2024-04-01,4,44,22,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2024-05-01,5,46,22,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2024-06-01,4,44,22,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2024-07-01,4,46,23,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2024-08-01,5,45,25,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2024-09-01,3,47,24,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2024-10-01,3,42,20,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2024-11-01,3,40,18,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2024-12-01,3,43,17,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2025-01-01,3,35,22,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2025-02-01,4,35,22,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2025-03-01,3,36,21,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2025-04-01,5,38,20,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2025-05-01,4,39,20,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2025-06-01,4,40,22,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2025-07-01,4,46,27,1,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2025-08-01,8,84,84,3,1,4
Croatia,Grad Zagreb,City of Zagreb,zagreb,2025-09-01,7,92,100,2,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2025-10-01,6,64,80,2,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2025-11-01,7,73,74,2,1,2
Croatia,Grad Zagreb,City of Zagreb,zagreb,2025-12-01,6,71,55,3,1,2
Croatia,Grad Zagreb,City of Zagreb,zagreb,2026-01-01,5,54,46,2,1,2
Croatia,Grad Zagreb,City of Zagreb,zagreb,2026-02-01,5,57,56,2,0,0
Croatia,Grad Zagreb,City of Zagreb,zagreb,2026-03-01,5,56,50,2,0,0
