date,country,city,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
2020-01-01,Spain,andalusia,0,2,10,86,1,8
2020-02-01,Spain,andalusia,0,2,6,92,2,13
2020-03-01,Spain,andalusia,0,1,8,58,1,10
2020-04-01,Spain,andalusia,0,0,2,36,0,12
2020-05-01,Spain,andalusia,0,0,2,40,0,2
2020-06-01,Spain,andalusia,0,0,2,59,0,1
2020-07-01,Spain,andalusia,0,1,3,65,0,1
2020-08-01,Spain,andalusia,0,1,2,80,0,1
2020-09-01,Spain,andalusia,0,1,2,65,0,1
2020-10-01,Spain,andalusia,0,1,2,58,0,1
2020-11-01,Spain,andalusia,0,0,2,40,0,1
2020-12-01,Spain,andalusia,0,0,1,46,0,1
2021-01-01,Spain,andalusia,0,0,1,38,0,1
2021-02-01,Spain,andalusia,0,0,1,45,0,2
2021-03-01,Spain,andalusia,0,0,1,45,0,3
2021-04-01,Spain,andalusia,0,0,1,47,0,9
2021-05-01,Spain,andalusia,0,1,2,66,0,2
2021-06-01,Spain,andalusia,0,1,3,78,0,1
2021-07-01,Spain,andalusia,0,1,3,83,1,1
2021-08-01,Spain,andalusia,0,2,4,99,1,1
2021-09-01,Spain,andalusia,0,2,4,86,1,2
2021-10-01,Spain,andalusia,0,2,4,84,1,2
2021-11-01,Spain,andalusia,0,2,3,77,1,2
2021-12-01,Spain,andalusia,0,1,3,70,1,2
2022-01-01,Spain,andalusia,0,1,3,75,1,5
2022-02-01,Spain,andalusia,0,2,5,88,1,10
2022-03-01,Spain,andalusia,0,2,4,80,2,18
2022-04-01,Spain,andalusia,0,2,4,96,2,63
2022-05-01,Spain,andalusia,0,3,5,85,2,33
2022-06-01,Spain,andalusia,0,2,6,81,2,2
2022-07-01,Spain,andalusia,0,2,7,84,2,2
2022-08-01,Spain,andalusia,0,2,5,91,1,2
2022-09-01,Spain,andalusia,0,2,5,82,2,2
2022-10-01,Spain,andalusia,0,2,5,88,2,2
2022-11-01,Spain,andalusia,0,2,4,81,1,3
2022-12-01,Spain,andalusia,0,1,3,73,1,3
2023-01-01,Spain,andalusia,0,1,4,77,1,8
2023-02-01,Spain,andalusia,0,2,5,78,1,13
2023-03-01,Spain,andalusia,0,2,5,86,2,21
2023-04-01,Spain,andalusia,0,2,5,100,2,100
2023-05-01,Spain,andalusia,0,2,5,73,2,10
2023-06-01,Spain,andalusia,0,2,5,84,2,2
2023-07-01,Spain,andalusia,0,2,6,80,2,2
2023-08-01,Spain,andalusia,0,2,7,87,2,3
2023-09-01,Spain,andalusia,0,2,5,90,2,3
2023-10-01,Spain,andalusia,0,3,5,95,3,3
2023-11-01,Spain,andalusia,0,2,4,82,2,3
2023-12-01,Spain,andalusia,0,2,4,85,1,4
2024-01-01,Spain,andalusia,0,2,5,79,1,10
2024-02-01,Spain,andalusia,0,2,5,86,2,15
2024-03-01,Spain,andalusia,0,2,5,91,3,22
2024-04-01,Spain,andalusia,0,2,5,88,3,81
2024-05-01,Spain,andalusia,0,2,5,79,3,14
2024-06-01,Spain,andalusia,0,2,5,77,2,2
2024-07-01,Spain,andalusia,0,2,6,78,1,2
2024-08-01,Spain,andalusia,0,2,6,84,2,2
2024-09-01,Spain,andalusia,0,2,6,97,3,3
2024-10-01,Spain,andalusia,0,2,5,88,3,3
2024-11-01,Spain,andalusia,0,2,5,76,2,3
2024-12-01,Spain,andalusia,0,1,4,73,2,4
2025-01-01,Spain,andalusia,0,2,5,73,1,9
2025-02-01,Spain,andalusia,0,2,5,81,2,11
2025-03-01,Spain,andalusia,0,2,5,78,2,21
2025-04-01,Spain,andalusia,0,2,5,91,3,52
2025-05-01,Spain,andalusia,0,2,4,76,2,36
2025-06-01,Spain,andalusia,0,3,5,71,2,2
2025-07-01,Spain,andalusia,0,2,6,75,2,2
2025-08-01,Spain,andalusia,0,3,6,89,2,2
2025-09-01,Spain,andalusia,0,3,5,85,3,3
2025-10-01,Spain,andalusia,0,3,5,82,3,3
2025-11-01,Spain,andalusia,0,2,7,80,3,4
2025-12-01,Spain,andalusia,0,2,6,71,2,4
2026-01-01,Spain,andalusia,0,2,6,70,2,11
2026-02-01,Spain,andalusia,0,2,6,76,2,14
2026-03-01,Spain,andalusia,0,3,7,82,3,24
