date,country,city,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
2020-01-01,Spain,balearics,1,11,1,74,13,22
2020-02-01,Spain,balearics,1,12,1,72,16,31
2020-03-01,Spain,balearics,0,7,1,54,11,17
2020-04-01,Spain,balearics,0,2,0,38,12,12
2020-05-01,Spain,balearics,1,4,0,56,24,15
2020-06-01,Spain,balearics,2,9,0,67,44,11
2020-07-01,Spain,balearics,2,17,0,77,71,17
2020-08-01,Spain,balearics,2,18,0,82,96,21
2020-09-01,Spain,balearics,1,9,0,73,52,20
2020-10-01,Spain,balearics,0,6,0,62,17,13
2020-11-01,Spain,balearics,0,4,0,54,10,10
2020-12-01,Spain,balearics,0,4,0,58,11,8
2021-01-01,Spain,balearics,0,3,0,54,11,8
2021-02-01,Spain,balearics,0,5,0,55,13,12
2021-03-01,Spain,balearics,1,7,0,58,18,9
2021-04-01,Spain,balearics,1,8,0,59,23,15
2021-05-01,Spain,balearics,1,14,0,70,44,20
2021-06-01,Spain,balearics,2,25,0,85,72,24
2021-07-01,Spain,balearics,1,26,1,84,78,39
2021-08-01,Spain,balearics,1,26,0,88,89,46
2021-09-01,Spain,balearics,1,15,1,93,51,41
2021-10-01,Spain,balearics,1,12,0,77,27,57
2021-11-01,Spain,balearics,0,7,0,69,13,16
2021-12-01,Spain,balearics,0,7,0,58,16,8
2022-01-01,Spain,balearics,1,9,0,64,20,22
2022-02-01,Spain,balearics,1,12,0,71,23,31
2022-03-01,Spain,balearics,1,14,1,82,27,30
2022-04-01,Spain,balearics,2,20,1,90,37,54
2022-05-01,Spain,balearics,2,23,1,87,49,63
2022-06-01,Spain,balearics,2,28,1,97,65,74
2022-07-01,Spain,balearics,2,26,1,98,68,100
2022-08-01,Spain,balearics,2,24,1,100,76,81
2022-09-01,Spain,balearics,1,18,1,92,49,55
2022-10-01,Spain,balearics,1,11,1,75,25,81
2022-11-01,Spain,balearics,1,8,0,63,13,23
2022-12-01,Spain,balearics,0,7,0,59,12,16
2023-01-01,Spain,balearics,1,10,0,68,15,17
2023-02-01,Spain,balearics,1,12,1,70,17,23
2023-03-01,Spain,balearics,1,15,1,73,23,35
2023-04-01,Spain,balearics,2,18,1,81,33,59
2023-05-01,Spain,balearics,1,19,1,86,47,72
2023-06-01,Spain,balearics,2,23,1,84,61,65
2023-07-01,Spain,balearics,2,25,1,88,73,80
2023-08-01,Spain,balearics,1,23,1,92,71,84
2023-09-01,Spain,balearics,1,14,1,81,48,53
2023-10-01,Spain,balearics,1,13,1,70,24,44
2023-11-01,Spain,balearics,1,9,0,59,13,49
2023-12-01,Spain,balearics,1,8,0,59,12,15
2024-01-01,Spain,balearics,1,10,1,60,14,24
2024-02-01,Spain,balearics,1,13,1,58,17,30
2024-03-01,Spain,balearics,1,13,1,64,22,27
2024-04-01,Spain,balearics,2,15,1,66,29,38
2024-05-01,Spain,balearics,1,16,1,72,42,66
2024-06-01,Spain,balearics,1,19,1,70,55,60
2024-07-01,Spain,balearics,1,19,1,69,64,54
2024-08-01,Spain,balearics,1,19,1,78,76,62
2024-09-01,Spain,balearics,1,14,1,68,41,61
2024-10-01,Spain,balearics,0,10,1,61,22,31
2024-11-01,Spain,balearics,0,7,0,52,11,37
2024-12-01,Spain,balearics,0,6,0,49,12,14
2025-01-01,Spain,balearics,1,9,0,53,13,14
2025-02-01,Spain,balearics,1,11,1,56,15,23
2025-03-01,Spain,balearics,1,12,1,58,17,25
2025-04-01,Spain,balearics,1,12,1,63,27,48
2025-05-01,Spain,balearics,1,13,1,60,40,49
2025-06-01,Spain,balearics,1,16,1,62,50,52
2025-07-01,Spain,balearics,1,17,1,76,59,71
2025-08-01,Spain,balearics,1,15,1,76,63,46
2025-09-01,Spain,balearics,1,13,1,67,40,67
2025-10-01,Spain,balearics,1,12,1,61,22,29
2025-11-01,Spain,balearics,1,7,1,54,12,17
2025-12-01,Spain,balearics,1,6,1,50,10,12
2026-01-01,Spain,balearics,1,8,1,54,13,22
2026-02-01,Spain,balearics,1,10,1,68,15,25
2026-03-01,Spain,balearics,1,12,1,64,19,31
