date,country,city,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
2020-01-01,Spain,barcelona,4,54,12,48,6,29
2020-02-01,Spain,barcelona,4,58,6,50,7,50
2020-03-01,Spain,barcelona,2,27,5,36,3,22
2020-04-01,Spain,barcelona,1,10,1,25,0,10
2020-05-01,Spain,barcelona,2,12,2,31,1,10
2020-06-01,Spain,barcelona,3,23,2,36,2,12
2020-07-01,Spain,barcelona,3,32,2,28,2,12
2020-08-01,Spain,barcelona,3,33,2,30,2,7
2020-09-01,Spain,barcelona,2,28,2,40,2,11
2020-10-01,Spain,barcelona,2,24,2,34,2,12
2020-11-01,Spain,barcelona,1,18,1,29,1,7
2020-12-01,Spain,barcelona,1,23,1,30,1,5
2021-01-01,Spain,barcelona,1,19,1,23,1,5
2021-02-01,Spain,barcelona,2,24,1,30,1,7
2021-03-01,Spain,barcelona,2,27,1,30,1,8
2021-04-01,Spain,barcelona,2,25,1,29,1,14
2021-05-01,Spain,barcelona,3,38,2,34,2,19
2021-06-01,Spain,barcelona,4,46,2,38,3,23
2021-07-01,Spain,barcelona,4,54,3,41,6,24
2021-08-01,Spain,barcelona,3,68,3,46,8,14
2021-09-01,Spain,barcelona,3,52,3,55,6,17
2021-10-01,Spain,barcelona,3,51,4,51,7,26
2021-11-01,Spain,barcelona,3,45,3,51,6,31
2021-12-01,Spain,barcelona,3,43,3,72,6,16
2022-01-01,Spain,barcelona,4,43,3,44,4,17
2022-02-01,Spain,barcelona,5,59,5,48,6,33
2022-03-01,Spain,barcelona,5,55,5,50,7,37
2022-04-01,Spain,barcelona,5,62,5,59,10,46
2022-05-01,Spain,barcelona,6,64,5,58,10,56
2022-06-01,Spain,barcelona,5,67,7,59,11,79
2022-07-01,Spain,barcelona,6,67,7,59,13,100
2022-08-01,Spain,barcelona,5,67,5,64,13,39
2022-09-01,Spain,barcelona,5,58,6,63,10,37
2022-10-01,Spain,barcelona,4,51,6,100,10,35
2022-11-01,Spain,barcelona,4,49,5,68,7,26
2022-12-01,Spain,barcelona,3,45,4,64,6,26
2023-01-01,Spain,barcelona,5,52,6,55,6,27
2023-02-01,Spain,barcelona,6,53,5,57,8,39
2023-03-01,Spain,barcelona,6,58,6,57,9,46
2023-04-01,Spain,barcelona,5,64,6,69,13,53
2023-05-01,Spain,barcelona,5,57,6,66,12,61
2023-06-01,Spain,barcelona,5,58,6,59,12,76
2023-07-01,Spain,barcelona,5,62,7,62,14,75
2023-08-01,Spain,barcelona,4,58,6,64,15,36
2023-09-01,Spain,barcelona,4,53,6,67,13,46
2023-10-01,Spain,barcelona,4,53,6,63,12,42
2023-11-01,Spain,barcelona,3,48,5,71,10,30
2023-12-01,Spain,barcelona,3,46,4,70,9,30
2024-01-01,Spain,barcelona,4,46,7,53,7,28
2024-02-01,Spain,barcelona,4,49,7,54,9,42
2024-03-01,Spain,barcelona,4,48,7,63,11,45
2024-04-01,Spain,barcelona,5,53,6,63,12,47
2024-05-01,Spain,barcelona,4,51,7,60,13,57
2024-06-01,Spain,barcelona,4,51,7,57,12,85
2024-07-01,Spain,barcelona,4,53,7,57,13,69
2024-08-01,Spain,barcelona,4,53,7,58,13,39
2024-09-01,Spain,barcelona,4,49,8,62,12,38
2024-10-01,Spain,barcelona,4,44,7,55,11,41
2024-11-01,Spain,barcelona,3,39,6,47,8,34
2024-12-01,Spain,barcelona,3,38,5,52,6,24
2025-01-01,Spain,barcelona,4,41,7,42,6,25
2025-02-01,Spain,barcelona,4,43,7,47,7,39
2025-03-01,Spain,barcelona,3,40,7,45,8,39
2025-04-01,Spain,barcelona,4,42,7,51,10,42
2025-05-01,Spain,barcelona,4,43,6,50,10,51
2025-06-01,Spain,barcelona,4,43,7,50,11,61
2025-07-01,Spain,barcelona,4,49,7,52,12,57
2025-08-01,Spain,barcelona,4,47,7,59,12,34
2025-09-01,Spain,barcelona,3,46,7,57,10,35
2025-10-01,Spain,barcelona,3,45,7,54,11,40
2025-11-01,Spain,barcelona,3,44,13,53,8,33
2025-12-01,Spain,barcelona,3,43,10,56,6,27
2026-01-01,Spain,barcelona,3,42,10,47,5,22
2026-02-01,Spain,barcelona,4,42,10,56,8,33
2026-03-01,Spain,barcelona,4,47,13,63,10,39
