date,country,city,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
2020-01-01,Spain,canary,1,9,2,0,68,0
2020-02-01,Spain,canary,1,11,1,0,80,0
2020-03-01,Spain,canary,0,4,1,0,52,0
2020-04-01,Spain,canary,0,1,0,0,31,80
2020-05-01,Spain,canary,0,2,0,0,42,0
2020-06-01,Spain,canary,1,5,0,0,54,0
2020-07-01,Spain,canary,1,7,0,0,63,0
2020-08-01,Spain,canary,1,8,0,0,73,0
2020-09-01,Spain,canary,0,6,0,0,56,0
2020-10-01,Spain,canary,0,4,0,0,54,0
2020-11-01,Spain,canary,0,3,0,0,51,0
2020-12-01,Spain,canary,0,3,0,0,52,0
2021-01-01,Spain,canary,0,3,0,0,55,0
2021-02-01,Spain,canary,0,4,0,0,53,0
2021-03-01,Spain,canary,0,5,0,0,51,0
2021-04-01,Spain,canary,0,5,0,0,56,0
2021-05-01,Spain,canary,1,7,0,0,60,0
2021-06-01,Spain,canary,1,11,0,0,66,0
2021-07-01,Spain,canary,1,11,0,0,81,0
2021-08-01,Spain,canary,1,11,0,0,82,0
2021-09-01,Spain,canary,0,8,0,1,82,0
2021-10-01,Spain,canary,0,6,0,0,72,0
2021-11-01,Spain,canary,0,7,0,0,70,0
2021-12-01,Spain,canary,0,6,0,0,71,0
2022-01-01,Spain,canary,1,7,0,0,83,0
2022-02-01,Spain,canary,1,8,1,0,82,0
2022-03-01,Spain,canary,1,9,0,0,82,0
2022-04-01,Spain,canary,1,9,0,0,83,0
2022-05-01,Spain,canary,1,10,0,0,78,0
2022-06-01,Spain,canary,1,11,1,0,84,0
2022-07-01,Spain,canary,1,12,1,0,100,0
2022-08-01,Spain,canary,1,11,0,0,90,0
2022-09-01,Spain,canary,0,9,1,0,87,0
2022-10-01,Spain,canary,0,7,0,0,74,0
2022-11-01,Spain,canary,1,6,0,0,74,0
2022-12-01,Spain,canary,1,6,1,0,79,0
2023-01-01,Spain,canary,1,8,1,0,81,94
2023-02-01,Spain,canary,1,7,1,0,84,0
2023-03-01,Spain,canary,1,8,1,0,80,0
2023-04-01,Spain,canary,1,9,1,0,84,0
2023-05-01,Spain,canary,0,8,0,0,82,0
2023-06-01,Spain,canary,1,9,1,0,85,0
2023-07-01,Spain,canary,1,10,0,0,98,0
2023-08-01,Spain,canary,1,9,1,0,92,0
2023-09-01,Spain,canary,0,6,0,0,76,0
2023-10-01,Spain,canary,0,7,0,0,81,0
2023-11-01,Spain,canary,1,7,0,0,77,0
2023-12-01,Spain,canary,0,5,0,0,82,0
2024-01-01,Spain,canary,1,8,1,0,85,0
2024-02-01,Spain,canary,1,7,1,0,82,0
2024-03-01,Spain,canary,1,7,1,0,80,0
2024-04-01,Spain,canary,1,7,0,0,75,0
2024-05-01,Spain,canary,0,7,0,0,74,0
2024-06-01,Spain,canary,0,8,0,0,78,0
2024-07-01,Spain,canary,0,8,0,0,82,0
2024-08-01,Spain,canary,0,9,0,0,87,0
2024-09-01,Spain,canary,0,7,0,0,83,0
2024-10-01,Spain,canary,0,5,0,0,75,0
2024-11-01,Spain,canary,0,5,0,0,79,0
2024-12-01,Spain,canary,0,5,0,0,78,0
2025-01-01,Spain,canary,1,6,1,0,77,0
2025-02-01,Spain,canary,0,6,0,0,81,0
2025-03-01,Spain,canary,0,7,0,0,85,0
2025-04-01,Spain,canary,0,6,0,0,85,0
2025-05-01,Spain,canary,0,6,0,0,78,0
2025-06-01,Spain,canary,0,7,0,0,76,0
2025-07-01,Spain,canary,0,7,0,0,94,0
2025-08-01,Spain,canary,0,7,0,0,86,0
2025-09-01,Spain,canary,0,5,0,0,80,0
2025-10-01,Spain,canary,0,5,0,0,77,0
2025-11-01,Spain,canary,0,5,1,0,83,0
2025-12-01,Spain,canary,0,5,1,0,82,0
2026-01-01,Spain,canary,0,6,1,0,83,0
2026-02-01,Spain,canary,0,6,1,0,86,100
2026-03-01,Spain,canary,0,6,1,0,97,0
