date,country,city,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
2020-01-01,Spain,madrid,8,91,14,1,1,28
2020-02-01,Spain,madrid,8,97,7,2,1,48
2020-03-01,Spain,madrid,3,39,4,1,0,15
2020-04-01,Spain,madrid,1,12,2,0,0,6
2020-05-01,Spain,madrid,3,21,2,0,0,5
2020-06-01,Spain,madrid,5,36,2,0,0,7
2020-07-01,Spain,madrid,5,45,2,0,1,7
2020-08-01,Spain,madrid,4,45,2,0,1,5
2020-09-01,Spain,madrid,3,39,1,0,0,6
2020-10-01,Spain,madrid,2,30,1,0,0,7
2020-11-01,Spain,madrid,3,31,1,0,0,8
2020-12-01,Spain,madrid,3,37,1,0,0,4
2021-01-01,Spain,madrid,3,35,1,0,0,4
2021-02-01,Spain,madrid,3,39,1,0,0,7
2021-03-01,Spain,madrid,4,40,1,0,0,5
2021-04-01,Spain,madrid,3,44,1,0,0,8
2021-05-01,Spain,madrid,5,59,2,0,1,13
2021-06-01,Spain,madrid,6,83,2,1,1,14
2021-07-01,Spain,madrid,5,75,3,1,1,11
2021-08-01,Spain,madrid,5,77,2,1,1,9
2021-09-01,Spain,madrid,6,91,3,1,1,14
2021-10-01,Spain,madrid,7,100,4,2,1,33
2021-11-01,Spain,madrid,8,98,3,2,1,18
2021-12-01,Spain,madrid,5,80,3,1,1,16
2022-01-01,Spain,madrid,7,83,3,1,1,17
2022-02-01,Spain,madrid,9,97,5,1,1,26
2022-03-01,Spain,madrid,9,96,5,2,1,30
2022-04-01,Spain,madrid,8,95,5,2,1,48
2022-05-01,Spain,madrid,9,96,5,2,1,41
2022-06-01,Spain,madrid,8,96,5,2,1,58
2022-07-01,Spain,madrid,7,89,6,2,1,100
2022-08-01,Spain,madrid,7,90,4,2,1,29
2022-09-01,Spain,madrid,8,95,5,2,1,29
2022-10-01,Spain,madrid,9,100,5,2,1,21
2022-11-01,Spain,madrid,9,99,5,2,1,22
2022-12-01,Spain,madrid,6,81,4,1,1,17
2023-01-01,Spain,madrid,9,92,6,2,1,21
2023-02-01,Spain,madrid,9,92,5,2,1,30
2023-03-01,Spain,madrid,9,81,6,2,1,30
2023-04-01,Spain,madrid,9,92,5,2,2,36
2023-05-01,Spain,madrid,7,82,5,2,1,43
2023-06-01,Spain,madrid,9,88,5,2,2,64
2023-07-01,Spain,madrid,7,88,6,2,2,76
2023-08-01,Spain,madrid,7,80,5,2,1,25
2023-09-01,Spain,madrid,8,88,6,3,2,37
2023-10-01,Spain,madrid,9,88,6,3,1,43
2023-11-01,Spain,madrid,9,93,6,2,1,21
2023-12-01,Spain,madrid,7,84,5,2,1,18
2024-01-01,Spain,madrid,8,85,7,2,1,18
2024-02-01,Spain,madrid,8,87,8,2,1,28
2024-03-01,Spain,madrid,7,80,7,3,2,25
2024-04-01,Spain,madrid,8,84,7,3,2,30
2024-05-01,Spain,madrid,8,86,7,3,2,39
2024-06-01,Spain,madrid,7,81,7,3,2,52
2024-07-01,Spain,madrid,7,78,7,2,1,39
2024-08-01,Spain,madrid,6,79,7,2,1,25
2024-09-01,Spain,madrid,7,87,8,3,1,34
2024-10-01,Spain,madrid,8,82,8,3,1,25
2024-11-01,Spain,madrid,7,82,6,2,1,21
2024-12-01,Spain,madrid,6,65,6,2,1,15
2025-01-01,Spain,madrid,7,72,8,2,1,17
2025-02-01,Spain,madrid,7,72,8,2,1,28
2025-03-01,Spain,madrid,7,69,8,3,1,21
2025-04-01,Spain,madrid,6,69,7,3,1,26
2025-05-01,Spain,madrid,6,65,7,3,2,35
2025-06-01,Spain,madrid,6,66,6,3,2,41
2025-07-01,Spain,madrid,6,66,6,2,1,31
2025-08-01,Spain,madrid,6,70,7,2,2,19
2025-09-01,Spain,madrid,7,78,8,3,1,35
2025-10-01,Spain,madrid,6,79,8,3,1,21
2025-11-01,Spain,madrid,6,80,16,2,1,21
2025-12-01,Spain,madrid,5,70,13,2,1,15
2026-01-01,Spain,madrid,7,70,12,2,1,19
2026-02-01,Spain,madrid,6,72,12,2,1,28
2026-03-01,Spain,madrid,7,74,14,2,1,31
