date,country,city,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3
2020-01-01,Spain,valencia,6,63,10,0,0,7
2020-02-01,Spain,valencia,6,72,4,0,1,23
2020-03-01,Spain,valencia,3,42,2,0,0,88
2020-04-01,Spain,valencia,1,9,1,0,0,5
2020-05-01,Spain,valencia,3,14,1,0,0,4
2020-06-01,Spain,valencia,6,33,2,0,0,3
2020-07-01,Spain,valencia,7,57,1,0,0,2
2020-08-01,Spain,valencia,6,67,1,0,0,2
2020-09-01,Spain,valencia,4,39,1,0,0,2
2020-10-01,Spain,valencia,3,35,1,0,0,3
2020-11-01,Spain,valencia,2,25,1,0,0,3
2020-12-01,Spain,valencia,2,27,1,0,0,2
2021-01-01,Spain,valencia,2,21,1,0,0,4
2021-02-01,Spain,valencia,2,25,1,0,0,4
2021-03-01,Spain,valencia,3,33,1,0,0,9
2021-04-01,Spain,valencia,3,37,1,0,0,2
2021-05-01,Spain,valencia,6,62,1,0,0,6
2021-06-01,Spain,valencia,9,83,2,0,0,4
2021-07-01,Spain,valencia,8,90,2,0,0,3
2021-08-01,Spain,valencia,7,100,2,0,0,22
2021-09-01,Spain,valencia,5,65,2,0,0,26
2021-10-01,Spain,valencia,5,68,2,0,0,5
2021-11-01,Spain,valencia,5,53,2,0,0,4
2021-12-01,Spain,valencia,4,44,2,0,0,3
2022-01-01,Spain,valencia,6,51,2,0,0,7
2022-02-01,Spain,valencia,8,86,3,0,0,24
2022-03-01,Spain,valencia,9,76,3,0,0,63
2022-04-01,Spain,valencia,9,79,3,0,1,5
2022-05-01,Spain,valencia,9,79,4,0,0,5
2022-06-01,Spain,valencia,10,85,4,1,1,5
2022-07-01,Spain,valencia,10,95,4,0,1,3
2022-08-01,Spain,valencia,8,92,3,0,1,3
2022-09-01,Spain,valencia,7,75,4,0,1,4
2022-10-01,Spain,valencia,6,65,3,0,1,5
2022-11-01,Spain,valencia,5,60,3,0,0,5
2022-12-01,Spain,valencia,5,53,2,0,0,4
2023-01-01,Spain,valencia,7,70,4,0,0,9
2023-02-01,Spain,valencia,9,74,4,0,1,26
2023-03-01,Spain,valencia,10,77,4,0,1,84
2023-04-01,Spain,valencia,9,80,4,0,1,5
2023-05-01,Spain,valencia,8,65,4,1,1,4
2023-06-01,Spain,valencia,10,82,3,1,1,5
2023-07-01,Spain,valencia,10,82,3,1,1,3
2023-08-01,Spain,valencia,9,84,4,1,1,3
2023-09-01,Spain,valencia,7,67,3,1,1,4
2023-10-01,Spain,valencia,7,60,4,1,1,6
2023-11-01,Spain,valencia,5,57,3,0,1,5
2023-12-01,Spain,valencia,5,60,3,0,0,5
2024-01-01,Spain,valencia,6,59,4,0,0,12
2024-02-01,Spain,valencia,8,74,5,0,1,30
2024-03-01,Spain,valencia,8,69,4,1,1,87
2024-04-01,Spain,valencia,7,63,4,0,1,6
2024-05-01,Spain,valencia,7,65,4,1,1,4
2024-06-01,Spain,valencia,8,75,4,1,1,5
2024-07-01,Spain,valencia,8,79,5,1,1,3
2024-08-01,Spain,valencia,7,79,4,0,1,3
2024-09-01,Spain,valencia,5,63,5,1,1,5
2024-10-01,Spain,valencia,5,54,5,0,1,5
2024-11-01,Spain,valencia,4,49,4,0,0,6
2024-12-01,Spain,valencia,3,39,3,0,0,5
2025-01-01,Spain,valencia,5,45,4,0,0,10
2025-02-01,Spain,valencia,5,50,5,0,0,29
2025-03-01,Spain,valencia,5,48,4,0,1,76
2025-04-01,Spain,valencia,6,55,5,0,1,5
2025-05-01,Spain,valencia,5,53,4,1,1,4
2025-06-01,Spain,valencia,6,53,5,1,1,5
2025-07-01,Spain,valencia,6,57,5,1,1,3
2025-08-01,Spain,valencia,6,60,4,1,1,3
2025-09-01,Spain,valencia,5,54,5,0,1,5
2025-10-01,Spain,valencia,5,46,4,0,1,6
2025-11-01,Spain,valencia,4,49,9,1,1,6
2025-12-01,Spain,valencia,4,44,7,0,1,5
2026-01-01,Spain,valencia,4,42,6,1,0,12
2026-02-01,Spain,valencia,5,49,7,1,1,32
2026-03-01,Spain,valencia,6,60,8,1,2,100
