geo,date,article,wiki_pageviews
IT,2015-07,Italy,335174
IT,2015-08,Italy,307396
IT,2015-09,Italy,364959
IT,2015-10,Italy,340113
IT,2015-11,Italy,344236
IT,2015-12,Italy,302054
IT,2016-01,Italy,316190
IT,2016-02,Italy,316483
IT,2016-03,Italy,340752
IT,2016-04,Italy,572075
IT,2016-05,Italy,363220
IT,2016-06,Italy,382033
IT,2016-07,Italy,330948
IT,2016-08,Italy,323748
IT,2016-09,Italy,300218
IT,2016-10,Italy,326543
IT,2016-11,Italy,335495
IT,2016-12,Italy,349759
IT,2017-01,Italy,355024
IT,2017-02,Italy,330311
IT,2017-03,Italy,375874
IT,2017-04,Italy,353329
IT,2017-05,Italy,401790
IT,2017-06,Italy,404787
IT,2017-07,Italy,329363
IT,2017-08,Italy,317169
IT,2017-09,Italy,353285
IT,2017-10,Italy,355205
IT,2017-11,Italy,341721
IT,2017-12,Italy,297409
IT,2018-01,Italy,334276
IT,2018-02,Italy,330572
IT,2018-03,Italy,386173
IT,2018-04,Italy,352210
IT,2018-05,Italy,408929
IT,2018-06,Italy,399808
IT,2018-07,Italy,390132
IT,2018-08,Italy,357666
IT,2018-09,Italy,342557
IT,2018-10,Italy,342957
IT,2018-11,Italy,327220
IT,2018-12,Italy,311087
IT,2019-01,Italy,341722
IT,2019-02,Italy,324901
IT,2019-03,Italy,346272
IT,2019-04,Italy,329382
IT,2019-05,Italy,334057
IT,2019-06,Italy,313600
IT,2019-07,Italy,327022
IT,2019-08,Italy,353918
IT,2019-09,Italy,343194
IT,2019-10,Italy,360767
IT,2019-11,Italy,383628
IT,2019-12,Italy,339226
IT,2020-01,Italy,347675
IT,2020-02,Italy,347690
IT,2020-03,Italy,1526421
IT,2020-04,Italy,647208
IT,2020-05,Italy,400902
IT,2020-06,Italy,302801
IT,2020-07,Italy,302850
IT,2020-08,Italy,299047
IT,2020-09,Italy,323784
IT,2020-10,Italy,322402
IT,2020-11,Italy,311166
IT,2020-12,Italy,318804
IT,2021-01,Italy,338267
IT,2021-02,Italy,337680
IT,2021-03,Italy,383029
IT,2021-04,Italy,359820
IT,2021-05,Italy,383494
IT,2021-06,Italy,411545
IT,2021-07,Italy,512725
IT,2021-08,Italy,416465
IT,2021-09,Italy,447773
IT,2021-10,Italy,403188
IT,2021-11,Italy,388600
IT,2021-12,Italy,422405
IT,2022-01,Italy,427075
IT,2022-02,Italy,446183
IT,2022-03,Italy,471517
IT,2022-04,Italy,453402
IT,2022-05,Italy,471966
IT,2022-06,Italy,431583
IT,2022-07,Italy,488830
IT,2022-08,Italy,531386
IT,2022-09,Italy,635677
IT,2022-10,Italy,576067
IT,2022-11,Italy,537017
IT,2022-12,Italy,510231
IT,2023-01,Italy,470579
IT,2023-02,Italy,436106
IT,2023-03,Italy,530189
IT,2023-04,Italy,438742
IT,2023-05,Italy,541870
IT,2023-06,Italy,516954
IT,2023-07,Italy,525688
IT,2023-08,Italy,461301
IT,2023-09,Italy,491277
IT,2023-10,Italy,447861
IT,2023-11,Italy,414762
IT,2023-12,Italy,460178
IT,2024-01,Italy,560981
IT,2024-02,Italy,420378
IT,2024-03,Italy,1119481
IT,2024-04,Italy,449809
IT,2024-05,Italy,411873
IT,2024-06,Italy,397261
IT,2024-07,Italy,383988
IT,2024-08,Italy,381998
IT,2024-09,Italy,319650
IT,2024-10,Italy,320614
IT,2024-11,Italy,333580
IT,2024-12,Italy,10281
IT,2015-07,Rome,165328
IT,2015-08,Rome,159203
IT,2015-09,Rome,190841
IT,2015-10,Rome,181774
IT,2015-11,Rome,179998
IT,2015-12,Rome,162008
IT,2016-01,Rome,188016
IT,2016-02,Rome,184506
IT,2016-03,Rome,187394
IT,2016-04,Rome,284810
IT,2016-05,Rome,194004
IT,2016-06,Rome,192055
IT,2016-07,Rome,159771
IT,2016-08,Rome,167201
IT,2016-09,Rome,181377
IT,2016-10,Rome,188698
IT,2016-11,Rome,177103
IT,2016-12,Rome,175380
IT,2017-01,Rome,189861
IT,2017-02,Rome,173496
IT,2017-03,Rome,189081
IT,2017-04,Rome,178620
IT,2017-05,Rome,192964
IT,2017-06,Rome,162485
IT,2017-07,Rome,155846
IT,2017-08,Rome,157191
IT,2017-09,Rome,168490
IT,2017-10,Rome,172925
IT,2017-11,Rome,161313
IT,2017-12,Rome,147635
IT,2018-01,Rome,162782
IT,2018-02,Rome,157484
IT,2018-03,Rome,177271
IT,2018-04,Rome,179299
IT,2018-05,Rome,182783
IT,2018-06,Rome,160207
IT,2018-07,Rome,160483
IT,2018-08,Rome,161808
IT,2018-09,Rome,155287
IT,2018-10,Rome,171111
IT,2018-11,Rome,147064
IT,2018-12,Rome,136894
IT,2019-01,Rome,154754
IT,2019-02,Rome,146084
IT,2019-03,Rome,155140
IT,2019-04,Rome,326920
IT,2019-05,Rome,160515
IT,2019-06,Rome,141205
IT,2019-07,Rome,148782
IT,2019-08,Rome,146797
IT,2019-09,Rome,153235
IT,2019-10,Rome,165768
IT,2019-11,Rome,157678
IT,2019-12,Rome,153617
IT,2020-01,Rome,165617
IT,2020-02,Rome,161667
IT,2020-03,Rome,209123
IT,2020-04,Rome,184930
IT,2020-05,Rome,161479
IT,2020-06,Rome,129014
IT,2020-07,Rome,128495
IT,2020-08,Rome,130970
IT,2020-09,Rome,136504
IT,2020-10,Rome,160600
IT,2020-11,Rome,164433
IT,2020-12,Rome,158636
IT,2021-01,Rome,169250
IT,2021-02,Rome,140423
IT,2021-03,Rome,158138
IT,2021-04,Rome,154203
IT,2021-05,Rome,164907
IT,2021-06,Rome,184734
IT,2021-07,Rome,205197
IT,2021-08,Rome,180822
IT,2021-09,Rome,183390
IT,2021-10,Rome,193323
IT,2021-11,Rome,179188
IT,2021-12,Rome,175033
IT,2022-01,Rome,189355
IT,2022-02,Rome,184748
IT,2022-03,Rome,187601
IT,2022-04,Rome,194373
IT,2022-05,Rome,206774
IT,2022-06,Rome,186908
IT,2022-07,Rome,191135
IT,2022-08,Rome,217559
IT,2022-09,Rome,232134
IT,2022-10,Rome,253336
IT,2022-11,Rome,231635
IT,2022-12,Rome,193009
IT,2023-01,Rome,574433
IT,2023-02,Rome,207961
IT,2023-03,Rome,257770
IT,2023-04,Rome,231046
IT,2023-05,Rome,254662
IT,2023-06,Rome,228847
IT,2023-07,Rome,235343
IT,2023-08,Rome,219632
IT,2023-09,Rome,230114
IT,2023-10,Rome,218032
IT,2023-11,Rome,201204
IT,2023-12,Rome,225953
IT,2024-01,Rome,289188
IT,2024-02,Rome,216702
IT,2024-03,Rome,224068
IT,2024-04,Rome,235361
IT,2024-05,Rome,205207
IT,2024-06,Rome,174292
IT,2024-07,Rome,187466
IT,2024-08,Rome,170590
IT,2024-09,Rome,177905
IT,2024-10,Rome,188391
IT,2024-11,Rome,179189
IT,2024-12,Rome,6046
IT,2015-07,Tourism_in_Italy,6185
IT,2015-08,Tourism_in_Italy,5476
IT,2015-09,Tourism_in_Italy,6174
IT,2015-10,Tourism_in_Italy,6550
IT,2015-11,Tourism_in_Italy,6624
IT,2015-12,Tourism_in_Italy,5708
IT,2016-01,Tourism_in_Italy,6535
IT,2016-02,Tourism_in_Italy,6945
IT,2016-03,Tourism_in_Italy,7378
IT,2016-04,Tourism_in_Italy,7161
IT,2016-05,Tourism_in_Italy,7629
IT,2016-06,Tourism_in_Italy,6221
IT,2016-07,Tourism_in_Italy,6110
IT,2016-08,Tourism_in_Italy,6145
IT,2016-09,Tourism_in_Italy,6571
IT,2016-10,Tourism_in_Italy,7269
IT,2016-11,Tourism_in_Italy,7473
IT,2016-12,Tourism_in_Italy,7166
IT,2017-01,Tourism_in_Italy,7342
IT,2017-02,Tourism_in_Italy,8299
IT,2017-03,Tourism_in_Italy,10064
IT,2017-04,Tourism_in_Italy,8855
IT,2017-05,Tourism_in_Italy,9270
IT,2017-06,Tourism_in_Italy,8125
IT,2017-07,Tourism_in_Italy,7516
IT,2017-08,Tourism_in_Italy,7788
IT,2017-09,Tourism_in_Italy,7505
IT,2017-10,Tourism_in_Italy,8692
IT,2017-11,Tourism_in_Italy,8258
IT,2017-12,Tourism_in_Italy,6830
IT,2018-01,Tourism_in_Italy,7980
IT,2018-02,Tourism_in_Italy,7515
IT,2018-03,Tourism_in_Italy,7968
IT,2018-04,Tourism_in_Italy,7525
IT,2018-05,Tourism_in_Italy,8247
IT,2018-06,Tourism_in_Italy,6982
IT,2018-07,Tourism_in_Italy,6317
IT,2018-08,Tourism_in_Italy,5906
IT,2018-09,Tourism_in_Italy,6496
IT,2018-10,Tourism_in_Italy,6824
IT,2018-11,Tourism_in_Italy,6452
IT,2018-12,Tourism_in_Italy,5814
IT,2019-01,Tourism_in_Italy,6517
IT,2019-02,Tourism_in_Italy,6095
IT,2019-03,Tourism_in_Italy,7095
IT,2019-04,Tourism_in_Italy,6759
IT,2019-05,Tourism_in_Italy,6868
IT,2019-06,Tourism_in_Italy,6190
IT,2019-07,Tourism_in_Italy,6297
IT,2019-08,Tourism_in_Italy,6330
IT,2019-09,Tourism_in_Italy,6442
IT,2019-10,Tourism_in_Italy,7475
IT,2019-11,Tourism_in_Italy,7111
IT,2019-12,Tourism_in_Italy,6895
IT,2020-01,Tourism_in_Italy,7680
IT,2020-02,Tourism_in_Italy,7970
IT,2020-03,Tourism_in_Italy,15541
IT,2020-04,Tourism_in_Italy,9924
IT,2020-05,Tourism_in_Italy,9757
IT,2020-06,Tourism_in_Italy,7518
IT,2020-07,Tourism_in_Italy,6429
IT,2020-08,Tourism_in_Italy,6106
IT,2020-09,Tourism_in_Italy,5927
IT,2020-10,Tourism_in_Italy,5456
IT,2020-11,Tourism_in_Italy,6221
IT,2020-12,Tourism_in_Italy,5566
IT,2021-01,Tourism_in_Italy,5325
IT,2021-02,Tourism_in_Italy,5303
IT,2021-03,Tourism_in_Italy,6418
IT,2021-04,Tourism_in_Italy,5949
IT,2021-05,Tourism_in_Italy,6711
IT,2021-06,Tourism_in_Italy,6189
IT,2021-07,Tourism_in_Italy,5877
IT,2021-08,Tourism_in_Italy,5833
IT,2021-09,Tourism_in_Italy,5562
IT,2021-10,Tourism_in_Italy,5701
IT,2021-11,Tourism_in_Italy,5370
IT,2021-12,Tourism_in_Italy,5767
IT,2022-01,Tourism_in_Italy,8676
IT,2022-02,Tourism_in_Italy,8848
IT,2022-03,Tourism_in_Italy,9597
IT,2022-04,Tourism_in_Italy,10861
IT,2022-05,Tourism_in_Italy,11299
IT,2022-06,Tourism_in_Italy,10530
IT,2022-07,Tourism_in_Italy,10210
IT,2022-08,Tourism_in_Italy,11099
IT,2022-09,Tourism_in_Italy,10534
IT,2022-10,Tourism_in_Italy,9737
IT,2022-11,Tourism_in_Italy,8737
IT,2022-12,Tourism_in_Italy,9379
IT,2023-01,Tourism_in_Italy,11600
IT,2023-02,Tourism_in_Italy,9328
IT,2023-03,Tourism_in_Italy,12599
IT,2023-04,Tourism_in_Italy,10238
IT,2023-05,Tourism_in_Italy,10652
IT,2023-06,Tourism_in_Italy,11895
IT,2023-07,Tourism_in_Italy,12254
IT,2023-08,Tourism_in_Italy,12932
IT,2023-09,Tourism_in_Italy,13484
IT,2023-10,Tourism_in_Italy,12771
IT,2023-11,Tourism_in_Italy,10884
IT,2023-12,Tourism_in_Italy,11994
IT,2024-01,Tourism_in_Italy,13365
IT,2024-02,Tourism_in_Italy,9386
IT,2024-03,Tourism_in_Italy,12643
IT,2024-04,Tourism_in_Italy,10222
IT,2024-05,Tourism_in_Italy,10340
IT,2024-06,Tourism_in_Italy,8690
IT,2024-07,Tourism_in_Italy,9012
IT,2024-08,Tourism_in_Italy,8701
IT,2024-09,Tourism_in_Italy,8979
IT,2024-10,Tourism_in_Italy,8628
IT,2024-11,Tourism_in_Italy,7623
IT,2024-12,Tourism_in_Italy,205
