geo,date,article,wiki_pageviews
JP,2015-07,Japan,516866
JP,2015-08,Japan,507928
JP,2015-09,Japan,517055
JP,2015-10,Japan,501838
JP,2015-11,Japan,507451
JP,2015-12,Japan,513374
JP,2016-01,Japan,522209
JP,2016-02,Japan,497248
JP,2016-03,Japan,530549
JP,2016-04,Japan,884144
JP,2016-05,Japan,547378
JP,2016-06,Japan,481934
JP,2016-07,Japan,493830
JP,2016-08,Japan,528115
JP,2016-09,Japan,488948
JP,2016-10,Japan,519060
JP,2016-11,Japan,528342
JP,2016-12,Japan,513539
JP,2017-01,Japan,559495
JP,2017-02,Japan,519206
JP,2017-03,Japan,562663
JP,2017-04,Japan,513810
JP,2017-05,Japan,524021
JP,2017-06,Japan,466421
JP,2017-07,Japan,473061
JP,2017-08,Japan,496973
JP,2017-09,Japan,563166
JP,2017-10,Japan,528692
JP,2017-11,Japan,488547
JP,2017-12,Japan,421532
JP,2018-01,Japan,493394
JP,2018-02,Japan,451762
JP,2018-03,Japan,501465
JP,2018-04,Japan,470098
JP,2018-05,Japan,486290
JP,2018-06,Japan,508123
JP,2018-07,Japan,534228
JP,2018-08,Japan,508805
JP,2018-09,Japan,509315
JP,2018-10,Japan,534443
JP,2018-11,Japan,511142
JP,2018-12,Japan,495426
JP,2019-01,Japan,539940
JP,2019-02,Japan,466620
JP,2019-03,Japan,486420
JP,2019-04,Japan,497984
JP,2019-05,Japan,504084
JP,2019-06,Japan,452700
JP,2019-07,Japan,459966
JP,2019-08,Japan,461162
JP,2019-09,Japan,490490
JP,2019-10,Japan,571964
JP,2019-11,Japan,495458
JP,2019-12,Japan,518151
JP,2020-01,Japan,523760
JP,2020-02,Japan,478293
JP,2020-03,Japan,497980
JP,2020-04,Japan,608390
JP,2020-05,Japan,594158
JP,2020-06,Japan,456663
JP,2020-07,Japan,469835
JP,2020-08,Japan,492730
JP,2020-09,Japan,481982
JP,2020-10,Japan,485467
JP,2020-11,Japan,504061
JP,2020-12,Japan,505376
JP,2021-01,Japan,543368
JP,2021-02,Japan,500640
JP,2021-03,Japan,573193
JP,2021-04,Japan,528892
JP,2021-05,Japan,548525
JP,2021-06,Japan,501642
JP,2021-07,Japan,791786
JP,2021-08,Japan,808433
JP,2021-09,Japan,707571
JP,2021-10,Japan,702414
JP,2021-11,Japan,650950
JP,2021-12,Japan,667065
JP,2022-01,Japan,739565
JP,2022-02,Japan,734732
JP,2022-03,Japan,748791
JP,2022-04,Japan,699319
JP,2022-05,Japan,721322
JP,2022-06,Japan,652814
JP,2022-07,Japan,862489
JP,2022-08,Japan,845996
JP,2022-09,Japan,852143
JP,2022-10,Japan,828253
JP,2022-11,Japan,914275
JP,2022-12,Japan,803353
JP,2023-01,Japan,785792
JP,2023-02,Japan,776915
JP,2023-03,Japan,943669
JP,2023-04,Japan,795859
JP,2023-05,Japan,862917
JP,2023-06,Japan,848599
JP,2023-07,Japan,840411
JP,2023-08,Japan,751067
JP,2023-09,Japan,663725
JP,2023-10,Japan,676675
JP,2023-11,Japan,670751
JP,2023-12,Japan,681816
JP,2024-01,Japan,1077697
JP,2024-02,Japan,667672
JP,2024-03,Japan,744533
JP,2024-04,Japan,747816
JP,2024-05,Japan,615224
JP,2024-06,Japan,486659
JP,2024-07,Japan,492719
JP,2024-08,Japan,571668
JP,2024-09,Japan,508699
JP,2024-10,Japan,537179
JP,2024-11,Japan,602112
JP,2024-12,Japan,16483
JP,2015-07,Tourism_in_Japan,9840
JP,2015-08,Tourism_in_Japan,9201
JP,2015-09,Tourism_in_Japan,7651
JP,2015-10,Tourism_in_Japan,7890
JP,2015-11,Tourism_in_Japan,7437
JP,2015-12,Tourism_in_Japan,6391
JP,2016-01,Tourism_in_Japan,7778
JP,2016-02,Tourism_in_Japan,7232
JP,2016-03,Tourism_in_Japan,7961
JP,2016-04,Tourism_in_Japan,7647
JP,2016-05,Tourism_in_Japan,7176
JP,2016-06,Tourism_in_Japan,6736
JP,2016-07,Tourism_in_Japan,5952
JP,2016-08,Tourism_in_Japan,6078
JP,2016-09,Tourism_in_Japan,6441
JP,2016-10,Tourism_in_Japan,6712
JP,2016-11,Tourism_in_Japan,7439
JP,2016-12,Tourism_in_Japan,6775
JP,2017-01,Tourism_in_Japan,7770
JP,2017-02,Tourism_in_Japan,7222
JP,2017-03,Tourism_in_Japan,8232
JP,2017-04,Tourism_in_Japan,7932
JP,2017-05,Tourism_in_Japan,8230
JP,2017-06,Tourism_in_Japan,7331
JP,2017-07,Tourism_in_Japan,7391
JP,2017-08,Tourism_in_Japan,8370
JP,2017-09,Tourism_in_Japan,7083
JP,2017-10,Tourism_in_Japan,7996
JP,2017-11,Tourism_in_Japan,8400
JP,2017-12,Tourism_in_Japan,7155
JP,2018-01,Tourism_in_Japan,8303
JP,2018-02,Tourism_in_Japan,7094
JP,2018-03,Tourism_in_Japan,8359
JP,2018-04,Tourism_in_Japan,8324
JP,2018-05,Tourism_in_Japan,8869
