Data extracted on 10/04/2026 13:30:32 from [ESTAT],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,500595,,519881,,172366,,5148,,8795,,44951,,132331,,117151,,97936,,87157,,39293,,57269
Berlin,2185961,,2295610,,891456,,151711,,272705,,638923,,1304188,,1588950,,1265962,,890818,,345262,,278271
Brandenburg,486858,,556117,,328123,,143899,,369624,,946340,,1578361,,1685908,,1166051,,922206,,198276,,128989
Bremen,169159,,197133,,89454,,28185,,56601,,104697,,164394,,186223,,185871,,131355,,53682,,43806
Hamburg,910194,,1089093,,456131,,81954,,189969,,452278,,847010,,996257,,843414,,652454,,177089,,144937
Mecklenburg-Vorpommern,870828,,1164471,,601130,,39821,,698020,,3632845,,5559277,,5739298,,3937183,,2968617,,95763,,48264
Saarland,129590,,148271,,74809,,19075,,47180,,130371,,212147,,232613,,188280,,144593,,36749,,25024
Sachsen-Anhalt,360088,,437477,,231759,,70394,,195721,,502999,,796532,,855338,,761077,,663071,,126182,,81938
Schleswig-Holstein,896957,,1129205,,733855,,113612,,1468532,,3694516,,5470755,,5551847,,3935871,,3148633,,221770,,142395
Thüringen,408590,,467832,,216472,,45196,,213006,,461370,,739672,,843318,,759862,,778380,,108684,,73221
Eesti,411047,,414584,,177167,,43078,,83417,,301351,,652213,,591183,,284855,,283959,,224428,,206730
Ireland,2052495,,2024056,,1281687,,14206,,35398,,73849,,2597141,,4943328,,1528376,,545123,,272886,,771709
Attiki,580130,,589860,,194181,,10106,,15942,,104753,,384430,,538630,,382202,,373274,,103798,,80685
Comunidad de Madrid,2096366,,2086549,,874837,,0,,68737,,377948,,682938,,655775,,600823,,499705,,522517,,617028
Canarias,8124640,,7798763,,3687588,,0,,27560,,75225,,1611317,,2775977,,1368328,,1084409,,1158607,,1426971
Ile de France,5963126,,5782089,,2889940,,285654,,565132,,2322522,,2504124,,2570643,,2310388,,2191782,,1740562,,2158418
Centre — Val de Loire,410326,,473441,,238260,,29054,,60741,,408590,,1231308,,1496754,,693116,,519874,,149861,,167457
Pays de la Loire,622719,,669507,,322089,,40690,,83888,,1126353,,4298864,,5590823,,1626018,,741813,,201016,,217172
Bretagne,507529,,612494,,317981,,41453,,86369,,1138852,,4778565,,5654045,,1944896,,827494,,177121,,194471
Provence-Alpes-Côte d’Azur,2011242,,2399184,,1158862,,123706,,248488,,2418888,,7870373,,10552671,,3518722,,1554159,,491413,,686103
Corse,41414,,51423,,32734,,14524,,52240,,616773,,1537952,,2337058,,1177499,,294036,,21884,,20002
Kýpros,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
Latvija,334840,,305987,,175090,,53702,,77534,,242147,,544996,,535701,,211002,,185534,,121861,,100948
Luxembourg,134423,,140401,,72855,,16298,,49710,,152776,,362822,,332198,,180860,,111654,,84666,,54719
Luxembourg,134423,,140401,,72855,,16298,,49710,,152776,,362822,,332198,,180860,,111654,,84666,,54719
Malta,498068,,588991,,244927,,11673,,13172,,39340,,294995,,503816,,290155,,234469,,105890,,119688
Malta,498068,,588991,,244927,,11673,,13172,,39340,,294995,,503816,,290155,,234469,,105890,,119688
Grande Lisboa,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
Península de Setúbal,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
Região Autónoma dos Açores,88344,,110439,,60150,,453,,773,,8771,,49598,,112907,,86987,,71831,,39548,,28932
Região Autónoma da Madeira,488692,,540912,,297886,,2191,,2993,,14965,,95567,,240264,,250816,,253689,,116209,,137261
Åland,6520,,6563,,1370,,1495,,4102,,22845,,63190,,28184,,11729,,7897,,3546,,3163
Ísland,418305,,480172,,261703,,30263,,89131,,292890,,837432,,559247,,142955,,84162,,55223,,44074
Liechtenstein,15506,,19594,,6984,,901,,2878,,8024,,18959,,18626,,13892,,10219,,4178,,7742
Liechtenstein,15506,,19594,,6984,,901,,2878,,8024,,18959,,18626,,13892,,10219,,4178,,7742
Crna Gora,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
Severna Makedonija,101699,,90799,,40435,,4560,,4871,,14029,,110140,,246021,,102946,,65058,,41506,,52275
