region,country,capital_city,attraction_1
Belgium,Belgium,Brussels,Grand Place
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,City of Brussels,Brussels
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Belgium,City of Brussels,Brussels
Vlaams Gewest,Belgium,City of Brussels,Walloon Region
Prov. Antwerpen,Belgium,and largest city of Antwerp Province,Flemish Region of Belgium
Arr. Antwerpen,Belgium,and largest city of Antwerp Province,Flemish Region of Belgium
Arr. Mechelen,Belgium,Mechelen,Flemish Region of Belgium
Arr. Turnhout,Belgium,the administrative district with the same name,Flemish
Arr. Tongeren,Belgium,the Civitas Tungrorum district,Belgian
Arr. Hasselt,Belgium,and largest city of the province of Limburg in the Flemish Region of Belgium,Flemish Region of Belgium
Arr. Maaseik,Belgium,Maaseik,Belgian
Prov. Oost-Vlaanderen,Belgium,Ghent,Dutch
Arr. Dendermonde,Belgium,Dendermonde,Flemish
Arr. Eeklo,Belgium,Eeklo,Flemish
Arr. Oudenaarde,Belgium,Oudenaarde,Flemish
Prov. Vlaams-Brabant,Belgium,Leuven,Belgian
Arr. Leuven,Belgium,and largest city of the province of Flemish Brabant in the Flemish Region of Belgium,Flemish Region of Belgium
Prov. West-Vlaanderen,Belgium,Bruges,Flemish Region
Arr. Brugge,Belgium,and largest city of the province of West Flanders,Flemish Region of Belgium
Arr. Diksmuide,Belgium,Diksmuide,Flemish
Arr. Ieper,Belgium,Ieper,Dutch
Arr. Kortrijk,Belgium,Kortrijk,Flemish
Arr. Roeselare,Belgium,Roeselare,Flemish
Arr. Tielt,Belgium,Tielt,West Flanders
Arr. Veurne,Belgium,Veurne,Belgian
Région wallonne,Belgium,Namur,Walloon Region
Prov. Brabant wallon,Belgium,Wavre,Walloon Brabant
Arr. Nivelles,Belgium,Nivelles,Belgian
Arr. Tournai-Mouscron,Belgium,Tournai-Mouscron,Belgian
Arr. La Louvière,Belgium,La Louvière,La Louvière
Arr. Charleroi,Belgium,Charleroi,Sambre
Prov. Liège,Belgium,the eponymous province,Belgian
Arr. Huy,Belgium,Huy,Walloon
Arr. Liège,Belgium,the eponymous province,Belgian
Bezirk Verviers — Deutschsprachige Gemeinschaft,Belgium,Eupen,Eupen
Prov. Luxembourg (BE),Belgium,Luxembourg City,Grand Duchy of Luxembourg
Arr. Arlon,Belgium,the province of Luxembourg in Lorraine,Arelerland
Arr. Bastogne,Belgium,Bastogne,Ardennes
Arr. Marche-en-Famenne,Belgium,Marche-en-Famenne,Belgian
Arr. Virton,Belgium,the district,Gaume
Prov. Namur,Belgium,both of the province of Namur and of Wallonia,Parliament of Wallonia
Arr. Dinant,Belgium,Dinant,Ardennes
Arr. Namur,Belgium,both of the province of Namur and of Wallonia,Parliament of Wallonia
Bulgaria,Bulgaria,Sofia,Alexander Nevsky Cathedral
Vidin,Bulgaria,Vidin Province,Danube
Montana,Bulgaria,"Helena, Montana",Mountain West
Pleven,Bulgaria,Pleven Province,Northwestern Bulgaria
Lovech,Bulgaria,the Lovech Province and of the subordinate Lovech Municipality,Lovech Province
Severen tsentralen,Bulgaria,"Ruse, Bulgaria",Veliko Tarnovo
Razgrad,Bulgaria,Razgrad Province,Beli Lom
Silistra,Bulgaria,the Silistra Province and one of the important towns of the historical region of Dobruja,Romanian
Dobrich,Bulgaria,Dobrich Province and the capital of the region of Southern Dobrudzha,Bulgarian Black Sea Coast
Burgas,Bulgaria,Burgas Province and an important industrial,Bulgarian Black Sea Coast
Sliven,Bulgaria,Sliven,Sliven Valley
Yambol,Bulgaria,Yambol Province,Tundzha
Stara Zagora,Bulgaria,Stara Zagora Province,Upper Thracian Plain
Sofia,Bulgaria,and largest city of Bulgaria,Sofia Valley
Blagoevgrad,Bulgaria,Blagoevgrad Municipality and of Blagoevgrad Province,Struma River
Pernik,Bulgaria,Pernik,Struma River
Kyustendil,Bulgaria,the Kyustendil Province,Kyustendil Province
Plovdiv,Bulgaria,Culture in,Bulgarian
Haskovo,Bulgaria,the Haskovo Province,Haskovo Province
Pazardzhik,Bulgaria,Pazardzhik,Maritsa
Smolyan,Bulgaria,Smolyan,Smolyan Province
Kardzhali,Bulgaria,Kardzhali,Kardzhali Reservoir
Czechia,Czechia,Prague,Prague Castle
Praha,Czechia,Bohemia,Vltava River
Hlavní město Praha,Czechia,Bohemia,Vltava River
Jihočeský kraj,Czechia,České Budějovice,South Bohemian Region
Plzeňský kraj,Czechia,Plzeň,South Bohemian Region
Karlovarský kraj,Czechia,Karlovy Vary,Karlovy Vary
Ústecký kraj,Czechia,Ústí nad Labem,North Bohemia
Liberecký kraj,Czechia,Liberec,Hradec Králové Region
Královéhradecký kraj,Czechia,Hradec Králové,Pardubice Region
Pardubický kraj,Czechia,Pardubice,Bohemian
Jihomoravský kraj,Czechia,Brno,South Bohemian Region
Zlínský kraj,Czechia,Zlín,Olomouc Region
Moravskoslezsko,Czechia,Ostrava,Ostrava Region
Moravskoslezský kraj,Czechia,Ostrava,Ostrava Region
Denmark,Denmark,Copenhagen,Tivoli Gardens
Østsjælland,Denmark,Sorø,Danish Municipal Reform
Vest- og Sydsjælland,Denmark,Sorø,Danish Municipal Reform
Syddanmark,Denmark,Vejle,Funish
Germany,Germany,Berlin,Brandenburg Gate
Baden-Württemberg,Germany,Stuttgart,Rhine
Stuttgart,Germany,and largest city of the German state of Baden-Württemberg,Neckar
"Stuttgart, Stadtkreis",Germany,and largest city of the German state of Baden-Württemberg,Neckar
Göppingen,Germany,the district Göppingen,Stuttgart Region of Baden
Ludwigsburg,Germany,Ludwigsburg,Stuttgart Region
Rems-Murr-Kreis,Germany,Waiblingen,Schwäbisch Hall
"Heilbronn, Stadtkreis",Germany,Heilbronn,Heilbronn District
"Heilbronn, Landkreis",Germany,Heilbronn,Heilbronn District
