region,year_month,trends_index
Belgium,2020-01,62.0
Belgium,2020-02,63.0
Belgium,2020-03,42.0
Belgium,2020-04,28.0
Belgium,2020-05,31.0
Belgium,2020-06,35.0
Belgium,2020-07,34.0
Belgium,2020-08,33.0
Belgium,2020-09,34.0
Belgium,2020-10,32.0
Belgium,2020-11,27.0
Belgium,2020-12,32.0
Belgium,2021-01,27.0
Belgium,2021-02,26.0
Belgium,2021-03,26.0
Belgium,2021-04,27.0
Belgium,2021-05,30.0
Belgium,2021-06,34.0
Belgium,2021-07,37.0
Belgium,2021-08,36.0
Belgium,2021-09,40.0
Belgium,2021-10,43.0
Belgium,2021-11,42.0
Belgium,2021-12,38.0
Belgium,2022-01,39.0
Belgium,2022-02,46.0
Belgium,2022-03,45.0
Belgium,2022-04,49.0
Belgium,2022-05,52.0
Belgium,2022-06,53.0
Belgium,2022-07,54.0
Belgium,2022-08,50.0
Belgium,2022-09,51.0
Belgium,2022-10,51.0
Belgium,2022-11,49.0
Belgium,2022-12,50.0
Belgium,2023-01,49.0
Belgium,2023-02,52.0
Belgium,2023-03,56.0
Belgium,2023-04,51.0
Belgium,2023-05,49.0
Belgium,2023-06,51.0
Belgium,2023-07,53.0
Belgium,2023-08,47.0
Belgium,2023-09,56.0
Belgium,2023-10,59.0
Belgium,2023-11,51.0
Belgium,2023-12,50.0
Belgium,2024-01,53.0
Belgium,2024-02,57.0
Belgium,2024-03,57.0
Belgium,2024-04,55.0
Belgium,2024-05,56.0
Belgium,2024-06,56.0
Belgium,2024-07,57.0
Belgium,2024-08,52.0
Belgium,2024-09,59.0
Belgium,2024-10,56.0
Belgium,2024-11,56.0
Belgium,2024-12,53.0
Belgium,2025-01,58.0
Belgium,2025-02,58.0
Belgium,2025-03,59.0
Belgium,2025-04,55.0
Belgium,2025-05,56.0
Belgium,2025-06,57.0
Belgium,2025-07,59.0
Belgium,2025-08,93.0
Belgium,2025-09,100.0
Belgium,2025-10,92.0
Belgium,2025-11,91.0
Belgium,2025-12,83.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-01,7.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-02,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-03,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-04,5.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-05,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-06,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-07,5.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-08,6.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-09,5.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-10,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-11,4.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020-12,4.0
