date,country,google_trends,wiki_views
2020-01-01,Belgium,0.0,235585
2020-02-01,Belgium,0.0,208841
2020-03-01,Belgium,0.0,238416
2020-04-01,Belgium,0.0,316033
2020-05-01,Belgium,0.0,264957
2020-06-01,Belgium,0.0,204992
2020-07-01,Belgium,0.0,209373
2020-08-01,Belgium,0.0,201870
2020-09-01,Belgium,0.0,203195
2020-10-01,Belgium,0.0,236541
2020-11-01,Belgium,0.0,206966
2020-12-01,Belgium,0.0,199904
2021-01-01,Belgium,0.0,202267
2021-02-01,Belgium,0.0,184159
2021-03-01,Belgium,0.0,222740
2021-04-01,Belgium,0.0,211977
2021-05-01,Belgium,0.0,230398
2021-06-01,Belgium,0.0,333419
2021-07-01,Belgium,0.0,291861
2021-08-01,Belgium,0.0,247174
2021-09-01,Belgium,0.0,224085
2021-10-01,Belgium,0.0,221904
2021-11-01,Belgium,0.0,213297
2021-12-01,Belgium,0.0,215434
2022-01-01,Belgium,0.0,233980
2022-02-01,Belgium,0.0,246411
2022-03-01,Belgium,0.0,257863
2022-04-01,Belgium,0.0,240433
2022-05-01,Belgium,0.0,239223
2022-06-01,Belgium,0.0,237481
2022-07-01,Belgium,0.0,241589
2022-08-01,Belgium,0.0,246130
2022-09-01,Belgium,0.0,263619
2022-10-01,Belgium,0.0,264820
2022-11-01,Belgium,0.0,370346
2022-12-01,Belgium,0.0,291228
2023-01-01,Belgium,0.0,254399
2023-02-01,Belgium,0.0,233781
2023-03-01,Belgium,0.0,256588
2023-04-01,Belgium,0.0,237970
2023-05-01,Belgium,0.0,258520
2023-06-01,Belgium,0.0,254526
2023-07-01,Belgium,0.0,282351
2023-08-01,Belgium,0.0,254670
2023-09-01,Belgium,0.0,232289
2023-10-01,Belgium,0.0,259835
2023-11-01,Belgium,0.0,244621
2023-12-01,Belgium,0.0,236746
2024-01-01,Belgium,0.0,263808
2024-02-01,Belgium,0.0,232151
2024-03-01,Belgium,0.0,253946
2024-04-01,Belgium,0.0,226104
2024-05-01,Belgium,0.0,221551
2024-06-01,Belgium,0.0,275917
2024-07-01,Belgium,0.0,254799
2024-08-01,Belgium,0.0,224217
2024-09-01,Belgium,0.0,189125
2024-10-01,Belgium,0.0,193397
2024-11-01,Belgium,0.0,191538
2024-12-01,Belgium,0.0,202288
2025-01-01,Belgium,0.0,201855
2025-02-01,Belgium,0.0,193854
2025-03-01,Belgium,0.0,214857
2025-04-01,Belgium,0.0,189437
2025-05-01,Belgium,0.0,188987
2025-06-01,Belgium,0.0,170640
2025-07-01,Belgium,0.0,194726
2025-08-01,Belgium,0.0,186377
2025-09-01,Belgium,0.0,175488
2025-10-01,Belgium,0.0,172459
2025-11-01,Belgium,0.0,161965
2025-12-01,Belgium,0.0,170077
2026-01-01,Belgium,0.0,176886
2026-02-01,Belgium,0.0,150100
2026-03-01,Belgium,0.0,135367
2020-01-01,Bulgaria,0.0,166035
2020-02-01,Bulgaria,0.0,158953
2020-03-01,Bulgaria,0.0,178605
2020-04-01,Bulgaria,0.0,183814
2020-05-01,Bulgaria,0.0,163325
2020-06-01,Bulgaria,0.0,139309
2020-07-01,Bulgaria,0.0,157495
2020-08-01,Bulgaria,0.0,152913
2020-09-01,Bulgaria,0.0,151697
2020-10-01,Bulgaria,0.0,159604
2020-11-01,Bulgaria,0.0,152369
2020-12-01,Bulgaria,0.0,146078
2021-01-01,Bulgaria,0.0,144359
2021-02-01,Bulgaria,0.0,137946
2021-03-01,Bulgaria,0.0,169745
2021-04-01,Bulgaria,0.0,167400
2021-05-01,Bulgaria,0.0,178749
2021-06-01,Bulgaria,0.0,182698
2021-07-01,Bulgaria,0.0,179380
2021-08-01,Bulgaria,0.0,187423
2021-09-01,Bulgaria,0.0,159533
2021-10-01,Bulgaria,0.0,154514
2021-11-01,Bulgaria,0.0,170696
2021-12-01,Bulgaria,0.0,156974
2022-01-01,Bulgaria,0.0,190047
2022-02-01,Bulgaria,0.0,227571
2022-03-01,Bulgaria,0.0,273145
2022-04-01,Bulgaria,0.0,203995
2022-05-01,Bulgaria,0.0,175614
2022-06-01,Bulgaria,0.0,188160
2022-07-01,Bulgaria,0.0,181854
2022-08-01,Bulgaria,0.0,192718
2022-09-01,Bulgaria,0.0,191025
2022-10-01,Bulgaria,0.0,190563
2022-11-01,Bulgaria,0.0,190108
2022-12-01,Bulgaria,0.0,177946
2023-01-01,Bulgaria,0.0,197684
2023-02-01,Bulgaria,0.0,170895
2023-03-01,Bulgaria,0.0,208769
2023-04-01,Bulgaria,0.0,177759
2023-05-01,Bulgaria,0.0,200934
2023-06-01,Bulgaria,0.0,204885
2023-07-01,Bulgaria,0.0,224562
2023-08-01,Bulgaria,0.0,202104
2023-09-01,Bulgaria,0.0,192598
2023-10-01,Bulgaria,0.0,181353
2023-11-01,Bulgaria,0.0,174157
2023-12-01,Bulgaria,0.0,179626
2024-01-01,Bulgaria,0.0,199665
2024-02-01,Bulgaria,0.0,176498
2024-03-01,Bulgaria,0.0,203511
2024-04-01,Bulgaria,0.0,201373
2024-05-01,Bulgaria,0.0,177841
2024-06-01,Bulgaria,0.0,186877
2024-07-01,Bulgaria,0.0,179531
2024-08-01,Bulgaria,0.0,182778
2024-09-01,Bulgaria,0.0,160754
2024-10-01,Bulgaria,0.0,160711
2024-11-01,Bulgaria,0.0,151904
2024-12-01,Bulgaria,0.0,160157
2025-01-01,Bulgaria,0.0,177583
2025-02-01,Bulgaria,0.0,142017
2025-03-01,Bulgaria,0.0,167461
2025-04-01,Bulgaria,0.0,158614
2025-05-01,Bulgaria,0.0,150248
2025-06-01,Bulgaria,0.0,145685
2025-07-01,Bulgaria,0.0,149404
2025-08-01,Bulgaria,0.0,146003
2025-09-01,Bulgaria,0.0,148129
2025-10-01,Bulgaria,0.0,136534
2025-11-01,Bulgaria,0.0,126889
2025-12-01,Bulgaria,0.0,177300
2026-01-01,Bulgaria,0.0,193596
2026-02-01,Bulgaria,0.0,131415
2026-03-01,Bulgaria,0.0,115750
2020-01-01,Croatia,0.0,228385
2020-02-01,Croatia,0.0,177812
2020-03-01,Croatia,0.0,190129
2020-04-01,Croatia,0.0,193290
2020-05-01,Croatia,0.0,186055
2020-06-01,Croatia,0.0,164890
2020-07-01,Croatia,0.0,208278
2020-08-01,Croatia,0.0,202517
2020-09-01,Croatia,0.0,172045
2020-10-01,Croatia,0.0,158547
2020-11-01,Croatia,0.0,153968
2020-12-01,Croatia,0.0,182749
2021-01-01,Croatia,0.0,180352
2021-02-01,Croatia,0.0,168708
2021-03-01,Croatia,0.0,197145
2021-04-01,Croatia,0.0,188045
2021-05-01,Croatia,0.0,214803
2021-06-01,Croatia,0.0,380268
2021-07-01,Croatia,0.0,271436
2021-08-01,Croatia,0.0,265487
2021-09-01,Croatia,0.0,219484
2021-10-01,Croatia,0.0,190871
2021-11-01,Croatia,0.0,176430
2021-12-01,Croatia,0.0,171187
2022-01-01,Croatia,0.0,237654
2022-02-01,Croatia,0.0,260471
2022-03-01,Croatia,0.0,337378
2022-04-01,Croatia,0.0,260241
2022-05-01,Croatia,0.0,252079
2022-06-01,Croatia,0.0,258030
2022-07-01,Croatia,0.0,289947
2022-08-01,Croatia,0.0,277585
2022-09-01,Croatia,0.0,263376
2022-10-01,Croatia,0.0,240736
2022-11-01,Croatia,0.0,383249
2022-12-01,Croatia,0.0,1275477
2023-01-01,Croatia,0.0,336787
2023-02-01,Croatia,0.0,199688
2023-03-01,Croatia,0.0,244035
2023-04-01,Croatia,0.0,211820
2023-05-01,Croatia,0.0,266157
2023-06-01,Croatia,0.0,317560
2023-07-01,Croatia,0.0,312536
2023-08-01,Croatia,0.0,290643
2023-09-01,Croatia,0.0,256348
2023-10-01,Croatia,0.0,227027
2023-11-01,Croatia,0.0,198419
2023-12-01,Croatia,0.0,201753
2024-01-01,Croatia,0.0,250226
2024-02-01,Croatia,0.0,222217
2024-03-01,Croatia,0.0,238555
2024-04-01,Croatia,0.0,238802
2024-05-01,Croatia,0.0,256293
2024-06-01,Croatia,0.0,337220
2024-07-01,Croatia,0.0,261844
2024-08-01,Croatia,0.0,248925
2024-09-01,Croatia,0.0,216096
2024-10-01,Croatia,0.0,195435
2024-11-01,Croatia,0.0,174386
2024-12-01,Croatia,0.0,183225
2025-01-01,Croatia,0.0,212312
2025-02-01,Croatia,0.0,176902
2025-03-01,Croatia,0.0,208819
2025-04-01,Croatia,0.0,190599
2025-05-01,Croatia,0.0,224147
2025-06-01,Croatia,0.0,274642
2025-07-01,Croatia,0.0,240396
2025-08-01,Croatia,0.0,237670
2025-09-01,Croatia,0.0,199013
2025-10-01,Croatia,0.0,188800
2025-11-01,Croatia,0.0,157881
2025-12-01,Croatia,0.0,161274
