Country,Destinations/Attractions
Belgium,"Ardennes, Arelerland, Belgian, Belgian Lorraine, Brussels, Campine, City of Brussels, Court of Justice, De Moeren, Dijlestad, Dutch, East Belgium, East Cantons, East Flanders, Eupen, Flemish, Flemish Brabant, Flemish Community, Gaume, Gent Cakaj, Gent Strazimiri, Ghent University, Government of Wallonia, Grand Duchy, Grand Duchy of Luxembourg, Honeywell Gent, La Louvière, Lille, Low Countries, Meuse, Middle Ages, Moselle Franconian, Netherlands, North Sea, Parliament of Wallonia, Sambre, Sankt Vith, Scheldt, Tungri, Walloon, Walloon Brabant, West Flanders"
Bulgaria,"Balkans, Black Sea, Danube, Veliko Tarnovo"
Czechia,"Before May, Bohemian, Hradec Králové, Karlovy Vary, Lower Austria, Mariánské Lázně, Moravian, Moravian Slovakia, Moravian Wallachia, North Bohemia, South Moravia, Vltava River"
Denmark,"Danish Municipal Reform, Danish Realm, Danish Superliga, Faroe Islands, Football Club Midtjylland, Funish, Herning Fremad, North Jutland, North Jutlandic Island, Scandinavian"
Germany,"Baltic Sea, Federal Constitutional Court, Federal Republic of Germany, Free State, Free State of Bavaria, Lower Bavaria, Mannheim, Neckar, North Sea, Rhine, Southwest Germany, Stuttgarter Kessel, Swabian Jura, Upper Bavaria"
Estonia,"Baltic, Baltic Sea, Gulf of Finland"
Ireland,"Irish Sea, North Atlantic Ocean, North Channel"
Greece,"Balkan, Hellenic Republic, Ionian Sea"
Spain,"Balearic Islands, Canary Islands, Iberian Peninsula"
France,"Indian Ocean, North Atlantic, Rhine"
Croatia,"Adriatic Sea, Southeast Europe"
Italy,"Mediterranean Sea, San Marino, Vatican City"
Cyprus,"British, Levant, Mediterranean"
Latvia,"Baltic, Balts"
Lithuania,"Baltic, Baltic Sea, Russian"
Luxembourg,"Court of Justice, Grand Duchy, Grand Duchy of Luxembourg"
Hungary,"Carpathian Basin, Danube River"
Malta,"Mediterranean Sea, North Africa"
Netherlands,"Caribbean, North Sea, Northwestern Europe"
Austria,
Poland,"Baltic Sea, Carpathian Mountains, Sudetes"
Portugal,"Azores, Iberian Peninsula, Portuguese Republic"
Romania,"Balkan Peninsula, Black Sea, Danube"
Slovenia,"Adriatic Sea, Julian Alps, Slovene Littoral"
Slovakia,Slovak Republic
Finland,"Gulf of Bothnia, Gulf of Finland"
Sweden,Scandinavian Peninsula
Iceland,"Arctic Ocean, Gulf Stream, North Atlantic Ocean"
Liechtenstein,Principality of Liechtenstein
Norway,"Antarctic, Scandinavian Peninsula, Subantarctic"
Switzerland,"Swiss Alps, Swiss Confederation, Swiss Plateau"
Montenegro,"Adriatic Sea, Balkan Peninsula, Southeast Europe"
North Macedonia,"South Slavic, Southeast Europe"
Albania,"Adriatic, Balkans, Mediterranean Sea"
Serbia,"Balkans, North Macedonia"
