date,country,city,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3,nights_spent,gt_combined,is_arrival_shock,is_attention_spike,attn_led_arrival
2020-01-01,Spain,barcelona,4,54,12,48,6,29,21539039.0,25.5,0,0,0
2020-02-01,Spain,barcelona,4,58,6,50,7,50,23579845.0,29.166666666666668,0,0,0
2020-03-01,Spain,barcelona,2,27,5,36,3,22,10975525.0,15.833333333333334,0,0,0
2020-04-01,Spain,barcelona,1,10,1,25,0,10,0.0,7.833333333333333,0,0,0
2020-05-01,Spain,barcelona,2,12,2,31,1,10,572162.0,9.666666666666666,0,0,0
2020-06-01,Spain,barcelona,3,23,2,36,2,12,3916553.0,13.0,0,0,0
2020-07-01,Spain,barcelona,3,32,2,28,2,12,21755739.0,13.166666666666666,0,0,0
2020-08-01,Spain,barcelona,3,33,2,30,2,7,31661014.0,12.833333333333334,0,0,0
2020-09-01,Spain,barcelona,2,28,2,40,2,11,13395196.0,14.166666666666666,0,0,0
2020-10-01,Spain,barcelona,2,24,2,34,2,12,7849462.0,12.666666666666666,0,0,0
2020-11-01,Spain,barcelona,1,18,1,29,1,7,4357310.0,9.5,0,0,0
2020-12-01,Spain,barcelona,1,23,1,30,1,5,5074994.0,10.166666666666666,0,0,0
2021-01-01,Spain,barcelona,1,19,1,23,1,5,3905773.0,8.333333333333334,0,0,0
2021-02-01,Spain,barcelona,2,24,1,30,1,7,3691649.0,10.833333333333334,0,0,0
2021-03-01,Spain,barcelona,2,27,1,30,1,8,5591945.0,11.5,0,0,0
2021-04-01,Spain,barcelona,2,25,1,29,1,14,6910432.0,12.0,0,0,0
2021-05-01,Spain,barcelona,3,38,2,34,2,19,11092892.0,16.333333333333332,0,0,0
2021-06-01,Spain,barcelona,4,46,2,38,3,23,21634497.0,19.333333333333332,0,0,0
2021-07-01,Spain,barcelona,4,54,3,41,6,24,42349731.0,22.0,1,0,0
2021-08-01,Spain,barcelona,3,68,3,46,8,14,56753849.0,23.666666666666668,1,0,0
2021-09-01,Spain,barcelona,3,52,3,55,6,17,36255305.0,22.666666666666668,0,0,0
2021-10-01,Spain,barcelona,3,51,4,51,7,26,32217680.0,23.666666666666668,0,0,0
2021-11-01,Spain,barcelona,3,45,3,51,6,31,20237815.0,23.166666666666668,0,0,0
2021-12-01,Spain,barcelona,3,43,3,72,6,16,18790741.0,23.833333333333332,0,0,0
2022-01-01,Spain,barcelona,4,43,3,44,4,17,15394675.0,19.166666666666668,0,0,0
2022-02-01,Spain,barcelona,5,59,5,48,6,33,18990282.0,26.0,0,0,0
2022-03-01,Spain,barcelona,5,55,5,50,7,37,23600888.0,26.5,0,0,0
2022-04-01,Spain,barcelona,5,62,5,59,10,46,34558347.0,31.166666666666668,0,0,0
2022-05-01,Spain,barcelona,6,64,5,58,10,56,39486464.0,33.166666666666664,0,1,0
2022-06-01,Spain,barcelona,5,67,7,59,11,79,48649387.0,38.0,1,1,1
2022-07-01,Spain,barcelona,6,67,7,59,13,100,63965423.0,42.0,1,1,1
2022-08-01,Spain,barcelona,5,67,5,64,13,39,72032841.0,32.166666666666664,1,0,1
2022-09-01,Spain,barcelona,5,58,6,63,10,37,49012409.0,29.833333333333332,0,0,0
2022-10-01,Spain,barcelona,4,51,6,100,10,35,39265874.0,34.333333333333336,0,0,0
2022-11-01,Spain,barcelona,4,49,5,68,7,26,23611518.0,26.5,0,0,0
2022-12-01,Spain,barcelona,3,45,4,64,6,26,23056834.0,24.666666666666668,0,0,0
