Region,City,Year,Country,Month,OriginalMonthlyValue,flight_trends,airbnb_trends,hotel_trends
Galicia,Santiago de Compostela,2020,Spain,January,123.926,1.25,1.0,62.5
Galicia,Santiago de Compostela,2020,Spain,February,111.105,2.25,4.0,75.25
Galicia,Santiago de Compostela,2020,Spain,March,198.052,0.0,1.0,63.8
Galicia,Santiago de Compostela,2020,Spain,April,229.283,0.0,0.0,24.25
Galicia,Santiago de Compostela,2020,Spain,May,333.951,0.0,0.0,22.4
Galicia,Santiago de Compostela,2020,Spain,June,728.421,0.0,2.0,41.25
Galicia,Santiago de Compostela,2020,Spain,July,1.747.272,0.0,0.0,51.0
Galicia,Santiago de Compostela,2020,Spain,August,2.384.589,0.0,2.6,56.2
Galicia,Santiago de Compostela,2020,Spain,September,1.265.654,0.0,0.0,40.0
Galicia,Santiago de Compostela,2020,Spain,October,913.105,0.0,0.0,32.75
Galicia,Santiago de Compostela,2020,Spain,November,481.341,0.0,0.0,18.2
Galicia,Santiago de Compostela,2020,Spain,December,439.349,0.0,0.0,19.0
Principado de Asturias,Oviedo,2020,Spain,January,40.935,0.75,2.75,68.5
Principado de Asturias,Oviedo,2020,Spain,February,39.758,0.0,4.25,73.5
Principado de Asturias,Oviedo,2020,Spain,March,52.273,0.0,2.2,33.2
Principado de Asturias,Oviedo,2020,Spain,April,60.014,0.0,0.0,16.5
Principado de Asturias,Oviedo,2020,Spain,May,151.533,0.0,0.0,22.2
Principado de Asturias,Oviedo,2020,Spain,June,399.350,0.0,3.0,45.25
Principado de Asturias,Oviedo,2020,Spain,July,1.120.893,0.0,4.25,71.25
Principado de Asturias,Oviedo,2020,Spain,August,1.586.638,0.0,3.0,69.0
Principado de Asturias,Oviedo,2020,Spain,September,676.176,0.0,1.75,46.75
Principado de Asturias,Oviedo,2020,Spain,October,448.571,0.0,1.0,50.0
Principado de Asturias,Oviedo,2020,Spain,November,204.768,0.0,0.0,23.0
Principado de Asturias,Oviedo,2020,Spain,December,224.567,0.0,0.0,27.0
Cantabria,Santander,2020,Spain,January,28.819,4.0,7.75,72.75
Cantabria,Santander,2020,Spain,February,35.211,3.75,8.25,72.75
Cantabria,Santander,2020,Spain,March,41.813,3.2,3.6,33.2
Cantabria,Santander,2020,Spain,April,51.137,1.75,1.5,17.75
Cantabria,Santander,2020,Spain,May,123.143,1.0,3.4,24.2
Cantabria,Santander,2020,Spain,June,413.229,1.75,7.25,51.25
Cantabria,Santander,2020,Spain,July,973.979,2.5,9.0,70.5
Cantabria,Santander,2020,Spain,August,1.256.685,1.8,7.6,66.8
Cantabria,Santander,2020,Spain,September,606.053,1.75,4.25,45.75
Cantabria,Santander,2020,Spain,October,324.211,1.0,3.25,39.5
Cantabria,Santander,2020,Spain,November,144.036,1.0,2.8,27.0
Cantabria,Santander,2020,Spain,December,131.740,0.5,3.25,30.25
País Vasco,San Sebastián,2020,Spain,January,115.521,0.0,0.0,57.25
País Vasco,San Sebastián,2020,Spain,February,116.710,0.0,0.0,49.25
País Vasco,San Sebastián,2020,Spain,March,210.058,0.0,0.0,17.6
País Vasco,San Sebastián,2020,Spain,April,271.796,0.0,0.0,10.75
País Vasco,San Sebastián,2020,Spain,May,258.410,0.0,0.0,20.2
País Vasco,San Sebastián,2020,Spain,June,436.281,0.0,0.0,48.0
País Vasco,San Sebastián,2020,Spain,July,873.652,0.0,0.0,62.75
País Vasco,San Sebastián,2020,Spain,August,1.257.980,0.0,0.0,60.8
País Vasco,San Sebastián,2020,Spain,September,709.103,3.0,0.0,39.25
País Vasco,San Sebastián,2020,Spain,October,702.934,0.0,0.0,39.5
País Vasco,San Sebastián,2020,Spain,November,481.448,0.0,0.0,21.2
País Vasco,San Sebastián,2020,Spain,December,426.932,0.0,0.0,22.0
Comunidad Foral de Navarra,Pamplona,2020,Spain,January,57.641,0.0,3.5,69.25
Comunidad Foral de Navarra,Pamplona,2020,Spain,February,73.222,0.0,4.5,74.5
Comunidad Foral de Navarra,Pamplona,2020,Spain,March,93.501,0.0,1.0,37.6
Comunidad Foral de Navarra,Pamplona,2020,Spain,April,115.143,0.0,0.0,17.25
Comunidad Foral de Navarra,Pamplona,2020,Spain,May,146.101,0.0,0.0,25.0
Comunidad Foral de Navarra,Pamplona,2020,Spain,June,213.277,0.0,2.0,47.5
