Region,City,Year,Country,Month,OriginalMonthlyValue,flight_trends,airbnb_trends,hotel_trends
Galicia,Santiago de Compostela,2020,Spain,January,123.926,1.25,3.5,62.0
Galicia,Santiago de Compostela,2020,Spain,February,111.105,3.0,4.25,74.5
Galicia,Santiago de Compostela,2020,Spain,March,198.052,0.0,1.8,62.6
Galicia,Santiago de Compostela,2020,Spain,April,229.283,0.0,1.0,24.0
Galicia,Santiago de Compostela,2020,Spain,May,333.951,0.0,0.0,22.2
Galicia,Santiago de Compostela,2020,Spain,June,728.421,0.0,1.25,42.5
Galicia,Santiago de Compostela,2020,Spain,July,1.747.272,0.0,0.0,51.5
Galicia,Santiago de Compostela,2020,Spain,August,2.384.589,0.0,0.0,55.0
Galicia,Santiago de Compostela,2020,Spain,September,1.265.654,0.0,0.0,39.25
Galicia,Santiago de Compostela,2020,Spain,October,913.105,0.0,2.25,33.5
Galicia,Santiago de Compostela,2020,Spain,November,481.341,0.0,0.0,18.2
Galicia,Santiago de Compostela,2020,Spain,December,439.349,0.0,0.0,19.5
Galicia,Santiago de Compostela,2021,Spain,January,123.926,0.0,0.8,18.0
Galicia,Santiago de Compostela,2021,Spain,February,111.105,0.0,0.0,20.75
Galicia,Santiago de Compostela,2021,Spain,March,198.052,0.0,1.25,22.5
Galicia,Santiago de Compostela,2021,Spain,April,229.283,0.0,0.0,26.25
Galicia,Santiago de Compostela,2021,Spain,May,333.951,0.0,2.4,42.8
Galicia,Santiago de Compostela,2021,Spain,June,728.421,0.0,5.0,64.0
Galicia,Santiago de Compostela,2021,Spain,July,1.747.272,0.0,7.5,79.25
Galicia,Santiago de Compostela,2021,Spain,August,2.384.589,0.0,5.4,84.0
Galicia,Santiago de Compostela,2021,Spain,September,1.265.654,1.75,3.25,70.5
Galicia,Santiago de Compostela,2021,Spain,October,913.105,0.0,2.4,59.4
Galicia,Santiago de Compostela,2021,Spain,November,481.341,0.0,0.0,43.0
Galicia,Santiago de Compostela,2021,Spain,December,439.349,0.0,0.0,28.5
Galicia,Santiago de Compostela,2022,Spain,January,272.719,1.0,2.2,40.8
Galicia,Santiago de Compostela,2022,Spain,February,360.330,1.25,5.25,57.5
Galicia,Santiago de Compostela,2022,Spain,March,459.982,3.25,7.75,62.75
Galicia,Santiago de Compostela,2022,Spain,April,861.802,5.0,8.75,77.75
Galicia,Santiago de Compostela,2022,Spain,May,1.004.242,4.6,9.8,82.0
Galicia,Santiago de Compostela,2022,Spain,June,1.306.274,6.0,10.25,85.0
Galicia,Santiago de Compostela,2022,Spain,July,2.120.808,5.6,10.0,92.0
Galicia,Santiago de Compostela,2022,Spain,August,2.638.809,2.25,9.5,85.5
Galicia,Santiago de Compostela,2022,Spain,September,1.436.881,3.25,7.25,78.0
Galicia,Santiago de Compostela,2022,Spain,October,1.091.443,1.6,5.0,60.4
Galicia,Santiago de Compostela,2022,Spain,November,574.165,0.0,3.25,45.5
Galicia,Santiago de Compostela,2022,Spain,December,518.302,0.0,2.75,34.5
Galicia,Santiago de Compostela,2023,Spain,January,361.970,2.0,4.0,49.0
Galicia,Santiago de Compostela,2023,Spain,February,396.658,2.5,4.0,55.0
Galicia,Santiago de Compostela,2023,Spain,March,559.201,5.25,7.0,62.5
Galicia,Santiago de Compostela,2023,Spain,April,1.052.515,5.6,7.2,70.2
Galicia,Santiago de Compostela,2023,Spain,May,1.105.611,5.0,7.5,76.25
Galicia,Santiago de Compostela,2023,Spain,June,1.363.942,5.75,7.0,73.5
Galicia,Santiago de Compostela,2023,Spain,July,2.117.531,4.0,7.4,79.6
Galicia,Santiago de Compostela,2023,Spain,August,2.715.570,4.25,8.25,77.5
Galicia,Santiago de Compostela,2023,Spain,September,1.563.858,4.5,5.5,72.5
Galicia,Santiago de Compostela,2023,Spain,October,1.139.635,5.6,3.4,58.0
Galicia,Santiago de Compostela,2023,Spain,November,573.591,0.0,3.0,42.0
Galicia,Santiago de Compostela,2023,Spain,December,564.914,2.0,0.8,38.0
Galicia,Santiago de Compostela,2024,Spain,January,356.205,5.75,6.0,49.0
Galicia,Santiago de Compostela,2024,Spain,February,411.443,1.25,6.0,52.5
Galicia,Santiago de Compostela,2024,Spain,March,693.196,5.0,6.8,57.8
Galicia,Santiago de Compostela,2024,Spain,April,827.247,6.0,4.75,61.75
Galicia,Santiago de Compostela,2024,Spain,May,1.156.442,5.5,5.75,73.5
Galicia,Santiago de Compostela,2024,Spain,June,1.336.649,6.6,6.8,69.2
Galicia,Santiago de Compostela,2024,Spain,July,2.015.472,4.5,6.25,68.25
Galicia,Santiago de Compostela,2024,Spain,August,2.667.570,6.25,6.5,76.75
Galicia,Santiago de Compostela,2024,Spain,September,1.544.010,5.8,3.6,66.0
Galicia,Santiago de Compostela,2024,Spain,October,1.091.542,4.25,0.0,50.5
Galicia,Santiago de Compostela,2024,Spain,November,655.540,0.0,0.0,38.75
Galicia,Santiago de Compostela,2024,Spain,December,550.563,2.4,1.2,33.4
Principado de Asturias,Oviedo,2020,Spain,January,40.935,0.75,4.75,66.75
Principado de Asturias,Oviedo,2020,Spain,February,39.758,0.0,3.5,74.0
Principado de Asturias,Oviedo,2020,Spain,March,52.273,0.0,1.6,33.0
Principado de Asturias,Oviedo,2020,Spain,April,60.014,0.0,0.0,15.75
Principado de Asturias,Oviedo,2020,Spain,May,151.533,0.0,0.6,22.6
Principado de Asturias,Oviedo,2020,Spain,June,399.350,0.0,2.5,44.75
Principado de Asturias,Oviedo,2020,Spain,July,1.120.893,0.0,4.5,71.25
Principado de Asturias,Oviedo,2020,Spain,August,1.586.638,0.0,2.6,69.0
Principado de Asturias,Oviedo,2020,Spain,September,676.176,0.0,0.0,47.0
Principado de Asturias,Oviedo,2020,Spain,October,448.571,0.0,0.0,50.5
Principado de Asturias,Oviedo,2020,Spain,November,204.768,0.0,0.0,23.8
Principado de Asturias,Oviedo,2020,Spain,December,224.567,0.0,0.75,26.75
Principado de Asturias,Oviedo,2021,Spain,January,40.935,0.0,0.0,23.0
Principado de Asturias,Oviedo,2021,Spain,February,39.758,0.0,0.0,25.0
Principado de Asturias,Oviedo,2021,Spain,March,52.273,0.0,1.25,27.25
Principado de Asturias,Oviedo,2021,Spain,April,60.014,0.0,1.0,30.75
Principado de Asturias,Oviedo,2021,Spain,May,151.533,0.0,2.0,48.8
Principado de Asturias,Oviedo,2021,Spain,June,399.350,0.0,4.5,63.25
Principado de Asturias,Oviedo,2021,Spain,July,1.120.893,0.0,4.75,78.75
Principado de Asturias,Oviedo,2021,Spain,August,1.586.638,0.0,5.2,84.0
Principado de Asturias,Oviedo,2021,Spain,September,676.176,0.0,0.0,60.0
Principado de Asturias,Oviedo,2021,Spain,October,448.571,0.0,1.8,58.2
Principado de Asturias,Oviedo,2021,Spain,November,204.768,0.0,0.0,46.25
Principado de Asturias,Oviedo,2021,Spain,December,224.567,0.0,0.0,32.75
Principado de Asturias,Oviedo,2022,Spain,January,127.159,0.0,0.8,41.0
Principado de Asturias,Oviedo,2022,Spain,February,165.527,0.0,3.5,52.25
Principado de Asturias,Oviedo,2022,Spain,March,193.469,0.0,4.25,49.0
Principado de Asturias,Oviedo,2022,Spain,April,419.425,1.0,5.25,61.0
Principado de Asturias,Oviedo,2022,Spain,May,369.655,0.8,5.2,58.6
Principado de Asturias,Oviedo,2022,Spain,June,554.086,0.0,5.5,68.5
Principado de Asturias,Oviedo,2022,Spain,July,1.200.131,0.6,6.0,77.0
Principado de Asturias,Oviedo,2022,Spain,August,1.546.856,0.75,5.0,72.0
Principado de Asturias,Oviedo,2022,Spain,September,671.175,0.0,3.5,60.25
Principado de Asturias,Oviedo,2022,Spain,October,412.174,0.6,2.8,57.8
Principado de Asturias,Oviedo,2022,Spain,November,219.884,0.0,3.25,47.75
Principado de Asturias,Oviedo,2022,Spain,December,229.743,0.0,1.25,43.5
Principado de Asturias,Oviedo,2023,Spain,January,150.743,0.6,4.6,48.0
Principado de Asturias,Oviedo,2023,Spain,February,178.037,0.0,4.25,51.0
Principado de Asturias,Oviedo,2023,Spain,March,237.031,0.75,5.25,52.0
Principado de Asturias,Oviedo,2023,Spain,April,515.357,2.2,4.6,52.8
Principado de Asturias,Oviedo,2023,Spain,May,430.301,0.0,4.0,51.75
Principado de Asturias,Oviedo,2023,Spain,June,641.455,0.0,6.5,59.5
Principado de Asturias,Oviedo,2023,Spain,July,1.228.727,0.0,6.6,72.8
Principado de Asturias,Oviedo,2023,Spain,August,1.572.925,0.0,5.0,69.5
Principado de Asturias,Oviedo,2023,Spain,September,750.434,0.0,2.75,60.75
Principado de Asturias,Oviedo,2023,Spain,October,481.849,0.6,4.4,57.8
Principado de Asturias,Oviedo,2023,Spain,November,235.270,0.0,3.25,47.75
Principado de Asturias,Oviedo,2023,Spain,December,250.620,0.0,3.2,41.6
Principado de Asturias,Oviedo,2024,Spain,January,174.066,0.0,3.0,49.25
Principado de Asturias,Oviedo,2024,Spain,February,183.898,0.0,2.0,50.75
Principado de Asturias,Oviedo,2024,Spain,March,390.547,0.0,3.6,57.4
Principado de Asturias,Oviedo,2024,Spain,April,347.818,1.5,3.75,57.25
Principado de Asturias,Oviedo,2024,Spain,May,465.479,1.25,4.75,62.5
Principado de Asturias,Oviedo,2024,Spain,June,618.504,1.4,4.2,67.8
Principado de Asturias,Oviedo,2024,Spain,July,1.204.885,1.75,6.0,75.5
Principado de Asturias,Oviedo,2024,Spain,August,1.604.640,0.0,5.75,76.5
Principado de Asturias,Oviedo,2024,Spain,September,740.125,0.8,3.0,62.2
Principado de Asturias,Oviedo,2024,Spain,October,430.316,0.0,2.5,59.25
Principado de Asturias,Oviedo,2024,Spain,November,281.605,0.0,2.5,42.75
