Region ;City;Year;Country;January;February;March;April;May;June;July;August;September;October;November;December;
Galicia;Santiago de Compostela;2020;Spain;123.926;111.105;198.052;229.283;333.951;728.421;1.747.272;2.384.589;1.265.654;913.105;481.341;439.349;
Principado de Asturias;Oviedo;2020;Spain;40.935;39.758;52.273;60.014;151.533;399.350;1.120.893;1.586.638;676.176;448.571;204.768;224.567;
Cantabria;Santander;2020;Spain;28.819;35.211;41.813;51.137;123.143;413.229;973.979;1.256.685;606.053;324.211;144.036;131.740;
País Vasco;San Sebastián;2020;Spain;115.521;116.710;210.058;271.796;258.410;436.281;873.652;1.257.980;709.103;702.934;481.448;426.932;
Comunidad Foral de Navarra;Pamplona;2020;Spain;57.641;73.222;93.501;115.143;146.101;213.277;429.361;624.558;345.612;343.609;176.204;153.887;
La Rioja;Logroño;2020;Spain;10.310;11.239;20.544;23.099;52.052;89.842;208.917;306.808;143.480;143.594;87.490;74.552;
Aragón;Zaragoza;2020;Spain;91.566;109.409;173.459;216.909;268.381;478.811;1.045.139;1.541.993;702.565;687.931;380.074;501.440;
Comunidad de Madrid;Madrid;2020;Spain;525.122;574.052;760.111;741.872;1.014.089;1.169.854;1.434.903;1.530.109;1.747.149;2.173.125;1.929.032;1.883.999;
Castilla y León;Salamanca;2020;Spain;127.185;145.315;221.467;258.913;409.204;664.530;1.191.381;1.771.196;1.010.552;1.051.597;656.249;618.873;
Castilla-La Mancha;Toledo;2020;Spain;83.617;102.966;161.690;184.092;253.529;353.765;540.376;693.100;433.641;500.011;348.597;352.040;
Extremadura;Cáceres;2020;Spain;40.274;57.120;116.312;98.364;163.769;229.213;342.529;475.148;313.433;329.286;229.064;216.318;
Cataluña;Barcelona;2020;Spain;521.274;488.492;942.057;1.335.977;2.120.924;4.293.277;8.082.297;12.165.573;5.910.773;4.284.706;2.267.532;2.295.553;
Comunitat Valenciana;Valencia;2020;Spain;630.009;547.275;770.401;993.052;1.407.127;2.828.986;5.500.071;7.071.782;4.034.042;3.488.141;2.191.692;2.033.471;
Illes Balears;Palma;2020;Spain;42.120;48.616;128.752;334.237;1.109.047;3.038.281;6.817.615;7.867.191;6.315.743;4.565.542;374.212;214.652;
Andalucía;Sevilla;2020;Spain;601.775;548.838;774.422;859.851;1.848.192;3.938.493;7.427.734;9.375.862;6.179.832;5.022.306;3.019.489;2.708.210;
Región de Murcia;Cartagena;2020;Spain;98.525;106.579;144.276;146.166;177.923;318.730;590.099;768.703;397.870;388.967;282.909;276.767;
Ciudad de Ceuta;Ceuta;2020;Spain;4.685;5.329;5.457;4.847;7.506;13.759;11.929;11.606;9.060;8.605;8.180;6.386;
Ciudad de Melilla;Melilla;2020;Spain;4.908;6.094;6.226;5.765;7.026;7.279;8.495;11.357;9.831;9.813;9.151;7.797;
Canarias;Las Palmas de Gran Canaria;2020;Spain;757.564;630.562;852.277;979.916;1.240.981;2.017.929;4.003.089;6.052.969;5.444.738;6.831.628;6.966.348;6.224.205;
Galicia;Santiago de Compostela;2021;Spain;123.926;111.105;198.052;229.283;333.951;728.421;1.747.272;2.384.589;1.265.654;913.105;481.341;439.349;
Principado de Asturias;Oviedo;2021;Spain;40.935;39.758;52.273;60.014;151.533;399.350;1.120.893;1.586.638;676.176;448.571;204.768;224.567;
Cantabria;Santander;2021;Spain;28.819;35.211;41.813;51.137;123.143;413.229;973.979;1.256.685;606.053;324.211;144.036;131.740;
País Vasco;San Sebastián;2021;Spain;115.521;116.710;210.058;271.796;258.410;436.281;873.652;1.257.980;709.103;702.934;481.448;426.932;
Comunidad Foral de Navarra;Pamplona;2021;Spain;57.641;73.222;93.501;115.143;146.101;213.277;429.361;624.558;345.612;343.609;176.204;153.887;
La Rioja;Logroño;2021;Spain;10.310;11.239;20.544;23.099;52.052;89.842;208.917;306.808;143.480;143.594;87.490;74.552;
Aragón;Zaragoza;2021;Spain;91.566;109.409;173.459;216.909;268.381;478.811;1.045.139;1.541.993;702.565;687.931;380.074;501.440;
Comunidad de Madrid;Madrid;2021;Spain;525.122;574.052;760.111;741.872;1.014.089;1.169.854;1.434.903;1.530.109;1.747.149;2.173.125;1.929.032;1.883.999;
Castilla y León;Salamanca;2021;Spain;127.185;145.315;221.467;258.913;409.204;664.530;1.191.381;1.771.196;1.010.552;1.051.597;656.249;618.873;
Castilla-La Mancha;Toledo;2021;Spain;83.617;102.966;161.690;184.092;253.529;353.765;540.376;693.100;433.641;500.011;348.597;352.040;
Extremadura;Cáceres;2021;Spain;40.274;57.120;116.312;98.364;163.769;229.213;342.529;475.148;313.433;329.286;229.064;216.318;
