Time,hotel albania,airbnb albania,housing albania
4/1/2021,7,7,14
5/1/2021,18,11,29
6/1/2021,25,19,44
7/1/2021,31,19,50
8/1/2021,27,17,44
9/1/2021,12,11,23
10/1/2021,8,7,15
11/1/2021,6,5,11
12/1/2021,5,6,11
1/1/2022,9,13,22
2/1/2022,10,11,21
3/1/2022,9,12,21
4/1/2022,14,24,38
5/1/2022,25,35,60
6/1/2022,34,36,70
7/1/2022,37,40,77
8/1/2022,32,32,64
9/1/2022,16,15,31
10/1/2022,9,15,24
11/1/2022,8,8,16
12/1/2022,8,15,23
1/1/2023,18,31,49
2/1/2023,19,31,50
3/1/2023,20,36,56
4/1/2023,25,37,62
5/1/2023,31,41,72
6/1/2023,49,52,101
7/1/2023,60,52,112
8/1/2023,55,34,89
9/1/2023,24,21,45
10/1/2023,11,17,28
11/1/2023,10,16,26
12/1/2023,10,17,27
1/1/2024,20,32,52
2/1/2024,23,36,59
3/1/2024,25,47,72
4/1/2024,30,48,78
5/1/2024,32,51,83
6/1/2024,47,62,109
7/1/2024,49,57,106
8/1/2024,39,36,75
9/1/2024,24,24,48
10/1/2024,12,22,34
11/1/2024,10,12,22
12/1/2024,11,18,29
1/1/2025,21,37,58
2/1/2025,21,39,60
3/1/2025,25,37,62
4/1/2025,27,38,65
5/1/2025,34,40,74
6/1/2025,52,50,102
7/1/2025,58,59,117
8/1/2025,100,100,200
9/1/2025,63,74,137
10/1/2025,38,55,93
11/1/2025,43,58,101
12/1/2025,35,50,85
1/1/2026,50,66,116
2/1/2026,55,62,117
3/1/2026,49,79,128
4/1/2026,40,48,88
